unit,sex,age,region,year,value
YR,F,Y1,AM,2019,79.1
YR,F,Y10,AM,2019,70.3
YR,F,Y11,AM,2019,69.3
YR,F,Y12,AM,2019,68.3
YR,F,Y13,AM,2019,67.3
YR,F,Y14,AM,2019,66.4
YR,F,Y15,AM,2019,65.4
YR,F,Y16,AM,2019,64.4
YR,F,Y17,AM,2019,63.4
YR,F,Y18,AM,2019,62.4
YR,F,Y19,AM,2019,61.4
YR,F,Y2,AM,2019,78.2
YR,F,Y20,AM,2019,60.4
YR,F,Y21,AM,2019,59.4
YR,F,Y22,AM,2019,58.4
YR,F,Y23,AM,2019,57.5
YR,F,Y24,AM,2019,56.5
YR,F,Y25,AM,2019,55.5
YR,F,Y26,AM,2019,54.5
YR,F,Y27,AM,2019,53.6
YR,F,Y28,AM,2019,52.6
YR,F,Y29,AM,2019,51.6
YR,F,Y3,AM,2019,77.2
YR,F,Y30,AM,2019,50.6
YR,F,Y31,AM,2019,49.6
YR,F,Y32,AM,2019,48.6
YR,F,Y33,AM,2019,47.7
YR,F,Y34,AM,2019,46.7
YR,F,Y35,AM,2019,45.7
YR,F,Y36,AM,2019,44.7
YR,F,Y37,AM,2019,43.7
YR,F,Y38,AM,2019,42.8
YR,F,Y39,AM,2019,41.8
YR,F,Y4,AM,2019,76.3
YR,F,Y40,AM,2019,40.8
YR,F,Y41,AM,2019,39.8
YR,F,Y42,AM,2019,38.8
YR,F,Y43,AM,2019,37.9
YR,F,Y44,AM,2019,36.9
YR,F,Y45,AM,2019,36.0
YR,F,Y46,AM,2019,35.0
YR,F,Y47,AM,2019,34.1
YR,F,Y48,AM,2019,33.1
YR,F,Y49,AM,2019,32.2
YR,F,Y5,AM,2019,75.3
YR,F,Y50,AM,2019,31.2
YR,F,Y51,AM,2019,30.3
YR,F,Y52,AM,2019,29.4
YR,F,Y53,AM,2019,28.4
YR,F,Y54,AM,2019,27.6
YR,F,Y55,AM,2019,26.6
YR,F,Y56,AM,2019,25.7
YR,F,Y57,AM,2019,24.8
YR,F,Y58,AM,2019,24.0
YR,F,Y59,AM,2019,23.1
YR,F,Y6,AM,2019,74.3
YR,F,Y60,AM,2019,22.2
YR,F,Y61,AM,2019,21.4
YR,F,Y62,AM,2019,20.5
YR,F,Y63,AM,2019,19.7
YR,F,Y64,AM,2019,18.9
YR,F,Y65,AM,2019,18.0
YR,F,Y66,AM,2019,17.2
YR,F,Y67,AM,2019,16.5
YR,F,Y68,AM,2019,15.7
YR,F,Y69,AM,2019,14.9
YR,F,Y7,AM,2019,73.3
YR,F,Y70,AM,2019,14.1
YR,F,Y71,AM,2019,13.4
YR,F,Y72,AM,2019,12.7
YR,F,Y73,AM,2019,12.0
YR,F,Y74,AM,2019,11.3
YR,F,Y75,AM,2019,10.5
YR,F,Y76,AM,2019,9.8
YR,F,Y77,AM,2019,9.3
YR,F,Y78,AM,2019,8.8
YR,F,Y79,AM,2019,8.2
YR,F,Y8,AM,2019,72.3
YR,F,Y80,AM,2019,7.7
YR,F,Y81,AM,2019,7.1
YR,F,Y82,AM,2019,6.7
YR,F,Y83,AM,2019,6.2
YR,F,Y84,AM,2019,5.7
YR,F,Y9,AM,2019,71.3
YR,F,Y_GE85,AM,2019,5.2
YR,F,Y_LT1,AM,2019,79.7
YR,M,Y1,AM,2019,72.6
YR,M,Y10,AM,2019,63.8
YR,M,Y11,AM,2019,62.8
YR,M,Y12,AM,2019,61.8
YR,M,Y13,AM,2019,60.8
YR,M,Y14,AM,2019,59.8
YR,M,Y15,AM,2019,58.8
YR,M,Y16,AM,2019,57.8
YR,M,Y17,AM,2019,56.9
YR,M,Y18,AM,2019,55.9
YR,M,Y19,AM,2019,54.9
YR,M,Y2,AM,2019,71.6
