unit,sex,age,region,year,value
YR,F,Y1,AZ,2019,78.6
YR,F,Y10,AZ,2019,69.9
YR,F,Y11,AZ,2019,68.9
YR,F,Y12,AZ,2019,67.9
YR,F,Y13,AZ,2019,66.9
YR,F,Y14,AZ,2019,65.9
YR,F,Y15,AZ,2019,65.0
YR,F,Y16,AZ,2019,64.0
YR,F,Y17,AZ,2019,63.0
YR,F,Y18,AZ,2019,62.0
YR,F,Y19,AZ,2019,61.1
YR,F,Y2,AZ,2019,77.7
YR,F,Y20,AZ,2019,60.1
YR,F,Y21,AZ,2019,59.1
YR,F,Y22,AZ,2019,58.1
YR,F,Y23,AZ,2019,57.1
YR,F,Y24,AZ,2019,56.2
YR,F,Y25,AZ,2019,55.2
YR,F,Y26,AZ,2019,54.2
YR,F,Y27,AZ,2019,53.2
YR,F,Y28,AZ,2019,52.3
YR,F,Y29,AZ,2019,51.3
YR,F,Y3,AZ,2019,76.7
YR,F,Y30,AZ,2019,50.3
YR,F,Y31,AZ,2019,49.3
YR,F,Y32,AZ,2019,48.4
YR,F,Y33,AZ,2019,47.4
YR,F,Y34,AZ,2019,46.4
YR,F,Y35,AZ,2019,45.4
YR,F,Y36,AZ,2019,44.5
YR,F,Y37,AZ,2019,43.5
YR,F,Y38,AZ,2019,42.5
YR,F,Y39,AZ,2019,41.6
YR,F,Y4,AZ,2019,75.8
YR,F,Y40,AZ,2019,40.6
YR,F,Y41,AZ,2019,39.6
YR,F,Y42,AZ,2019,38.7
YR,F,Y43,AZ,2019,37.7
YR,F,Y44,AZ,2019,36.8
YR,F,Y45,AZ,2019,35.8
YR,F,Y46,AZ,2019,34.9
YR,F,Y47,AZ,2019,33.9
YR,F,Y48,AZ,2019,33.0
YR,F,Y49,AZ,2019,32.1
YR,F,Y5,AZ,2019,74.8
YR,F,Y50,AZ,2019,31.1
YR,F,Y51,AZ,2019,30.2
YR,F,Y52,AZ,2019,29.3
YR,F,Y53,AZ,2019,28.4
YR,F,Y54,AZ,2019,27.5
YR,F,Y55,AZ,2019,26.6
YR,F,Y56,AZ,2019,25.7
YR,F,Y57,AZ,2019,24.8
YR,F,Y58,AZ,2019,23.9
YR,F,Y59,AZ,2019,23.1
YR,F,Y6,AZ,2019,73.8
YR,F,Y60,AZ,2019,22.2
YR,F,Y61,AZ,2019,21.4
YR,F,Y62,AZ,2019,20.5
YR,F,Y63,AZ,2019,19.7
YR,F,Y64,AZ,2019,18.9
YR,F,Y65,AZ,2019,18.1
YR,F,Y66,AZ,2019,17.3
YR,F,Y67,AZ,2019,16.6
YR,F,Y68,AZ,2019,15.9
YR,F,Y69,AZ,2019,15.1
YR,F,Y7,AZ,2019,72.8
YR,F,Y70,AZ,2019,14.4
YR,F,Y71,AZ,2019,13.7
YR,F,Y72,AZ,2019,13.1
YR,F,Y73,AZ,2019,12.4
YR,F,Y74,AZ,2019,11.7
YR,F,Y75,AZ,2019,11.1
YR,F,Y76,AZ,2019,10.4
YR,F,Y77,AZ,2019,9.8
YR,F,Y78,AZ,2019,9.3
YR,F,Y79,AZ,2019,8.8
YR,F,Y8,AZ,2019,71.8
YR,F,Y80,AZ,2019,8.3
YR,F,Y81,AZ,2019,7.8
YR,F,Y82,AZ,2019,7.4
YR,F,Y83,AZ,2019,7.0
YR,F,Y84,AZ,2019,6.7
YR,F,Y9,AZ,2019,70.8
YR,F,Y_GE85,AZ,2019,6.4
YR,F,Y_LT1,AZ,2019,78.9
YR,M,Y1,AZ,2019,74.2
YR,M,Y10,AZ,2019,65.5
YR,M,Y11,AZ,2019,64.5
YR,M,Y12,AZ,2019,63.5
YR,M,Y13,AZ,2019,62.5
YR,M,Y14,AZ,2019,61.6
YR,M,Y15,AZ,2019,60.6
YR,M,Y16,AZ,2019,59.6
YR,M,Y17,AZ,2019,58.6
YR,M,Y18,AZ,2019,57.7
YR,M,Y19,AZ,2019,56.7
YR,M,Y2,AZ,2019,73.3
YR,M,Y20,AZ,2019,55.8
YR,M,Y21,AZ,2019,54.8
YR,M,Y22,AZ,2019,53.9
YR,M,Y23,AZ,2019,52.9
YR,M,Y24,AZ,2019,51.9
YR,M,Y25,AZ,2019,51.0
YR,M,Y26,AZ,2019,50.0
YR,M,Y27,AZ,2019,49.1
YR,M,Y28,AZ,2019,48.1
YR,M,Y29,AZ,2019,47.2
YR,M,Y3,AZ,2019,72.3
YR,M,Y30,AZ,2019,46.2
YR,M,Y31,AZ,2019,45.3
YR,M,Y32,AZ,2019,44.3
YR,M,Y33,AZ,2019,43.3
YR,M,Y34,AZ,2019,42.4
YR,M,Y35,AZ,2019,41.4
YR,M,Y36,AZ,2019,40.5
YR,M,Y37,AZ,2019,39.6
YR,M,Y38,AZ,2019,38.6
YR,M,Y39,AZ,2019,37.7
YR,M,Y4,AZ,2019,71.3
YR,M,Y40,AZ,2019,36.8
YR,M,Y41,AZ,2019,35.8
YR,M,Y42,AZ,2019,34.9
YR,M,Y43,AZ,2019,34.0
YR,M,Y44,AZ,2019,33.1
YR,M,Y45,AZ,2019,32.2
YR,M,Y46,AZ,2019,31.3
YR,M,Y47,AZ,2019,30.4
YR,M,Y48,AZ,2019,29.6
YR,M,Y49,AZ,2019,28.7
YR,M,Y5,AZ,2019,70.3
YR,M,Y50,AZ,2019,27.9
YR,M,Y51,AZ,2019,27.0
YR,M,Y52,AZ,2019,26.2
YR,M,Y53,AZ,2019,25.3
YR,M,Y54,AZ,2019,24.5
YR,M,Y55,AZ,2019,23.7
YR,M,Y56,AZ,2019,22.9
YR,M,Y57,AZ,2019,22.1
YR,M,Y58,AZ,2019,21.4
YR,M,Y59,AZ,2019,20.6
YR,M,Y6,AZ,2019,69.4
YR,M,Y60,AZ,2019,19.9
YR,M,Y61,AZ,2019,19.2
YR,M,Y62,AZ,2019,18.5
YR,M,Y63,AZ,2019,17.8
YR,M,Y64,AZ,2019,17.1
YR,M,Y65,AZ,2019,16.5
YR,M,Y66,AZ,2019,15.8
YR,M,Y67,AZ,2019,15.2
YR,M,Y68,AZ,2019,14.7
YR,M,Y69,AZ,2019,14.1
YR,M,Y7,AZ,2019,68.4
YR,M,Y70,AZ,2019,13.5
YR,M,Y71,AZ,2019,12.9
YR,M,Y72,AZ,2019,12.4
YR,M,Y73,AZ,2019,11.9
YR,M,Y74,AZ,2019,11.3
YR,M,Y75,AZ,2019,10.8
YR,M,Y76,AZ,2019,10.3
YR,M,Y77,AZ,2019,9.9
YR,M,Y78,AZ,2019,9.5
YR,M,Y79,AZ,2019,9.1
YR,M,Y8,AZ,2019,67.4
YR,M,Y80,AZ,2019,8.8
YR,M,Y81,AZ,2019,8.5
YR,M,Y82,AZ,2019,8.2
YR,M,Y83,AZ,2019,8.0
YR,M,Y84,AZ,2019,7.8
YR,M,Y9,AZ,2019,66.4
YR,M,Y_GE85,AZ,2019,7.7
YR,M,Y_LT1,AZ,2019,74.3
YR,T,Y1,AZ,2019,76.5
YR,T,Y10,AZ,2019,67.7
YR,T,Y11,AZ,2019,66.7
YR,T,Y12,AZ,2019,65.7
YR,T,Y13,AZ,2019,64.8
YR,T,Y14,AZ,2019,63.8
YR,T,Y15,AZ,2019,62.8
YR,T,Y16,AZ,2019,61.8
YR,T,Y17,AZ,2019,60.9
YR,T,Y18,AZ,2019,59.9
