unit,sex,age,region,year,value
YR,F,Y65,BG,2021,15.6
YR,F,Y_LT1,BG,2021,75.1
YR,M,Y65,BG,2021,11.7
YR,M,Y_LT1,BG,2021,68.1
YR,T,Y65,BG,2021,13.7
YR,T,Y_LT1,BG,2021,71.4
YR,F,Y1,BG,2020,76.9
YR,F,Y10,BG,2020,68.0
YR,F,Y11,BG,2020,67.0
YR,F,Y12,BG,2020,66.0
YR,F,Y13,BG,2020,65.0
YR,F,Y14,BG,2020,64.0
YR,F,Y15,BG,2020,63.0
YR,F,Y16,BG,2020,62.0
YR,F,Y17,BG,2020,61.0
YR,F,Y18,BG,2020,60.1
YR,F,Y19,BG,2020,59.1
YR,F,Y2,BG,2020,75.9
YR,F,Y20,BG,2020,58.1
YR,F,Y21,BG,2020,57.1
YR,F,Y22,BG,2020,56.1
YR,F,Y23,BG,2020,55.1
YR,F,Y24,BG,2020,54.2
YR,F,Y25,BG,2020,53.2
YR,F,Y26,BG,2020,52.2
YR,F,Y27,BG,2020,51.2
YR,F,Y28,BG,2020,50.3
YR,F,Y29,BG,2020,49.3
YR,F,Y3,BG,2020,74.9
YR,F,Y30,BG,2020,48.3
YR,F,Y31,BG,2020,47.3
YR,F,Y32,BG,2020,46.3
YR,F,Y33,BG,2020,45.4
YR,F,Y34,BG,2020,44.4
YR,F,Y35,BG,2020,43.4
YR,F,Y36,BG,2020,42.5
YR,F,Y37,BG,2020,41.5
YR,F,Y38,BG,2020,40.5
YR,F,Y39,BG,2020,39.6
YR,F,Y4,BG,2020,73.9
YR,F,Y40,BG,2020,38.6
YR,F,Y41,BG,2020,37.7
YR,F,Y42,BG,2020,36.8
YR,F,Y43,BG,2020,35.8
YR,F,Y44,BG,2020,34.9
YR,F,Y45,BG,2020,34.0
YR,F,Y46,BG,2020,33.0
YR,F,Y47,BG,2020,32.1
YR,F,Y48,BG,2020,31.2
YR,F,Y49,BG,2020,30.3
YR,F,Y5,BG,2020,72.9
YR,F,Y50,BG,2020,29.4
YR,F,Y51,BG,2020,28.6
YR,F,Y52,BG,2020,27.7
YR,F,Y53,BG,2020,26.8
YR,F,Y54,BG,2020,25.9
YR,F,Y55,BG,2020,25.1
YR,F,Y56,BG,2020,24.2
YR,F,Y57,BG,2020,23.4
YR,F,Y58,BG,2020,22.6
YR,F,Y59,BG,2020,21.8
YR,F,Y6,BG,2020,71.9
YR,F,Y60,BG,2020,21.0
YR,F,Y61,BG,2020,20.2
YR,F,Y62,BG,2020,19.4
YR,F,Y63,BG,2020,18.7
YR,F,Y64,BG,2020,17.9
YR,F,Y65,BG,2020,17.1
YR,F,Y66,BG,2020,16.4
YR,F,Y67,BG,2020,15.6
YR,F,Y68,BG,2020,14.9
YR,F,Y69,BG,2020,14.2
YR,F,Y7,BG,2020,70.9
YR,F,Y70,BG,2020,13.5
YR,F,Y71,BG,2020,12.8
YR,F,Y72,BG,2020,12.1
YR,F,Y73,BG,2020,11.5
YR,F,Y74,BG,2020,10.8
YR,F,Y75,BG,2020,10.2
YR,F,Y76,BG,2020,9.6
YR,F,Y77,BG,2020,9.0
YR,F,Y78,BG,2020,8.4
YR,F,Y79,BG,2020,7.8
YR,F,Y8,BG,2020,69.9
YR,F,Y80,BG,2020,7.3
YR,F,Y81,BG,2020,6.8
YR,F,Y82,BG,2020,6.3
YR,F,Y83,BG,2020,5.9
YR,F,Y84,BG,2020,5.5
YR,F,Y9,BG,2020,69.0
YR,F,Y_GE85,BG,2020,5.1
YR,F,Y_LT1,BG,2020,77.5
YR,M,Y1,BG,2020,69.3
YR,M,Y10,BG,2020,60.5
YR,M,Y11,BG,2020,59.5
YR,M,Y12,BG,2020,58.5
YR,M,Y13,BG,2020,57.5
YR,M,Y14,BG,2020,56.5
YR,M,Y15,BG,2020,55.5
YR,M,Y16,BG,2020,54.5
YR,M,Y17,BG,2020,53.6
YR,M,Y18,BG,2020,52.6
YR,M,Y19,BG,2020,51.6
YR,M,Y2,BG,2020,68.4
YR,M,Y20,BG,2020,50.7
YR,M,Y21,BG,2020,49.7
YR,M,Y22,BG,2020,48.7
YR,M,Y23,BG,2020,47.8
YR,M,Y24,BG,2020,46.8
YR,M,Y25,BG,2020,45.9
YR,M,Y26,BG,2020,44.9
YR,M,Y27,BG,2020,43.9
YR,M,Y28,BG,2020,43.0
YR,M,Y29,BG,2020,42.0
YR,M,Y3,BG,2020,67.4
YR,M,Y30,BG,2020,41.1
YR,M,Y31,BG,2020,40.1
YR,M,Y32,BG,2020,39.1
YR,M,Y33,BG,2020,38.2
YR,M,Y34,BG,2020,37.3
YR,M,Y35,BG,2020,36.3
YR,M,Y36,BG,2020,35.4
YR,M,Y37,BG,2020,34.4
YR,M,Y38,BG,2020,33.5
YR,M,Y39,BG,2020,32.6
YR,M,Y4,BG,2020,66.4
YR,M,Y40,BG,2020,31.7
YR,M,Y41,BG,2020,30.8
YR,M,Y42,BG,2020,29.9
YR,M,Y43,BG,2020,29.0
YR,M,Y44,BG,2020,28.1
YR,M,Y45,BG,2020,27.3
YR,M,Y46,BG,2020,26.4
YR,M,Y47,BG,2020,25.6
YR,M,Y48,BG,2020,24.7
YR,M,Y49,BG,2020,23.9
YR,M,Y5,BG,2020,65.4
YR,M,Y50,BG,2020,23.1
YR,M,Y51,BG,2020,22.3
YR,M,Y52,BG,2020,21.5
YR,M,Y53,BG,2020,20.8
YR,M,Y54,BG,2020,20.0
YR,M,Y55,BG,2020,19.3
YR,M,Y56,BG,2020,18.6
YR,M,Y57,BG,2020,17.9
YR,M,Y58,BG,2020,17.2
YR,M,Y59,BG,2020,16.5
YR,M,Y6,BG,2020,64.4
YR,M,Y60,BG,2020,15.9
YR,M,Y61,BG,2020,15.3
YR,M,Y62,BG,2020,14.6
YR,M,Y63,BG,2020,14.0
YR,M,Y64,BG,2020,13.4
YR,M,Y65,BG,2020,12.9
YR,M,Y66,BG,2020,12.3
YR,M,Y67,BG,2020,11.8
YR,M,Y68,BG,2020,11.2
YR,M,Y69,BG,2020,10.7
YR,M,Y7,BG,2020,63.4
YR,M,Y70,BG,2020,10.2
YR,M,Y71,BG,2020,9.7
YR,M,Y72,BG,2020,9.3
YR,M,Y73,BG,2020,8.8
YR,M,Y74,BG,2020,8.4
YR,M,Y75,BG,2020,7.9
YR,M,Y76,BG,2020,7.5
YR,M,Y77,BG,2020,7.1
YR,M,Y78,BG,2020,6.7
YR,M,Y79,BG,2020,6.3
YR,M,Y8,BG,2020,62.4
YR,M,Y80,BG,2020,5.9
YR,M,Y81,BG,2020,5.5
YR,M,Y82,BG,2020,5.2
YR,M,Y83,BG,2020,4.8
YR,M,Y84,BG,2020,4.5
YR,M,Y9,BG,2020,61.4
YR,M,Y_GE85,BG,2020,4.2
YR,M,Y_LT1,BG,2020,70.0
YR,T,Y1,BG,2020,73.0
YR,T,Y10,BG,2020,64.1
YR,T,Y11,BG,2020,63.1
YR,T,Y12,BG,2020,62.1
YR,T,Y13,BG,2020,61.1
YR,T,Y14,BG,2020,60.1
YR,T,Y15,BG,2020,59.1
YR,T,Y16,BG,2020,58.1
YR,T,Y17,BG,2020,57.2
YR,T,Y18,BG,2020,56.2
YR,T,Y19,BG,2020,55.2
YR,T,Y2,BG,2020,72.0
YR,T,Y20,BG,2020,54.2
YR,T,Y21,BG,2020,53.3
YR,T,Y22,BG,2020,52.3
YR,T,Y23,BG,2020,51.3
YR,T,Y24,BG,2020,50.4
YR,T,Y25,BG,2020,49.4
YR,T,Y26,BG,2020,48.4
YR,T,Y27,BG,2020,47.5
