unit,sex,age,region,year,value
YR,F,Y1,BY,2018,78.7
YR,F,Y10,BY,2018,69.7
YR,F,Y11,BY,2018,68.7
YR,F,Y12,BY,2018,67.7
YR,F,Y13,BY,2018,66.7
YR,F,Y14,BY,2018,65.8
YR,F,Y15,BY,2018,64.8
YR,F,Y16,BY,2018,63.8
YR,F,Y17,BY,2018,62.8
YR,F,Y18,BY,2018,61.8
YR,F,Y19,BY,2018,60.8
YR,F,Y2,BY,2018,77.7
YR,F,Y20,BY,2018,59.8
YR,F,Y21,BY,2018,58.8
YR,F,Y22,BY,2018,57.9
YR,F,Y23,BY,2018,56.9
YR,F,Y24,BY,2018,55.9
YR,F,Y25,BY,2018,54.9
YR,F,Y26,BY,2018,53.9
YR,F,Y27,BY,2018,52.9
YR,F,Y28,BY,2018,51.9
YR,F,Y29,BY,2018,51.0
YR,F,Y3,BY,2018,76.7
YR,F,Y30,BY,2018,50.0
YR,F,Y31,BY,2018,49.0
YR,F,Y32,BY,2018,48.0
YR,F,Y33,BY,2018,47.1
YR,F,Y34,BY,2018,46.1
YR,F,Y35,BY,2018,45.2
YR,F,Y36,BY,2018,44.2
YR,F,Y37,BY,2018,43.2
YR,F,Y38,BY,2018,42.3
YR,F,Y39,BY,2018,41.3
YR,F,Y4,BY,2018,75.7
YR,F,Y40,BY,2018,40.4
YR,F,Y41,BY,2018,39.4
YR,F,Y42,BY,2018,38.5
YR,F,Y43,BY,2018,37.6
YR,F,Y44,BY,2018,36.7
YR,F,Y45,BY,2018,35.7
YR,F,Y46,BY,2018,34.8
YR,F,Y47,BY,2018,33.9
YR,F,Y48,BY,2018,33.0
YR,F,Y49,BY,2018,32.1
YR,F,Y5,BY,2018,74.7
YR,F,Y50,BY,2018,31.2
YR,F,Y51,BY,2018,30.3
YR,F,Y52,BY,2018,29.4
YR,F,Y53,BY,2018,28.5
YR,F,Y54,BY,2018,27.6
YR,F,Y55,BY,2018,26.7
YR,F,Y56,BY,2018,25.8
YR,F,Y57,BY,2018,25.0
YR,F,Y58,BY,2018,24.1
YR,F,Y59,BY,2018,23.3
YR,F,Y6,BY,2018,73.7
YR,F,Y60,BY,2018,22.4
YR,F,Y61,BY,2018,21.6
YR,F,Y62,BY,2018,20.8
YR,F,Y63,BY,2018,19.9
YR,F,Y64,BY,2018,19.1
YR,F,Y65,BY,2018,18.3
YR,F,Y66,BY,2018,17.5
YR,F,Y67,BY,2018,16.7
YR,F,Y68,BY,2018,16.0
YR,F,Y69,BY,2018,15.2
YR,F,Y7,BY,2018,72.7
YR,F,Y70,BY,2018,14.5
YR,F,Y71,BY,2018,13.7
YR,F,Y72,BY,2018,13.1
YR,F,Y73,BY,2018,12.3
YR,F,Y74,BY,2018,11.6
YR,F,Y75,BY,2018,11.0
YR,F,Y76,BY,2018,10.3
YR,F,Y77,BY,2018,9.7
YR,F,Y78,BY,2018,9.1
YR,F,Y79,BY,2018,8.5
YR,F,Y8,BY,2018,71.7
YR,F,Y80,BY,2018,8.0
YR,F,Y81,BY,2018,7.5
YR,F,Y82,BY,2018,7.0
YR,F,Y83,BY,2018,6.5
YR,F,Y84,BY,2018,6.1
YR,F,Y9,BY,2018,70.7
YR,F,Y_GE85,BY,2018,5.7
YR,F,Y_LT1,BY,2018,79.5
YR,M,Y1,BY,2018,68.5
YR,M,Y10,BY,2018,59.6
YR,M,Y11,BY,2018,58.6
YR,M,Y12,BY,2018,57.6
YR,M,Y13,BY,2018,56.6
YR,M,Y14,BY,2018,55.6
YR,M,Y15,BY,2018,54.6
YR,M,Y16,BY,2018,53.6
YR,M,Y17,BY,2018,52.7
YR,M,Y18,BY,2018,51.7
YR,M,Y19,BY,2018,50.7
YR,M,Y2,BY,2018,67.5
YR,M,Y20,BY,2018,49.7
YR,M,Y21,BY,2018,48.8
YR,M,Y22,BY,2018,47.8
YR,M,Y23,BY,2018,46.8
YR,M,Y24,BY,2018,45.9
YR,M,Y25,BY,2018,44.9
YR,M,Y26,BY,2018,44.0
YR,M,Y27,BY,2018,43.0
