unit,sex,age,region,year,value
YR,F,Y65,CH,2021,23.1
YR,F,Y_LT1,CH,2021,85.9
YR,M,Y65,CH,2021,20.2
YR,M,Y_LT1,CH,2021,81.9
YR,T,Y65,CH,2021,21.7
YR,T,Y_LT1,CH,2021,84.0
YR,F,Y1,CH,2020,84.4
YR,F,Y10,CH,2020,75.5
YR,F,Y11,CH,2020,74.5
YR,F,Y12,CH,2020,73.5
YR,F,Y13,CH,2020,72.5
YR,F,Y14,CH,2020,71.5
YR,F,Y15,CH,2020,70.5
YR,F,Y16,CH,2020,69.5
YR,F,Y17,CH,2020,68.5
YR,F,Y18,CH,2020,67.5
YR,F,Y19,CH,2020,66.5
YR,F,Y2,CH,2020,83.4
YR,F,Y20,CH,2020,65.5
YR,F,Y21,CH,2020,64.6
YR,F,Y22,CH,2020,63.6
YR,F,Y23,CH,2020,62.6
YR,F,Y24,CH,2020,61.6
YR,F,Y25,CH,2020,60.6
YR,F,Y26,CH,2020,59.6
YR,F,Y27,CH,2020,58.6
YR,F,Y28,CH,2020,57.6
YR,F,Y29,CH,2020,56.6
YR,F,Y3,CH,2020,82.4
YR,F,Y30,CH,2020,55.6
YR,F,Y31,CH,2020,54.7
YR,F,Y32,CH,2020,53.7
YR,F,Y33,CH,2020,52.7
YR,F,Y34,CH,2020,51.7
YR,F,Y35,CH,2020,50.7
YR,F,Y36,CH,2020,49.7
YR,F,Y37,CH,2020,48.7
YR,F,Y38,CH,2020,47.8
YR,F,Y39,CH,2020,46.8
YR,F,Y4,CH,2020,81.4
YR,F,Y40,CH,2020,45.8
YR,F,Y41,CH,2020,44.8
YR,F,Y42,CH,2020,43.8
YR,F,Y43,CH,2020,42.9
YR,F,Y44,CH,2020,41.9
YR,F,Y45,CH,2020,40.9
YR,F,Y46,CH,2020,40.0
YR,F,Y47,CH,2020,39.0
YR,F,Y48,CH,2020,38.0
YR,F,Y49,CH,2020,37.1
YR,F,Y5,CH,2020,80.4
YR,F,Y50,CH,2020,36.1
YR,F,Y51,CH,2020,35.2
YR,F,Y52,CH,2020,34.2
YR,F,Y53,CH,2020,33.3
YR,F,Y54,CH,2020,32.3
YR,F,Y55,CH,2020,31.4
YR,F,Y56,CH,2020,30.4
YR,F,Y57,CH,2020,29.5
YR,F,Y58,CH,2020,28.6
YR,F,Y59,CH,2020,27.6
YR,F,Y6,CH,2020,79.4
YR,F,Y60,CH,2020,26.7
YR,F,Y61,CH,2020,25.8
YR,F,Y62,CH,2020,24.9
YR,F,Y63,CH,2020,24.0
YR,F,Y64,CH,2020,23.1
YR,F,Y65,CH,2020,22.2
YR,F,Y66,CH,2020,21.3
YR,F,Y67,CH,2020,20.5
YR,F,Y68,CH,2020,19.6
YR,F,Y69,CH,2020,18.7
YR,F,Y7,CH,2020,78.5
YR,F,Y70,CH,2020,17.9
YR,F,Y71,CH,2020,17.1
YR,F,Y72,CH,2020,16.3
YR,F,Y73,CH,2020,15.4
YR,F,Y74,CH,2020,14.6
YR,F,Y75,CH,2020,13.8
YR,F,Y76,CH,2020,13.1
YR,F,Y77,CH,2020,12.3
YR,F,Y78,CH,2020,11.5
YR,F,Y79,CH,2020,10.8
YR,F,Y8,CH,2020,77.5
YR,F,Y80,CH,2020,10.1
YR,F,Y81,CH,2020,9.4
YR,F,Y82,CH,2020,8.7
YR,F,Y83,CH,2020,8.0
YR,F,Y84,CH,2020,7.4
YR,F,Y9,CH,2020,76.5
YR,F,Y_GE85,CH,2020,6.8
YR,F,Y_LT1,CH,2020,85.1
YR,M,Y1,CH,2020,80.4
YR,M,Y10,CH,2020,71.4
YR,M,Y11,CH,2020,70.4
YR,M,Y12,CH,2020,69.4
YR,M,Y13,CH,2020,68.5
YR,M,Y14,CH,2020,67.5
YR,M,Y15,CH,2020,66.5
YR,M,Y16,CH,2020,65.5
YR,M,Y17,CH,2020,64.5
YR,M,Y18,CH,2020,63.5
YR,M,Y19,CH,2020,62.5
YR,M,Y2,CH,2020,79.4
YR,M,Y20,CH,2020,61.6
YR,M,Y21,CH,2020,60.6
YR,M,Y22,CH,2020,59.6
YR,M,Y23,CH,2020,58.7
YR,M,Y24,CH,2020,57.7
YR,M,Y25,CH,2020,56.7
YR,M,Y26,CH,2020,55.7
YR,M,Y27,CH,2020,54.8
YR,M,Y28,CH,2020,53.8
YR,M,Y29,CH,2020,52.8
YR,M,Y3,CH,2020,78.4
YR,M,Y30,CH,2020,51.8
YR,M,Y31,CH,2020,50.9
YR,M,Y32,CH,2020,49.9
YR,M,Y33,CH,2020,48.9
YR,M,Y34,CH,2020,47.9
YR,M,Y35,CH,2020,46.9
YR,M,Y36,CH,2020,46.0
YR,M,Y37,CH,2020,45.0
YR,M,Y38,CH,2020,44.0
YR,M,Y39,CH,2020,43.1
YR,M,Y4,CH,2020,77.4
YR,M,Y40,CH,2020,42.1
YR,M,Y41,CH,2020,41.1
YR,M,Y42,CH,2020,40.1
YR,M,Y43,CH,2020,39.2
YR,M,Y44,CH,2020,38.2
YR,M,Y45,CH,2020,37.3
YR,M,Y46,CH,2020,36.3
YR,M,Y47,CH,2020,35.4
YR,M,Y48,CH,2020,34.4
YR,M,Y49,CH,2020,33.5
YR,M,Y5,CH,2020,76.4
YR,M,Y50,CH,2020,32.5
YR,M,Y51,CH,2020,31.6
YR,M,Y52,CH,2020,30.7
YR,M,Y53,CH,2020,29.8
YR,M,Y54,CH,2020,28.8
YR,M,Y55,CH,2020,27.9
YR,M,Y56,CH,2020,27.0
YR,M,Y57,CH,2020,26.1
YR,M,Y58,CH,2020,25.2
YR,M,Y59,CH,2020,24.4
YR,M,Y6,CH,2020,75.4
YR,M,Y60,CH,2020,23.5
YR,M,Y61,CH,2020,22.6
YR,M,Y62,CH,2020,21.8
YR,M,Y63,CH,2020,20.9
YR,M,Y64,CH,2020,20.1
YR,M,Y65,CH,2020,19.3
YR,M,Y66,CH,2020,18.4
YR,M,Y67,CH,2020,17.6
YR,M,Y68,CH,2020,16.9
YR,M,Y69,CH,2020,16.1
YR,M,Y7,CH,2020,74.4
YR,M,Y70,CH,2020,15.3
YR,M,Y71,CH,2020,14.6
YR,M,Y72,CH,2020,13.8
YR,M,Y73,CH,2020,13.1
YR,M,Y74,CH,2020,12.4
YR,M,Y75,CH,2020,11.7
YR,M,Y76,CH,2020,11.0
YR,M,Y77,CH,2020,10.3
YR,M,Y78,CH,2020,9.6
YR,M,Y79,CH,2020,9.0
YR,M,Y8,CH,2020,73.4
YR,M,Y80,CH,2020,8.4
YR,M,Y81,CH,2020,7.8
YR,M,Y82,CH,2020,7.2
YR,M,Y83,CH,2020,6.7
YR,M,Y84,CH,2020,6.2
YR,M,Y9,CH,2020,72.4
YR,M,Y_GE85,CH,2020,5.7
YR,M,Y_LT1,CH,2020,81.0
YR,T,Y1,CH,2020,82.4
YR,T,Y10,CH,2020,73.5
YR,T,Y11,CH,2020,72.5
YR,T,Y12,CH,2020,71.5
YR,T,Y13,CH,2020,70.5
YR,T,Y14,CH,2020,69.5
YR,T,Y15,CH,2020,68.5
YR,T,Y16,CH,2020,67.5
YR,T,Y17,CH,2020,66.5
YR,T,Y18,CH,2020,65.6
YR,T,Y19,CH,2020,64.6
YR,T,Y2,CH,2020,81.4
YR,T,Y20,CH,2020,63.6
YR,T,Y21,CH,2020,62.6
YR,T,Y22,CH,2020,61.6
YR,T,Y23,CH,2020,60.7
YR,T,Y24,CH,2020,59.7
YR,T,Y25,CH,2020,58.7
YR,T,Y26,CH,2020,57.7
YR,T,Y27,CH,2020,56.7
YR,T,Y28,CH,2020,55.7
YR,T,Y29,CH,2020,54.8
YR,T,Y3,CH,2020,80.4
YR,T,Y30,CH,2020,53.8
YR,T,Y31,CH,2020,52.8
YR,T,Y32,CH,2020,51.8
YR,T,Y33,CH,2020,50.8
YR,T,Y34,CH,2020,49.9
YR,T,Y35,CH,2020,48.9
YR,T,Y36,CH,2020,47.9
YR,T,Y37,CH,2020,46.9
YR,T,Y38,CH,2020,45.9
YR,T,Y39,CH,2020,45.0
YR,T,Y4,CH,2020,79.4
YR,T,Y40,CH,2020,44.0
YR,T,Y41,CH,2020,43.0
YR,T,Y42,CH,2020,42.0
YR,T,Y43,CH,2020,41.1
YR,T,Y44,CH,2020,40.1
YR,T,Y45,CH,2020,39.1
YR,T,Y46,CH,2020,38.2
YR,T,Y47,CH,2020,37.2
YR,T,Y48,CH,2020,36.3
YR,T,Y49,CH,2020,35.3
YR,T,Y5,CH,2020,78.5
YR,T,Y50,CH,2020,34.4
YR,T,Y51,CH,2020,33.4
YR,T,Y52,CH,2020,32.5
YR,T,Y53,CH,2020,31.6
YR,T,Y54,CH,2020,30.6
YR,T,Y55,CH,2020,29.7
YR,T,Y56,CH,2020,28.8
YR,T,Y57,CH,2020,27.9
YR,T,Y58,CH,2020,27.0
YR,T,Y59,CH,2020,26.1
YR,T,Y6,CH,2020,77.5
YR,T,Y60,CH,2020,25.2
YR,T,Y61,CH,2020,24.3
YR,T,Y62,CH,2020,23.4
YR,T,Y63,CH,2020,22.5
YR,T,Y64,CH,2020,21.7
YR,T,Y65,CH,2020,20.8
YR,T,Y66,CH,2020,20.0
YR,T,Y67,CH,2020,19.1
YR,T,Y68,CH,2020,18.3
YR,T,Y69,CH,2020,17.5
YR,T,Y7,CH,2020,76.5
YR,T,Y70,CH,2020,16.7
YR,T,Y71,CH,2020,15.9
YR,T,Y72,CH,2020,15.1
YR,T,Y73,CH,2020,14.4
YR,T,Y74,CH,2020,13.6
YR,T,Y75,CH,2020,12.9
YR,T,Y76,CH,2020,12.1
YR,T,Y77,CH,2020,11.4
YR,T,Y78,CH,2020,10.7
YR,T,Y79,CH,2020,10.0
YR,T,Y8,CH,2020,75.5
YR,T,Y80,CH,2020,9.4
YR,T,Y81,CH,2020,8.7
YR,T,Y82,CH,2020,8.1
YR,T,Y83,CH,2020,7.5
YR,T,Y84,CH,2020,6.9
YR,T,Y9,CH,2020,74.5
YR,T,Y_GE85,CH,2020,6.4
YR,T,Y_LT1,CH,2020,83.1
YR,F,Y1,CH,2019,85.1
YR,F,Y10,CH,2019,76.2
YR,F,Y11,CH,2019,75.2
YR,F,Y12,CH,2019,74.2
YR,F,Y13,CH,2019,73.2
YR,F,Y14,CH,2019,72.2
YR,F,Y15,CH,2019,71.2
YR,F,Y16,CH,2019,70.2
YR,F,Y17,CH,2019,69.2
YR,F,Y18,CH,2019,68.2
YR,F,Y19,CH,2019,67.2
YR,F,Y2,CH,2019,84.1
YR,F,Y20,CH,2019,66.2
YR,F,Y21,CH,2019,65.2
YR,F,Y22,CH,2019,64.3
YR,F,Y23,CH,2019,63.3
YR,F,Y24,CH,2019,62.3
YR,F,Y25,CH,2019,61.3
YR,F,Y26,CH,2019,60.3
YR,F,Y27,CH,2019,59.3
YR,F,Y28,CH,2019,58.3
YR,F,Y29,CH,2019,57.3
YR,F,Y3,CH,2019,83.1
YR,F,Y30,CH,2019,56.4
YR,F,Y31,CH,2019,55.4
YR,F,Y32,CH,2019,54.4
YR,F,Y33,CH,2019,53.4
YR,F,Y34,CH,2019,52.4
YR,F,Y35,CH,2019,51.4
YR,F,Y36,CH,2019,50.4
YR,F,Y37,CH,2019,49.4
YR,F,Y38,CH,2019,48.5
YR,F,Y39,CH,2019,47.5
YR,F,Y4,CH,2019,82.1
YR,F,Y40,CH,2019,46.5
YR,F,Y41,CH,2019,45.5
YR,F,Y42,CH,2019,44.5
YR,F,Y43,CH,2019,43.6
YR,F,Y44,CH,2019,42.6
YR,F,Y45,CH,2019,41.6
YR,F,Y46,CH,2019,40.7
YR,F,Y47,CH,2019,39.7
YR,F,Y48,CH,2019,38.7
YR,F,Y49,CH,2019,37.8
YR,F,Y5,CH,2019,81.2
YR,F,Y50,CH,2019,36.8
YR,F,Y51,CH,2019,35.8
YR,F,Y52,CH,2019,34.9
