unit,sex,age,region,year,value
YR,F,Y65,CY,2021,21.2
YR,F,Y_LT1,CY,2021,83.9
YR,M,Y65,CY,2021,18.4
YR,M,Y_LT1,CY,2021,79.8
YR,T,Y65,CY,2021,19.8
YR,T,Y_LT1,CY,2021,81.8
YR,F,Y1,CY,2020,83.5
YR,F,Y10,CY,2020,74.6
YR,F,Y11,CY,2020,73.6
YR,F,Y12,CY,2020,72.6
YR,F,Y13,CY,2020,71.6
YR,F,Y14,CY,2020,70.6
YR,F,Y15,CY,2020,69.6
YR,F,Y16,CY,2020,68.6
YR,F,Y17,CY,2020,67.6
YR,F,Y18,CY,2020,66.6
YR,F,Y19,CY,2020,65.6
YR,F,Y2,CY,2020,82.6
YR,F,Y20,CY,2020,64.6
YR,F,Y21,CY,2020,63.6
YR,F,Y22,CY,2020,62.6
YR,F,Y23,CY,2020,61.7
YR,F,Y24,CY,2020,60.7
YR,F,Y25,CY,2020,59.7
YR,F,Y26,CY,2020,58.7
YR,F,Y27,CY,2020,57.7
YR,F,Y28,CY,2020,56.7
YR,F,Y29,CY,2020,55.7
YR,F,Y3,CY,2020,81.6
YR,F,Y30,CY,2020,54.7
YR,F,Y31,CY,2020,53.7
YR,F,Y32,CY,2020,52.7
YR,F,Y33,CY,2020,51.8
YR,F,Y34,CY,2020,50.8
YR,F,Y35,CY,2020,49.8
YR,F,Y36,CY,2020,48.8
YR,F,Y37,CY,2020,47.8
YR,F,Y38,CY,2020,46.9
YR,F,Y39,CY,2020,45.9
YR,F,Y4,CY,2020,80.6
YR,F,Y40,CY,2020,44.9
YR,F,Y41,CY,2020,43.9
YR,F,Y42,CY,2020,42.9
YR,F,Y43,CY,2020,41.9
YR,F,Y44,CY,2020,41.0
YR,F,Y45,CY,2020,40.0
YR,F,Y46,CY,2020,39.1
YR,F,Y47,CY,2020,38.1
YR,F,Y48,CY,2020,37.2
YR,F,Y49,CY,2020,36.2
YR,F,Y5,CY,2020,79.6
YR,F,Y50,CY,2020,35.3
YR,F,Y51,CY,2020,34.4
YR,F,Y52,CY,2020,33.4
YR,F,Y53,CY,2020,32.5
YR,F,Y54,CY,2020,31.6
YR,F,Y55,CY,2020,30.6
YR,F,Y56,CY,2020,29.7
YR,F,Y57,CY,2020,28.8
YR,F,Y58,CY,2020,27.9
YR,F,Y59,CY,2020,26.9
YR,F,Y6,CY,2020,78.6
YR,F,Y60,CY,2020,26.0
YR,F,Y61,CY,2020,25.1
YR,F,Y62,CY,2020,24.2
YR,F,Y63,CY,2020,23.3
YR,F,Y64,CY,2020,22.4
YR,F,Y65,CY,2020,21.5
YR,F,Y66,CY,2020,20.6
YR,F,Y67,CY,2020,19.8
YR,F,Y68,CY,2020,18.9
YR,F,Y69,CY,2020,18.0
YR,F,Y7,CY,2020,77.6
YR,F,Y70,CY,2020,17.1
YR,F,Y71,CY,2020,16.3
YR,F,Y72,CY,2020,15.4
YR,F,Y73,CY,2020,14.6
YR,F,Y74,CY,2020,13.8
YR,F,Y75,CY,2020,13.0
YR,F,Y76,CY,2020,12.3
YR,F,Y77,CY,2020,11.5
YR,F,Y78,CY,2020,10.8
YR,F,Y79,CY,2020,10.0
YR,F,Y8,CY,2020,76.6
YR,F,Y80,CY,2020,9.3
YR,F,Y81,CY,2020,8.6
YR,F,Y82,CY,2020,7.9
YR,F,Y83,CY,2020,7.2
YR,F,Y84,CY,2020,6.7
YR,F,Y9,CY,2020,75.6
YR,F,Y_GE85,CY,2020,6.2
YR,F,Y_LT1,CY,2020,84.4
YR,M,Y1,CY,2020,79.6
YR,M,Y10,CY,2020,70.6
YR,M,Y11,CY,2020,69.6
YR,M,Y12,CY,2020,68.7
YR,M,Y13,CY,2020,67.7
YR,M,Y14,CY,2020,66.7
YR,M,Y15,CY,2020,65.7
YR,M,Y16,CY,2020,64.7
YR,M,Y17,CY,2020,63.7
YR,M,Y18,CY,2020,62.7
YR,M,Y19,CY,2020,61.7
YR,M,Y2,CY,2020,78.6
YR,M,Y20,CY,2020,60.7
YR,M,Y21,CY,2020,59.7
YR,M,Y22,CY,2020,58.8
YR,M,Y23,CY,2020,57.8
YR,M,Y24,CY,2020,56.9
YR,M,Y25,CY,2020,55.9
YR,M,Y26,CY,2020,54.9
YR,M,Y27,CY,2020,53.9
YR,M,Y28,CY,2020,52.9
YR,M,Y29,CY,2020,52.0
YR,M,Y3,CY,2020,77.6
YR,M,Y30,CY,2020,51.0
YR,M,Y31,CY,2020,50.0
YR,M,Y32,CY,2020,49.0
YR,M,Y33,CY,2020,48.0
YR,M,Y34,CY,2020,47.1
YR,M,Y35,CY,2020,46.1
YR,M,Y36,CY,2020,45.1
YR,M,Y37,CY,2020,44.1
YR,M,Y38,CY,2020,43.2
YR,M,Y39,CY,2020,42.2
YR,M,Y4,CY,2020,76.6
YR,M,Y40,CY,2020,41.3
YR,M,Y41,CY,2020,40.3
YR,M,Y42,CY,2020,39.4
YR,M,Y43,CY,2020,38.4
YR,M,Y44,CY,2020,37.4
YR,M,Y45,CY,2020,36.5
YR,M,Y46,CY,2020,35.5
YR,M,Y47,CY,2020,34.6
YR,M,Y48,CY,2020,33.7
YR,M,Y49,CY,2020,32.8
YR,M,Y5,CY,2020,75.6
YR,M,Y50,CY,2020,31.9
YR,M,Y51,CY,2020,30.9
YR,M,Y52,CY,2020,30.0
YR,M,Y53,CY,2020,29.1
YR,M,Y54,CY,2020,28.2
YR,M,Y55,CY,2020,27.3
YR,M,Y56,CY,2020,26.4
YR,M,Y57,CY,2020,25.6
YR,M,Y58,CY,2020,24.7
YR,M,Y59,CY,2020,23.9
YR,M,Y6,CY,2020,74.6
YR,M,Y60,CY,2020,23.0
YR,M,Y61,CY,2020,22.2
YR,M,Y62,CY,2020,21.4
YR,M,Y63,CY,2020,20.6
YR,M,Y64,CY,2020,19.8
YR,M,Y65,CY,2020,19.1
YR,M,Y66,CY,2020,18.3
YR,M,Y67,CY,2020,17.5
YR,M,Y68,CY,2020,16.7
YR,M,Y69,CY,2020,15.9
YR,M,Y7,CY,2020,73.6
YR,M,Y70,CY,2020,15.1
YR,M,Y71,CY,2020,14.4
YR,M,Y72,CY,2020,13.7
YR,M,Y73,CY,2020,13.0
YR,M,Y74,CY,2020,12.2
YR,M,Y75,CY,2020,11.6
YR,M,Y76,CY,2020,10.9
YR,M,Y77,CY,2020,10.3
YR,M,Y78,CY,2020,9.6
YR,M,Y79,CY,2020,8.9
YR,M,Y8,CY,2020,72.6
YR,M,Y80,CY,2020,8.3
YR,M,Y81,CY,2020,7.8
YR,M,Y82,CY,2020,7.3
YR,M,Y83,CY,2020,6.8
YR,M,Y84,CY,2020,6.3
YR,M,Y9,CY,2020,71.6
YR,M,Y_GE85,CY,2020,6.0
YR,M,Y_LT1,CY,2020,80.4
YR,T,Y1,CY,2020,81.5
YR,T,Y10,CY,2020,72.6
YR,T,Y11,CY,2020,71.6
YR,T,Y12,CY,2020,70.6
YR,T,Y13,CY,2020,69.6
YR,T,Y14,CY,2020,68.6
YR,T,Y15,CY,2020,67.6
YR,T,Y16,CY,2020,66.6
YR,T,Y17,CY,2020,65.6
YR,T,Y18,CY,2020,64.6
YR,T,Y19,CY,2020,63.7
YR,T,Y2,CY,2020,80.6
YR,T,Y20,CY,2020,62.7
YR,T,Y21,CY,2020,61.7
YR,T,Y22,CY,2020,60.7
YR,T,Y23,CY,2020,59.7
YR,T,Y24,CY,2020,58.8
YR,T,Y25,CY,2020,57.8
YR,T,Y26,CY,2020,56.8
YR,T,Y27,CY,2020,55.8
YR,T,Y28,CY,2020,54.8
YR,T,Y29,CY,2020,53.8
YR,T,Y3,CY,2020,79.6
YR,T,Y30,CY,2020,52.9
YR,T,Y31,CY,2020,51.9
YR,T,Y32,CY,2020,50.9
YR,T,Y33,CY,2020,49.9
YR,T,Y34,CY,2020,48.9
YR,T,Y35,CY,2020,47.9
YR,T,Y36,CY,2020,47.0
YR,T,Y37,CY,2020,46.0
YR,T,Y38,CY,2020,45.0
YR,T,Y39,CY,2020,44.0
YR,T,Y4,CY,2020,78.6
YR,T,Y40,CY,2020,43.1
YR,T,Y41,CY,2020,42.1
YR,T,Y42,CY,2020,41.1
YR,T,Y43,CY,2020,40.2
YR,T,Y44,CY,2020,39.2
YR,T,Y45,CY,2020,38.3
YR,T,Y46,CY,2020,37.3
YR,T,Y47,CY,2020,36.4
YR,T,Y48,CY,2020,35.5
YR,T,Y49,CY,2020,34.5
YR,T,Y5,CY,2020,77.6
YR,T,Y50,CY,2020,33.6
YR,T,Y51,CY,2020,32.7
YR,T,Y52,CY,2020,31.7
YR,T,Y53,CY,2020,30.8
YR,T,Y54,CY,2020,29.9
YR,T,Y55,CY,2020,29.0
YR,T,Y56,CY,2020,28.1
YR,T,Y57,CY,2020,27.2
YR,T,Y58,CY,2020,26.3
YR,T,Y59,CY,2020,25.4
YR,T,Y6,CY,2020,76.6
YR,T,Y60,CY,2020,24.5
YR,T,Y61,CY,2020,23.7
YR,T,Y62,CY,2020,22.9
YR,T,Y63,CY,2020,22.0
YR,T,Y64,CY,2020,21.2
YR,T,Y65,CY,2020,20.3
YR,T,Y66,CY,2020,19.5
YR,T,Y67,CY,2020,18.7
YR,T,Y68,CY,2020,17.8
YR,T,Y69,CY,2020,17.0
YR,T,Y7,CY,2020,75.6
YR,T,Y70,CY,2020,16.2
YR,T,Y71,CY,2020,15.4
YR,T,Y72,CY,2020,14.6
YR,T,Y73,CY,2020,13.8
YR,T,Y74,CY,2020,13.1
YR,T,Y75,CY,2020,12.3
YR,T,Y76,CY,2020,11.7
YR,T,Y77,CY,2020,11.0
YR,T,Y78,CY,2020,10.3
YR,T,Y79,CY,2020,9.5
YR,T,Y8,CY,2020,74.6
YR,T,Y80,CY,2020,8.9
YR,T,Y81,CY,2020,8.2
YR,T,Y82,CY,2020,7.6
YR,T,Y83,CY,2020,7.0
YR,T,Y84,CY,2020,6.5
YR,T,Y9,CY,2020,73.6
YR,T,Y_GE85,CY,2020,6.1
YR,T,Y_LT1,CY,2020,82.4
YR,F,Y1,CY,2019,83.6
YR,F,Y10,CY,2019,74.7
YR,F,Y11,CY,2019,73.7
YR,F,Y12,CY,2019,72.7
YR,F,Y13,CY,2019,71.7
YR,F,Y14,CY,2019,70.7
YR,F,Y15,CY,2019,69.7
YR,F,Y16,CY,2019,68.7
YR,F,Y17,CY,2019,67.7
YR,F,Y18,CY,2019,66.8
YR,F,Y19,CY,2019,65.8
YR,F,Y2,CY,2019,82.6
YR,F,Y20,CY,2019,64.8
YR,F,Y21,CY,2019,63.8
YR,F,Y22,CY,2019,62.8
YR,F,Y23,CY,2019,61.8
YR,F,Y24,CY,2019,60.8
YR,F,Y25,CY,2019,59.8
YR,F,Y26,CY,2019,58.8
YR,F,Y27,CY,2019,57.8
YR,F,Y28,CY,2019,56.8
YR,F,Y29,CY,2019,55.8
YR,F,Y3,CY,2019,81.6
YR,F,Y30,CY,2019,54.8
YR,F,Y31,CY,2019,53.8
YR,F,Y32,CY,2019,52.9
YR,F,Y33,CY,2019,51.9
YR,F,Y34,CY,2019,50.9
YR,F,Y35,CY,2019,49.9
YR,F,Y36,CY,2019,48.9
YR,F,Y37,CY,2019,48.0
YR,F,Y38,CY,2019,47.0
YR,F,Y39,CY,2019,46.0
YR,F,Y4,CY,2019,80.6
YR,F,Y40,CY,2019,45.0
YR,F,Y41,CY,2019,44.1
YR,F,Y42,CY,2019,43.1
YR,F,Y43,CY,2019,42.1
YR,F,Y44,CY,2019,41.1
YR,F,Y45,CY,2019,40.2
YR,F,Y46,CY,2019,39.2
YR,F,Y47,CY,2019,38.2
YR,F,Y48,CY,2019,37.3
YR,F,Y49,CY,2019,36.3
YR,F,Y5,CY,2019,79.6
YR,F,Y50,CY,2019,35.4
YR,F,Y51,CY,2019,34.4
YR,F,Y52,CY,2019,33.5
YR,F,Y53,CY,2019,32.5
YR,F,Y54,CY,2019,31.6
YR,F,Y55,CY,2019,30.6
YR,F,Y56,CY,2019,29.7
YR,F,Y57,CY,2019,28.8
YR,F,Y58,CY,2019,27.8
YR,F,Y59,CY,2019,26.9
YR,F,Y6,CY,2019,78.6
YR,F,Y60,CY,2019,26.0
YR,F,Y61,CY,2019,25.1
YR,F,Y62,CY,2019,24.2
YR,F,Y63,CY,2019,23.3
YR,F,Y64,CY,2019,22.4
YR,F,Y65,CY,2019,21.5
YR,F,Y66,CY,2019,20.6
YR,F,Y67,CY,2019,19.8
YR,F,Y68,CY,2019,18.9
YR,F,Y69,CY,2019,18.0
YR,F,Y7,CY,2019,77.6
YR,F,Y70,CY,2019,17.1
YR,F,Y71,CY,2019,16.2
YR,F,Y72,CY,2019,15.4
YR,F,Y73,CY,2019,14.6
YR,F,Y74,CY,2019,13.8
