unit,sex,age,region,year,value
YR,F,Y65,CZ,2021,18.7
YR,F,Y_LT1,CZ,2021,80.6
YR,M,Y65,CZ,2021,14.7
YR,M,Y_LT1,CZ,2021,74.3
YR,T,Y65,CZ,2021,16.8
YR,T,Y_LT1,CZ,2021,77.4
YR,F,Y1,CZ,2020,80.5
YR,F,Y10,CZ,2020,71.5
YR,F,Y11,CZ,2020,70.5
YR,F,Y12,CZ,2020,69.5
YR,F,Y13,CZ,2020,68.5
YR,F,Y14,CZ,2020,67.5
YR,F,Y15,CZ,2020,66.5
YR,F,Y16,CZ,2020,65.6
YR,F,Y17,CZ,2020,64.6
YR,F,Y18,CZ,2020,63.6
YR,F,Y19,CZ,2020,62.6
YR,F,Y2,CZ,2020,79.5
YR,F,Y20,CZ,2020,61.6
YR,F,Y21,CZ,2020,60.6
YR,F,Y22,CZ,2020,59.6
YR,F,Y23,CZ,2020,58.6
YR,F,Y24,CZ,2020,57.6
YR,F,Y25,CZ,2020,56.6
YR,F,Y26,CZ,2020,55.7
YR,F,Y27,CZ,2020,54.7
YR,F,Y28,CZ,2020,53.7
YR,F,Y29,CZ,2020,52.7
YR,F,Y3,CZ,2020,78.5
YR,F,Y30,CZ,2020,51.7
YR,F,Y31,CZ,2020,50.7
YR,F,Y32,CZ,2020,49.8
YR,F,Y33,CZ,2020,48.8
YR,F,Y34,CZ,2020,47.8
YR,F,Y35,CZ,2020,46.8
YR,F,Y36,CZ,2020,45.9
YR,F,Y37,CZ,2020,44.9
YR,F,Y38,CZ,2020,43.9
YR,F,Y39,CZ,2020,42.9
YR,F,Y4,CZ,2020,77.5
YR,F,Y40,CZ,2020,42.0
YR,F,Y41,CZ,2020,41.0
YR,F,Y42,CZ,2020,40.0
YR,F,Y43,CZ,2020,39.1
YR,F,Y44,CZ,2020,38.1
YR,F,Y45,CZ,2020,37.1
YR,F,Y46,CZ,2020,36.2
YR,F,Y47,CZ,2020,35.2
YR,F,Y48,CZ,2020,34.3
YR,F,Y49,CZ,2020,33.4
YR,F,Y5,CZ,2020,76.5
YR,F,Y50,CZ,2020,32.4
YR,F,Y51,CZ,2020,31.5
YR,F,Y52,CZ,2020,30.6
YR,F,Y53,CZ,2020,29.7
YR,F,Y54,CZ,2020,28.7
YR,F,Y55,CZ,2020,27.8
YR,F,Y56,CZ,2020,26.9
YR,F,Y57,CZ,2020,26.0
YR,F,Y58,CZ,2020,25.1
YR,F,Y59,CZ,2020,24.2
YR,F,Y6,CZ,2020,75.5
YR,F,Y60,CZ,2020,23.4
YR,F,Y61,CZ,2020,22.5
YR,F,Y62,CZ,2020,21.6
YR,F,Y63,CZ,2020,20.8
YR,F,Y64,CZ,2020,19.9
YR,F,Y65,CZ,2020,19.1
YR,F,Y66,CZ,2020,18.3
YR,F,Y67,CZ,2020,17.4
YR,F,Y68,CZ,2020,16.6
YR,F,Y69,CZ,2020,15.9
YR,F,Y7,CZ,2020,74.5
YR,F,Y70,CZ,2020,15.1
YR,F,Y71,CZ,2020,14.3
YR,F,Y72,CZ,2020,13.5
YR,F,Y73,CZ,2020,12.8
YR,F,Y74,CZ,2020,12.1
YR,F,Y75,CZ,2020,11.4
YR,F,Y76,CZ,2020,10.7
YR,F,Y77,CZ,2020,10.0
YR,F,Y78,CZ,2020,9.4
YR,F,Y79,CZ,2020,8.7
YR,F,Y8,CZ,2020,73.5
YR,F,Y80,CZ,2020,8.1
YR,F,Y81,CZ,2020,7.5
YR,F,Y82,CZ,2020,7.0
YR,F,Y83,CZ,2020,6.4
YR,F,Y84,CZ,2020,5.9
YR,F,Y9,CZ,2020,72.5
YR,F,Y_GE85,CZ,2020,5.4
YR,F,Y_LT1,CZ,2020,81.3
YR,M,Y1,CZ,2020,74.5
YR,M,Y10,CZ,2020,65.6
YR,M,Y11,CZ,2020,64.6
YR,M,Y12,CZ,2020,63.6
YR,M,Y13,CZ,2020,62.6
YR,M,Y14,CZ,2020,61.6
YR,M,Y15,CZ,2020,60.6
YR,M,Y16,CZ,2020,59.6
YR,M,Y17,CZ,2020,58.6
YR,M,Y18,CZ,2020,57.6
YR,M,Y19,CZ,2020,56.7
YR,M,Y2,CZ,2020,73.5
YR,M,Y20,CZ,2020,55.7
YR,M,Y21,CZ,2020,54.7
YR,M,Y22,CZ,2020,53.8
YR,M,Y23,CZ,2020,52.8
YR,M,Y24,CZ,2020,51.8
YR,M,Y25,CZ,2020,50.9
YR,M,Y26,CZ,2020,49.9
YR,M,Y27,CZ,2020,48.9
YR,M,Y28,CZ,2020,48.0
YR,M,Y29,CZ,2020,47.0
YR,M,Y3,CZ,2020,72.5
YR,M,Y30,CZ,2020,46.0
YR,M,Y31,CZ,2020,45.1
YR,M,Y32,CZ,2020,44.1
YR,M,Y33,CZ,2020,43.1
YR,M,Y34,CZ,2020,42.2
YR,M,Y35,CZ,2020,41.2
YR,M,Y36,CZ,2020,40.3
YR,M,Y37,CZ,2020,39.3
YR,M,Y38,CZ,2020,38.4
YR,M,Y39,CZ,2020,37.4
YR,M,Y4,CZ,2020,71.5
YR,M,Y40,CZ,2020,36.5
YR,M,Y41,CZ,2020,35.5
YR,M,Y42,CZ,2020,34.6
YR,M,Y43,CZ,2020,33.7
YR,M,Y44,CZ,2020,32.7
YR,M,Y45,CZ,2020,31.8
YR,M,Y46,CZ,2020,30.9
YR,M,Y47,CZ,2020,30.0
YR,M,Y48,CZ,2020,29.0
YR,M,Y49,CZ,2020,28.1
YR,M,Y5,CZ,2020,70.5
YR,M,Y50,CZ,2020,27.2
YR,M,Y51,CZ,2020,26.4
YR,M,Y52,CZ,2020,25.5
YR,M,Y53,CZ,2020,24.6
YR,M,Y54,CZ,2020,23.8
YR,M,Y55,CZ,2020,22.9
YR,M,Y56,CZ,2020,22.1
YR,M,Y57,CZ,2020,21.3
YR,M,Y58,CZ,2020,20.5
YR,M,Y59,CZ,2020,19.7
YR,M,Y6,CZ,2020,69.5
YR,M,Y60,CZ,2020,18.9
YR,M,Y61,CZ,2020,18.1
YR,M,Y62,CZ,2020,17.3
YR,M,Y63,CZ,2020,16.6
YR,M,Y64,CZ,2020,15.9
YR,M,Y65,CZ,2020,15.2
YR,M,Y66,CZ,2020,14.5
YR,M,Y67,CZ,2020,13.8
YR,M,Y68,CZ,2020,13.2
YR,M,Y69,CZ,2020,12.6
YR,M,Y7,CZ,2020,68.5
YR,M,Y70,CZ,2020,11.9
YR,M,Y71,CZ,2020,11.3
YR,M,Y72,CZ,2020,10.7
YR,M,Y73,CZ,2020,10.2
YR,M,Y74,CZ,2020,9.6
YR,M,Y75,CZ,2020,9.1
YR,M,Y76,CZ,2020,8.5
YR,M,Y77,CZ,2020,8.0
YR,M,Y78,CZ,2020,7.5
YR,M,Y79,CZ,2020,7.1
YR,M,Y8,CZ,2020,67.6
YR,M,Y80,CZ,2020,6.6
YR,M,Y81,CZ,2020,6.1
YR,M,Y82,CZ,2020,5.7
YR,M,Y83,CZ,2020,5.3
YR,M,Y84,CZ,2020,4.9
YR,M,Y9,CZ,2020,66.6
YR,M,Y_GE85,CZ,2020,4.6
YR,M,Y_LT1,CZ,2020,75.3
YR,T,Y1,CZ,2020,77.4
YR,T,Y10,CZ,2020,68.5
YR,T,Y11,CZ,2020,67.5
YR,T,Y12,CZ,2020,66.5
YR,T,Y13,CZ,2020,65.5
YR,T,Y14,CZ,2020,64.5
YR,T,Y15,CZ,2020,63.5
YR,T,Y16,CZ,2020,62.6
YR,T,Y17,CZ,2020,61.6
YR,T,Y18,CZ,2020,60.6
YR,T,Y19,CZ,2020,59.6
YR,T,Y2,CZ,2020,76.5
YR,T,Y20,CZ,2020,58.6
YR,T,Y21,CZ,2020,57.6
YR,T,Y22,CZ,2020,56.7
YR,T,Y23,CZ,2020,55.7
YR,T,Y24,CZ,2020,54.7
YR,T,Y25,CZ,2020,53.7
YR,T,Y26,CZ,2020,52.8
YR,T,Y27,CZ,2020,51.8
YR,T,Y28,CZ,2020,50.8
YR,T,Y29,CZ,2020,49.8
YR,T,Y3,CZ,2020,75.5
YR,T,Y30,CZ,2020,48.9
YR,T,Y31,CZ,2020,47.9
YR,T,Y32,CZ,2020,46.9
YR,T,Y33,CZ,2020,46.0
YR,T,Y34,CZ,2020,45.0
YR,T,Y35,CZ,2020,44.0
YR,T,Y36,CZ,2020,43.1
YR,T,Y37,CZ,2020,42.1
YR,T,Y38,CZ,2020,41.1
YR,T,Y39,CZ,2020,40.2
YR,T,Y4,CZ,2020,74.5
YR,T,Y40,CZ,2020,39.2
YR,T,Y41,CZ,2020,38.3
YR,T,Y42,CZ,2020,37.3
YR,T,Y43,CZ,2020,36.4
YR,T,Y44,CZ,2020,35.4
YR,T,Y45,CZ,2020,34.5
YR,T,Y46,CZ,2020,33.5
YR,T,Y47,CZ,2020,32.6
YR,T,Y48,CZ,2020,31.7
YR,T,Y49,CZ,2020,30.8
YR,T,Y5,CZ,2020,73.5
YR,T,Y50,CZ,2020,29.9
YR,T,Y51,CZ,2020,29.0
YR,T,Y52,CZ,2020,28.1
YR,T,Y53,CZ,2020,27.2
YR,T,Y54,CZ,2020,26.3
YR,T,Y55,CZ,2020,25.4
YR,T,Y56,CZ,2020,24.6
YR,T,Y57,CZ,2020,23.7
YR,T,Y58,CZ,2020,22.9
YR,T,Y59,CZ,2020,22.0
YR,T,Y6,CZ,2020,72.5
YR,T,Y60,CZ,2020,21.2
YR,T,Y61,CZ,2020,20.4
YR,T,Y62,CZ,2020,19.6
YR,T,Y63,CZ,2020,18.8
YR,T,Y64,CZ,2020,18.0
YR,T,Y65,CZ,2020,17.3
YR,T,Y66,CZ,2020,16.5
YR,T,Y67,CZ,2020,15.8
YR,T,Y68,CZ,2020,15.0
YR,T,Y69,CZ,2020,14.4
YR,T,Y7,CZ,2020,71.5
YR,T,Y70,CZ,2020,13.7
YR,T,Y71,CZ,2020,13.0
YR,T,Y72,CZ,2020,12.3
YR,T,Y73,CZ,2020,11.7
YR,T,Y74,CZ,2020,11.0
YR,T,Y75,CZ,2020,10.4
YR,T,Y76,CZ,2020,9.8
YR,T,Y77,CZ,2020,9.2
YR,T,Y78,CZ,2020,8.6
YR,T,Y79,CZ,2020,8.1
YR,T,Y8,CZ,2020,70.5
YR,T,Y80,CZ,2020,7.5
YR,T,Y81,CZ,2020,7.0
YR,T,Y82,CZ,2020,6.5
YR,T,Y83,CZ,2020,6.0
YR,T,Y84,CZ,2020,5.6
YR,T,Y9,CZ,2020,69.5
YR,T,Y_GE85,CZ,2020,5.1
YR,T,Y_LT1,CZ,2020,78.3
YR,F,Y1,CZ,2019,81.4
YR,F,Y10,CZ,2019,72.5
YR,F,Y11,CZ,2019,71.5
YR,F,Y12,CZ,2019,70.5
YR,F,Y13,CZ,2019,69.5
YR,F,Y14,CZ,2019,68.5
YR,F,Y15,CZ,2019,67.5
YR,F,Y16,CZ,2019,66.5
YR,F,Y17,CZ,2019,65.6
YR,F,Y18,CZ,2019,64.6
YR,F,Y19,CZ,2019,63.6
YR,F,Y2,CZ,2019,80.4
YR,F,Y20,CZ,2019,62.6
YR,F,Y21,CZ,2019,61.6
YR,F,Y22,CZ,2019,60.6
YR,F,Y23,CZ,2019,59.6
YR,F,Y24,CZ,2019,58.7
YR,F,Y25,CZ,2019,57.7
YR,F,Y26,CZ,2019,56.7
YR,F,Y27,CZ,2019,55.7
YR,F,Y28,CZ,2019,54.7
YR,F,Y29,CZ,2019,53.7
YR,F,Y3,CZ,2019,79.4
YR,F,Y30,CZ,2019,52.7
YR,F,Y31,CZ,2019,51.8
YR,F,Y32,CZ,2019,50.8
YR,F,Y33,CZ,2019,49.8
YR,F,Y34,CZ,2019,48.8
YR,F,Y35,CZ,2019,47.8
YR,F,Y36,CZ,2019,46.9
YR,F,Y37,CZ,2019,45.9
YR,F,Y38,CZ,2019,44.9
YR,F,Y39,CZ,2019,44.0
YR,F,Y4,CZ,2019,78.5
YR,F,Y40,CZ,2019,43.0
YR,F,Y41,CZ,2019,42.0
YR,F,Y42,CZ,2019,41.0
YR,F,Y43,CZ,2019,40.1
YR,F,Y44,CZ,2019,39.1
YR,F,Y45,CZ,2019,38.2
YR,F,Y46,CZ,2019,37.2
YR,F,Y47,CZ,2019,36.3
YR,F,Y48,CZ,2019,35.3
YR,F,Y49,CZ,2019,34.4
YR,F,Y5,CZ,2019,77.5
YR,F,Y50,CZ,2019,33.4
YR,F,Y51,CZ,2019,32.5
YR,F,Y52,CZ,2019,31.6
YR,F,Y53,CZ,2019,30.6
YR,F,Y54,CZ,2019,29.7
YR,F,Y55,CZ,2019,28.8
YR,F,Y56,CZ,2019,27.9
YR,F,Y57,CZ,2019,27.0
YR,F,Y58,CZ,2019,26.1
YR,F,Y59,CZ,2019,25.2
YR,F,Y6,CZ,2019,76.5
YR,F,Y60,CZ,2019,24.3
YR,F,Y61,CZ,2019,23.5
YR,F,Y62,CZ,2019,22.6
YR,F,Y63,CZ,2019,21.8
YR,F,Y64,CZ,2019,20.9
YR,F,Y65,CZ,2019,20.1
YR,F,Y66,CZ,2019,19.3
YR,F,Y67,CZ,2019,18.4
YR,F,Y68,CZ,2019,17.6
YR,F,Y69,CZ,2019,16.8
YR,F,Y7,CZ,2019,75.5
YR,F,Y70,CZ,2019,16.1
YR,F,Y71,CZ,2019,15.3
YR,F,Y72,CZ,2019,14.5
YR,F,Y73,CZ,2019,13.8
YR,F,Y74,CZ,2019,13.0
YR,F,Y75,CZ,2019,12.3
YR,F,Y76,CZ,2019,11.6
YR,F,Y77,CZ,2019,10.9
YR,F,Y78,CZ,2019,10.3
YR,F,Y79,CZ,2019,9.6
YR,F,Y8,CZ,2019,74.5
YR,F,Y80,CZ,2019,9.0
YR,F,Y81,CZ,2019,8.4
YR,F,Y82,CZ,2019,7.8
YR,F,Y83,CZ,2019,7.3
YR,F,Y84,CZ,2019,6.8
YR,F,Y9,CZ,2019,73.5
YR,F,Y_GE85,CZ,2019,6.3
YR,F,Y_LT1,CZ,2019,82.2
YR,M,Y1,CZ,2019,75.6
YR,M,Y10,CZ,2019,66.7
YR,M,Y11,CZ,2019,65.7
YR,M,Y12,CZ,2019,64.7
YR,M,Y13,CZ,2019,63.7
YR,M,Y14,CZ,2019,62.7
YR,M,Y15,CZ,2019,61.7
YR,M,Y16,CZ,2019,60.8
YR,M,Y17,CZ,2019,59.8
YR,M,Y18,CZ,2019,58.8
YR,M,Y19,CZ,2019,57.8
YR,M,Y2,CZ,2019,74.6
YR,M,Y20,CZ,2019,56.9
YR,M,Y21,CZ,2019,55.9
YR,M,Y22,CZ,2019,54.9
YR,M,Y23,CZ,2019,54.0
YR,M,Y24,CZ,2019,53.0
YR,M,Y25,CZ,2019,52.1
YR,M,Y26,CZ,2019,51.1
YR,M,Y27,CZ,2019,50.1
YR,M,Y28,CZ,2019,49.2
YR,M,Y29,CZ,2019,48.2
YR,M,Y3,CZ,2019,73.7
YR,M,Y30,CZ,2019,47.2
YR,M,Y31,CZ,2019,46.3
YR,M,Y32,CZ,2019,45.3
YR,M,Y33,CZ,2019,44.4
YR,M,Y34,CZ,2019,43.4
YR,M,Y35,CZ,2019,42.4
YR,M,Y36,CZ,2019,41.5
YR,M,Y37,CZ,2019,40.5
YR,M,Y38,CZ,2019,39.6
YR,M,Y39,CZ,2019,38.6
YR,M,Y4,CZ,2019,72.7
YR,M,Y40,CZ,2019,37.7
YR,M,Y41,CZ,2019,36.7
YR,M,Y42,CZ,2019,35.8
YR,M,Y43,CZ,2019,34.8
YR,M,Y44,CZ,2019,33.9
YR,M,Y45,CZ,2019,33.0
YR,M,Y46,CZ,2019,32.1
YR,M,Y47,CZ,2019,31.1
YR,M,Y48,CZ,2019,30.2
YR,M,Y49,CZ,2019,29.3
YR,M,Y5,CZ,2019,71.7
YR,M,Y50,CZ,2019,28.4
YR,M,Y51,CZ,2019,27.6
YR,M,Y52,CZ,2019,26.7
YR,M,Y53,CZ,2019,25.8
YR,M,Y54,CZ,2019,25.0
YR,M,Y55,CZ,2019,24.1
YR,M,Y56,CZ,2019,23.3
YR,M,Y57,CZ,2019,22.5
YR,M,Y58,CZ,2019,21.6
YR,M,Y59,CZ,2019,20.8
YR,M,Y6,CZ,2019,70.7
YR,M,Y60,CZ,2019,20.1
YR,M,Y61,CZ,2019,19.3
YR,M,Y62,CZ,2019,18.5
YR,M,Y63,CZ,2019,17.8
YR,M,Y64,CZ,2019,17.1
YR,M,Y65,CZ,2019,16.4
YR,M,Y66,CZ,2019,15.7
YR,M,Y67,CZ,2019,15.0
YR,M,Y68,CZ,2019,14.4
YR,M,Y69,CZ,2019,13.7
YR,M,Y7,CZ,2019,69.7
YR,M,Y70,CZ,2019,13.1
YR,M,Y71,CZ,2019,12.5
