unit,sex,age,region,year,value
YR,F,Y65,EE,2021,19.7
YR,F,Y_LT1,EE,2021,81.3
YR,M,Y65,EE,2021,14.5
YR,M,Y_LT1,EE,2021,72.4
YR,T,Y65,EE,2021,17.5
YR,T,Y_LT1,EE,2021,76.9
YR,F,Y1,EE,2020,82.1
YR,F,Y10,EE,2020,73.1
YR,F,Y11,EE,2020,72.1
YR,F,Y12,EE,2020,71.2
YR,F,Y13,EE,2020,70.2
YR,F,Y14,EE,2020,69.2
YR,F,Y15,EE,2020,68.2
YR,F,Y16,EE,2020,67.2
YR,F,Y17,EE,2020,66.2
YR,F,Y18,EE,2020,65.2
YR,F,Y19,EE,2020,64.2
YR,F,Y2,EE,2020,81.1
YR,F,Y20,EE,2020,63.3
YR,F,Y21,EE,2020,62.3
YR,F,Y22,EE,2020,61.3
YR,F,Y23,EE,2020,60.3
YR,F,Y24,EE,2020,59.3
YR,F,Y25,EE,2020,58.3
YR,F,Y26,EE,2020,57.3
YR,F,Y27,EE,2020,56.4
YR,F,Y28,EE,2020,55.4
YR,F,Y29,EE,2020,54.4
YR,F,Y3,EE,2020,80.1
YR,F,Y30,EE,2020,53.4
YR,F,Y31,EE,2020,52.4
YR,F,Y32,EE,2020,51.4
YR,F,Y33,EE,2020,50.4
YR,F,Y34,EE,2020,49.4
YR,F,Y35,EE,2020,48.5
YR,F,Y36,EE,2020,47.5
YR,F,Y37,EE,2020,46.5
YR,F,Y38,EE,2020,45.6
YR,F,Y39,EE,2020,44.6
YR,F,Y4,EE,2020,79.1
YR,F,Y40,EE,2020,43.7
YR,F,Y41,EE,2020,42.7
YR,F,Y42,EE,2020,41.7
YR,F,Y43,EE,2020,40.8
YR,F,Y44,EE,2020,39.8
YR,F,Y45,EE,2020,38.9
YR,F,Y46,EE,2020,37.9
YR,F,Y47,EE,2020,37.0
YR,F,Y48,EE,2020,36.0
YR,F,Y49,EE,2020,35.1
YR,F,Y5,EE,2020,78.1
YR,F,Y50,EE,2020,34.2
YR,F,Y51,EE,2020,33.2
YR,F,Y52,EE,2020,32.4
YR,F,Y53,EE,2020,31.5
YR,F,Y54,EE,2020,30.6
YR,F,Y55,EE,2020,29.7
YR,F,Y56,EE,2020,28.8
YR,F,Y57,EE,2020,27.9
YR,F,Y58,EE,2020,27.1
YR,F,Y59,EE,2020,26.2
YR,F,Y6,EE,2020,77.1
YR,F,Y60,EE,2020,25.3
YR,F,Y61,EE,2020,24.4
YR,F,Y62,EE,2020,23.6
YR,F,Y63,EE,2020,22.7
YR,F,Y64,EE,2020,21.9
YR,F,Y65,EE,2020,21.1
YR,F,Y66,EE,2020,20.3
YR,F,Y67,EE,2020,19.5
YR,F,Y68,EE,2020,18.6
YR,F,Y69,EE,2020,17.9
YR,F,Y7,EE,2020,76.1
YR,F,Y70,EE,2020,17.1
YR,F,Y71,EE,2020,16.3
YR,F,Y72,EE,2020,15.5
YR,F,Y73,EE,2020,14.7
YR,F,Y74,EE,2020,14.0
YR,F,Y75,EE,2020,13.3
YR,F,Y76,EE,2020,12.6
YR,F,Y77,EE,2020,11.9
YR,F,Y78,EE,2020,11.1
YR,F,Y79,EE,2020,10.5
YR,F,Y8,EE,2020,75.1
YR,F,Y80,EE,2020,9.8
YR,F,Y81,EE,2020,9.2
YR,F,Y82,EE,2020,8.6
YR,F,Y83,EE,2020,8.1
YR,F,Y84,EE,2020,7.5
YR,F,Y9,EE,2020,74.1
YR,F,Y_GE85,EE,2020,7.1
YR,F,Y_LT1,EE,2020,83.0
YR,M,Y1,EE,2020,73.6
YR,M,Y10,EE,2020,64.6
YR,M,Y11,EE,2020,63.7
YR,M,Y12,EE,2020,62.7
YR,M,Y13,EE,2020,61.7
YR,M,Y14,EE,2020,60.7
YR,M,Y15,EE,2020,59.7
YR,M,Y16,EE,2020,58.7
YR,M,Y17,EE,2020,57.7
YR,M,Y18,EE,2020,56.7
YR,M,Y19,EE,2020,55.8
YR,M,Y2,EE,2020,72.6
YR,M,Y20,EE,2020,54.8
YR,M,Y21,EE,2020,53.8
YR,M,Y22,EE,2020,52.8
YR,M,Y23,EE,2020,51.9
YR,M,Y24,EE,2020,50.9
YR,M,Y25,EE,2020,49.9
YR,M,Y26,EE,2020,49.0
YR,M,Y27,EE,2020,48.0
YR,M,Y28,EE,2020,47.1
YR,M,Y29,EE,2020,46.1
YR,M,Y3,EE,2020,71.6
YR,M,Y30,EE,2020,45.1
YR,M,Y31,EE,2020,44.2
YR,M,Y32,EE,2020,43.2
YR,M,Y33,EE,2020,42.3
YR,M,Y34,EE,2020,41.4
YR,M,Y35,EE,2020,40.4
YR,M,Y36,EE,2020,39.5
YR,M,Y37,EE,2020,38.6
YR,M,Y38,EE,2020,37.6
YR,M,Y39,EE,2020,36.7
YR,M,Y4,EE,2020,70.6
YR,M,Y40,EE,2020,35.8
YR,M,Y41,EE,2020,34.9
YR,M,Y42,EE,2020,34.0
YR,M,Y43,EE,2020,33.1
YR,M,Y44,EE,2020,32.2
YR,M,Y45,EE,2020,31.3
YR,M,Y46,EE,2020,30.4
YR,M,Y47,EE,2020,29.6
YR,M,Y48,EE,2020,28.7
YR,M,Y49,EE,2020,27.8
YR,M,Y5,EE,2020,69.6
YR,M,Y50,EE,2020,27.0
YR,M,Y51,EE,2020,26.1
YR,M,Y52,EE,2020,25.3
YR,M,Y53,EE,2020,24.5
YR,M,Y54,EE,2020,23.7
