unit,sex,age,region,year,value
YR,F,Y65,EL,2021,20.8
YR,F,Y_LT1,EL,2021,83.0
YR,M,Y65,EL,2021,17.8
YR,M,Y_LT1,EL,2021,77.5
YR,T,Y65,EL,2021,19.3
YR,T,Y_LT1,EL,2021,80.3
YR,F,Y1,EL,2020,83.1
YR,F,Y10,EL,2020,74.2
YR,F,Y11,EL,2020,73.2
YR,F,Y12,EL,2020,72.2
YR,F,Y13,EL,2020,71.2
YR,F,Y14,EL,2020,70.2
YR,F,Y15,EL,2020,69.2
YR,F,Y16,EL,2020,68.2
YR,F,Y17,EL,2020,67.2
YR,F,Y18,EL,2020,66.2
YR,F,Y19,EL,2020,65.2
YR,F,Y2,EL,2020,82.1
YR,F,Y20,EL,2020,64.2
YR,F,Y21,EL,2020,63.2
YR,F,Y22,EL,2020,62.2
YR,F,Y23,EL,2020,61.3
YR,F,Y24,EL,2020,60.3
YR,F,Y25,EL,2020,59.3
YR,F,Y26,EL,2020,58.3
YR,F,Y27,EL,2020,57.3
YR,F,Y28,EL,2020,56.3
YR,F,Y29,EL,2020,55.3
YR,F,Y3,EL,2020,81.1
YR,F,Y30,EL,2020,54.3
YR,F,Y31,EL,2020,53.4
YR,F,Y32,EL,2020,52.4
YR,F,Y33,EL,2020,51.4
YR,F,Y34,EL,2020,50.4
YR,F,Y35,EL,2020,49.4
YR,F,Y36,EL,2020,48.4
YR,F,Y37,EL,2020,47.5
YR,F,Y38,EL,2020,46.5
YR,F,Y39,EL,2020,45.5
YR,F,Y4,EL,2020,80.1
YR,F,Y40,EL,2020,44.5
YR,F,Y41,EL,2020,43.5
YR,F,Y42,EL,2020,42.6
YR,F,Y43,EL,2020,41.6
YR,F,Y44,EL,2020,40.7
YR,F,Y45,EL,2020,39.7
YR,F,Y46,EL,2020,38.7
YR,F,Y47,EL,2020,37.8
YR,F,Y48,EL,2020,36.8
YR,F,Y49,EL,2020,35.9
YR,F,Y5,EL,2020,79.2
YR,F,Y50,EL,2020,34.9
YR,F,Y51,EL,2020,34.0
YR,F,Y52,EL,2020,33.1
YR,F,Y53,EL,2020,32.1
YR,F,Y54,EL,2020,31.2
YR,F,Y55,EL,2020,30.3
YR,F,Y56,EL,2020,29.4
YR,F,Y57,EL,2020,28.5
YR,F,Y58,EL,2020,27.6
YR,F,Y59,EL,2020,26.7
YR,F,Y6,EL,2020,78.2
YR,F,Y60,EL,2020,25.8
YR,F,Y61,EL,2020,24.9
YR,F,Y62,EL,2020,24.0
