unit,sex,age,region,year,value
YR,F,Y65,FI,2021,22.2
YR,F,Y_LT1,FI,2021,84.7
YR,M,Y65,FI,2021,18.7
YR,M,Y_LT1,FI,2021,79.3
YR,T,Y65,FI,2021,20.5
YR,T,Y_LT1,FI,2021,82.0
YR,F,Y1,FI,2020,83.9
YR,F,Y10,FI,2020,75.0
YR,F,Y11,FI,2020,74.0
YR,F,Y12,FI,2020,73.0
YR,F,Y13,FI,2020,72.0
YR,F,Y14,FI,2020,71.0
YR,F,Y15,FI,2020,70.0
YR,F,Y16,FI,2020,69.0
YR,F,Y17,FI,2020,68.0
YR,F,Y18,FI,2020,67.1
YR,F,Y19,FI,2020,66.1
YR,F,Y2,FI,2020,82.9
YR,F,Y20,FI,2020,65.1
YR,F,Y21,FI,2020,64.1
YR,F,Y22,FI,2020,63.1
YR,F,Y23,FI,2020,62.2
YR,F,Y24,FI,2020,61.2
YR,F,Y25,FI,2020,60.2
YR,F,Y26,FI,2020,59.2
YR,F,Y27,FI,2020,58.2
YR,F,Y28,FI,2020,57.2
YR,F,Y29,FI,2020,56.3
YR,F,Y3,FI,2020,82.0
YR,F,Y30,FI,2020,55.3
YR,F,Y31,FI,2020,54.3
YR,F,Y32,FI,2020,53.3
YR,F,Y33,FI,2020,52.3
YR,F,Y34,FI,2020,51.4
YR,F,Y35,FI,2020,50.4
YR,F,Y36,FI,2020,49.4
YR,F,Y37,FI,2020,48.4
YR,F,Y38,FI,2020,47.5
YR,F,Y39,FI,2020,46.5
YR,F,Y4,FI,2020,81.0
YR,F,Y40,FI,2020,45.5
YR,F,Y41,FI,2020,44.5
YR,F,Y42,FI,2020,43.6
YR,F,Y43,FI,2020,42.6
YR,F,Y44,FI,2020,41.6
YR,F,Y45,FI,2020,40.7
YR,F,Y46,FI,2020,39.7
YR,F,Y47,FI,2020,38.8
YR,F,Y48,FI,2020,37.8
YR,F,Y49,FI,2020,36.8
YR,F,Y5,FI,2020,80.0
YR,F,Y50,FI,2020,35.9
YR,F,Y51,FI,2020,35.0
YR,F,Y52,FI,2020,34.0
YR,F,Y53,FI,2020,33.1
YR,F,Y54,FI,2020,32.1
YR,F,Y55,FI,2020,31.2
YR,F,Y56,FI,2020,30.3
YR,F,Y57,FI,2020,29.4
YR,F,Y58,FI,2020,28.5
YR,F,Y59,FI,2020,27.5
YR,F,Y6,FI,2020,79.0
YR,F,Y60,FI,2020,26.6
YR,F,Y61,FI,2020,25.7
YR,F,Y62,FI,2020,24.9
