unit,sex,age,region,year,value
YR,F,Y1,FX,2012,84.7
YR,F,Y10,FX,2012,75.7
YR,F,Y11,FX,2012,74.7
YR,F,Y12,FX,2012,73.7
YR,F,Y13,FX,2012,72.7
YR,F,Y14,FX,2012,71.8
YR,F,Y15,FX,2012,70.8
YR,F,Y16,FX,2012,69.8
YR,F,Y17,FX,2012,68.8
YR,F,Y18,FX,2012,67.8
YR,F,Y19,FX,2012,66.8
YR,F,Y2,FX,2012,83.7
YR,F,Y20,FX,2012,65.8
YR,F,Y21,FX,2012,64.8
YR,F,Y22,FX,2012,63.8
YR,F,Y23,FX,2012,62.9
YR,F,Y24,FX,2012,61.9
YR,F,Y25,FX,2012,60.9
YR,F,Y26,FX,2012,59.9
YR,F,Y27,FX,2012,58.9
YR,F,Y28,FX,2012,57.9
YR,F,Y29,FX,2012,57.0
YR,F,Y3,FX,2012,82.7
YR,F,Y30,FX,2012,56.0
YR,F,Y31,FX,2012,55.0
YR,F,Y32,FX,2012,54.0
YR,F,Y33,FX,2012,53.0
YR,F,Y34,FX,2012,52.1
YR,F,Y35,FX,2012,51.1
YR,F,Y36,FX,2012,50.1
YR,F,Y37,FX,2012,49.1
YR,F,Y38,FX,2012,48.1
YR,F,Y39,FX,2012,47.2
YR,F,Y4,FX,2012,81.7
YR,F,Y40,FX,2012,46.2
YR,F,Y41,FX,2012,45.2
YR,F,Y42,FX,2012,44.3
YR,F,Y43,FX,2012,43.3
YR,F,Y44,FX,2012,42.4
YR,F,Y45,FX,2012,41.4
YR,F,Y46,FX,2012,40.5
YR,F,Y47,FX,2012,39.5
YR,F,Y48,FX,2012,38.6
YR,F,Y49,FX,2012,37.7
YR,F,Y5,FX,2012,80.7
YR,F,Y50,FX,2012,36.8
YR,F,Y51,FX,2012,35.8
YR,F,Y52,FX,2012,34.9
YR,F,Y53,FX,2012,34.0
YR,F,Y54,FX,2012,33.1
YR,F,Y55,FX,2012,32.2
YR,F,Y56,FX,2012,31.3
YR,F,Y57,FX,2012,30.4
YR,F,Y58,FX,2012,29.5
YR,F,Y59,FX,2012,28.6
YR,F,Y6,FX,2012,79.7
YR,F,Y60,FX,2012,27.8
