unit,sex,age,region,year,value
YR,F,Y1,GE,2019,77.9
YR,F,Y10,GE,2019,69.0
YR,F,Y11,GE,2019,68.0
YR,F,Y12,GE,2019,67.0
YR,F,Y13,GE,2019,66.1
YR,F,Y14,GE,2019,65.1
YR,F,Y15,GE,2019,64.1
YR,F,Y16,GE,2019,63.1
YR,F,Y17,GE,2019,62.1
YR,F,Y18,GE,2019,61.1
YR,F,Y19,GE,2019,60.2
YR,F,Y2,GE,2019,76.9
YR,F,Y20,GE,2019,59.2
YR,F,Y21,GE,2019,58.2
YR,F,Y22,GE,2019,57.2
YR,F,Y23,GE,2019,56.2
YR,F,Y24,GE,2019,55.3
YR,F,Y25,GE,2019,54.3
YR,F,Y26,GE,2019,53.3
YR,F,Y27,GE,2019,52.3
YR,F,Y28,GE,2019,51.3
YR,F,Y29,GE,2019,50.4
YR,F,Y3,GE,2019,75.9
YR,F,Y30,GE,2019,49.4
YR,F,Y31,GE,2019,48.4
YR,F,Y32,GE,2019,47.4
YR,F,Y33,GE,2019,46.5
YR,F,Y34,GE,2019,45.5
YR,F,Y35,GE,2019,44.5
YR,F,Y36,GE,2019,43.5
YR,F,Y37,GE,2019,42.6
YR,F,Y38,GE,2019,41.6
YR,F,Y39,GE,2019,40.6
YR,F,Y4,GE,2019,75.0
YR,F,Y40,GE,2019,39.7
YR,F,Y41,GE,2019,38.7
YR,F,Y42,GE,2019,37.8
YR,F,Y43,GE,2019,36.8
YR,F,Y44,GE,2019,35.9
YR,F,Y45,GE,2019,34.9
YR,F,Y46,GE,2019,34.0
YR,F,Y47,GE,2019,33.1
YR,F,Y48,GE,2019,32.1
YR,F,Y49,GE,2019,31.2
YR,F,Y5,GE,2019,74.0
YR,F,Y50,GE,2019,30.3
YR,F,Y51,GE,2019,29.3
YR,F,Y52,GE,2019,28.4
YR,F,Y53,GE,2019,27.5
YR,F,Y54,GE,2019,26.6
YR,F,Y55,GE,2019,25.8
YR,F,Y56,GE,2019,24.9
YR,F,Y57,GE,2019,24.0
YR,F,Y58,GE,2019,23.1
YR,F,Y59,GE,2019,22.3
YR,F,Y6,GE,2019,73.0
YR,F,Y60,GE,2019,21.4
YR,F,Y61,GE,2019,20.6
YR,F,Y62,GE,2019,19.7
YR,F,Y63,GE,2019,18.9
YR,F,Y64,GE,2019,18.1
YR,F,Y65,GE,2019,17.3
YR,F,Y66,GE,2019,16.5
YR,F,Y67,GE,2019,15.7
YR,F,Y68,GE,2019,14.9
YR,F,Y69,GE,2019,14.1
YR,F,Y7,GE,2019,72.0
YR,F,Y70,GE,2019,13.4
YR,F,Y71,GE,2019,12.6
YR,F,Y72,GE,2019,11.9
YR,F,Y73,GE,2019,11.2
YR,F,Y74,GE,2019,10.5
YR,F,Y75,GE,2019,9.8
YR,F,Y76,GE,2019,9.1
YR,F,Y77,GE,2019,8.5
YR,F,Y78,GE,2019,7.9
YR,F,Y79,GE,2019,7.3
YR,F,Y8,GE,2019,71.0
YR,F,Y80,GE,2019,6.7
YR,F,Y81,GE,2019,6.2
YR,F,Y82,GE,2019,5.7
YR,F,Y83,GE,2019,5.2
YR,F,Y84,GE,2019,4.8
YR,F,Y9,GE,2019,70.0
YR,F,Y_GE85,GE,2019,4.4
YR,F,Y_LT1,GE,2019,78.4
YR,M,Y1,GE,2019,69.4
YR,M,Y10,GE,2019,60.5
YR,M,Y11,GE,2019,59.5
YR,M,Y12,GE,2019,58.6
YR,M,Y13,GE,2019,57.6
YR,M,Y14,GE,2019,56.6
YR,M,Y15,GE,2019,55.6
YR,M,Y16,GE,2019,54.7
YR,M,Y17,GE,2019,53.7
YR,M,Y18,GE,2019,52.8
YR,M,Y19,GE,2019,51.8
YR,M,Y2,GE,2019,68.4
YR,M,Y20,GE,2019,50.8
YR,M,Y21,GE,2019,49.9
YR,M,Y22,GE,2019,48.9
YR,M,Y23,GE,2019,48.0
YR,M,Y24,GE,2019,47.0
YR,M,Y25,GE,2019,46.1
YR,M,Y26,GE,2019,45.2
YR,M,Y27,GE,2019,44.2
YR,M,Y28,GE,2019,43.3
YR,M,Y29,GE,2019,42.3
YR,M,Y3,GE,2019,67.5
YR,M,Y30,GE,2019,41.4
YR,M,Y31,GE,2019,40.5
YR,M,Y32,GE,2019,39.5
YR,M,Y33,GE,2019,38.6
YR,M,Y34,GE,2019,37.7
YR,M,Y35,GE,2019,36.7
YR,M,Y36,GE,2019,35.8
YR,M,Y37,GE,2019,34.9
YR,M,Y38,GE,2019,34.0
YR,M,Y39,GE,2019,33.1
YR,M,Y4,GE,2019,66.5
YR,M,Y40,GE,2019,32.2
YR,M,Y41,GE,2019,31.4
YR,M,Y42,GE,2019,30.5
YR,M,Y43,GE,2019,29.6
YR,M,Y44,GE,2019,28.8
YR,M,Y45,GE,2019,27.9
YR,M,Y46,GE,2019,27.1
YR,M,Y47,GE,2019,26.3
YR,M,Y48,GE,2019,25.5
YR,M,Y49,GE,2019,24.7
YR,M,Y5,GE,2019,65.5
YR,M,Y50,GE,2019,23.9
YR,M,Y51,GE,2019,23.1
YR,M,Y52,GE,2019,22.3
YR,M,Y53,GE,2019,21.6
YR,M,Y54,GE,2019,20.8
YR,M,Y55,GE,2019,20.1
