unit,sex,age,region,year,value
YR,F,Y65,HR,2021,18.2
YR,F,Y_LT1,HR,2021,79.9
YR,M,Y65,HR,2021,14.4
YR,M,Y_LT1,HR,2021,73.7
YR,T,Y65,HR,2021,16.4
YR,T,Y_LT1,HR,2021,76.8
YR,F,Y1,HR,2020,80.2
YR,F,Y10,HR,2020,71.3
YR,F,Y11,HR,2020,70.3
YR,F,Y12,HR,2020,69.3
YR,F,Y13,HR,2020,68.3
YR,F,Y14,HR,2020,67.3
YR,F,Y15,HR,2020,66.3
YR,F,Y16,HR,2020,65.3
YR,F,Y17,HR,2020,64.3
YR,F,Y18,HR,2020,63.4
YR,F,Y19,HR,2020,62.4
YR,F,Y2,HR,2020,79.2
YR,F,Y20,HR,2020,61.4
YR,F,Y21,HR,2020,60.4
YR,F,Y22,HR,2020,59.4
YR,F,Y23,HR,2020,58.4
YR,F,Y24,HR,2020,57.4
YR,F,Y25,HR,2020,56.4
YR,F,Y26,HR,2020,55.4
YR,F,Y27,HR,2020,54.5
YR,F,Y28,HR,2020,53.5
YR,F,Y29,HR,2020,52.5
YR,F,Y3,HR,2020,78.2
YR,F,Y30,HR,2020,51.5
YR,F,Y31,HR,2020,50.5
YR,F,Y32,HR,2020,49.5
YR,F,Y33,HR,2020,48.5
YR,F,Y34,HR,2020,47.5
YR,F,Y35,HR,2020,46.5
YR,F,Y36,HR,2020,45.6
YR,F,Y37,HR,2020,44.6
YR,F,Y38,HR,2020,43.6
YR,F,Y39,HR,2020,42.6
YR,F,Y4,HR,2020,77.2
YR,F,Y40,HR,2020,41.7
YR,F,Y41,HR,2020,40.7
YR,F,Y42,HR,2020,39.7
YR,F,Y43,HR,2020,38.8
YR,F,Y44,HR,2020,37.8
YR,F,Y45,HR,2020,36.9
YR,F,Y46,HR,2020,35.9
YR,F,Y47,HR,2020,35.0
YR,F,Y48,HR,2020,34.0
YR,F,Y49,HR,2020,33.1
YR,F,Y5,HR,2020,76.2
YR,F,Y50,HR,2020,32.1
YR,F,Y51,HR,2020,31.2
YR,F,Y52,HR,2020,30.3
YR,F,Y53,HR,2020,29.3
YR,F,Y54,HR,2020,28.4
YR,F,Y55,HR,2020,27.5
YR,F,Y56,HR,2020,26.6
YR,F,Y57,HR,2020,25.7
YR,F,Y58,HR,2020,24.8
YR,F,Y59,HR,2020,24.0
YR,F,Y6,HR,2020,75.3
YR,F,Y60,HR,2020,23.1
YR,F,Y61,HR,2020,22.2
YR,F,Y62,HR,2020,21.3
YR,F,Y63,HR,2020,20.5
YR,F,Y64,HR,2020,19.6
YR,F,Y65,HR,2020,18.8
YR,F,Y66,HR,2020,18.0
YR,F,Y67,HR,2020,17.2
YR,F,Y68,HR,2020,16.4
YR,F,Y69,HR,2020,15.6
YR,F,Y7,HR,2020,74.3
YR,F,Y70,HR,2020,14.9
YR,F,Y71,HR,2020,14.1
YR,F,Y72,HR,2020,13.3
YR,F,Y73,HR,2020,12.6
YR,F,Y74,HR,2020,11.8
YR,F,Y75,HR,2020,11.1
YR,F,Y76,HR,2020,10.4
YR,F,Y77,HR,2020,9.8
YR,F,Y78,HR,2020,9.2
YR,F,Y79,HR,2020,8.6
YR,F,Y8,HR,2020,73.3
YR,F,Y80,HR,2020,8.0
YR,F,Y81,HR,2020,7.4
YR,F,Y82,HR,2020,6.9
YR,F,Y83,HR,2020,6.4
