unit,sex,age,region,year,value
YR,F,Y65,HU,2021,17.5
YR,F,Y_LT1,HU,2021,78.0
YR,M,Y65,HU,2021,13.4
YR,M,Y_LT1,HU,2021,71.1
YR,T,Y65,HU,2021,15.7
YR,T,Y_LT1,HU,2021,74.5
YR,F,Y1,HU,2020,78.2
YR,F,Y10,HU,2020,69.3
YR,F,Y11,HU,2020,68.3
YR,F,Y12,HU,2020,67.3
YR,F,Y13,HU,2020,66.3
YR,F,Y14,HU,2020,65.3
YR,F,Y15,HU,2020,64.3
YR,F,Y16,HU,2020,63.3
YR,F,Y17,HU,2020,62.4
YR,F,Y18,HU,2020,61.4
YR,F,Y19,HU,2020,60.4
YR,F,Y2,HU,2020,77.3
YR,F,Y20,HU,2020,59.4
YR,F,Y21,HU,2020,58.4
YR,F,Y22,HU,2020,57.4
YR,F,Y23,HU,2020,56.4
YR,F,Y24,HU,2020,55.4
YR,F,Y25,HU,2020,54.5
YR,F,Y26,HU,2020,53.5
YR,F,Y27,HU,2020,52.5
YR,F,Y28,HU,2020,51.5
YR,F,Y29,HU,2020,50.5
YR,F,Y3,HU,2020,76.3
YR,F,Y30,HU,2020,49.5
YR,F,Y31,HU,2020,48.5
YR,F,Y32,HU,2020,47.6
YR,F,Y33,HU,2020,46.6
YR,F,Y34,HU,2020,45.6
YR,F,Y35,HU,2020,44.6
YR,F,Y36,HU,2020,43.7
YR,F,Y37,HU,2020,42.7
YR,F,Y38,HU,2020,41.7
YR,F,Y39,HU,2020,40.8
YR,F,Y4,HU,2020,75.3
YR,F,Y40,HU,2020,39.8
YR,F,Y41,HU,2020,38.8
YR,F,Y42,HU,2020,37.9
YR,F,Y43,HU,2020,36.9
YR,F,Y44,HU,2020,36.0
YR,F,Y45,HU,2020,35.0
YR,F,Y46,HU,2020,34.1
YR,F,Y47,HU,2020,33.2
YR,F,Y48,HU,2020,32.2
YR,F,Y49,HU,2020,31.3
YR,F,Y5,HU,2020,74.3
YR,F,Y50,HU,2020,30.4
YR,F,Y51,HU,2020,29.5
YR,F,Y52,HU,2020,28.6
YR,F,Y53,HU,2020,27.7
YR,F,Y54,HU,2020,26.8
YR,F,Y55,HU,2020,26.0
YR,F,Y56,HU,2020,25.1
YR,F,Y57,HU,2020,24.3
YR,F,Y58,HU,2020,23.4
YR,F,Y59,HU,2020,22.6
YR,F,Y6,HU,2020,73.3
YR,F,Y60,HU,2020,21.8
YR,F,Y61,HU,2020,21.0
YR,F,Y62,HU,2020,20.2
YR,F,Y63,HU,2020,19.4
YR,F,Y64,HU,2020,18.7
YR,F,Y65,HU,2020,17.9
YR,F,Y66,HU,2020,17.2
YR,F,Y67,HU,2020,16.5
YR,F,Y68,HU,2020,15.7
YR,F,Y69,HU,2020,15.0
YR,F,Y7,HU,2020,72.3
YR,F,Y70,HU,2020,14.3
