unit,sex,age,region,year,value
YR,F,Y1,IE,2020,83.7
YR,F,Y10,IE,2020,74.7
YR,F,Y11,IE,2020,73.7
YR,F,Y12,IE,2020,72.7
YR,F,Y13,IE,2020,71.7
YR,F,Y14,IE,2020,70.7
YR,F,Y15,IE,2020,69.7
YR,F,Y16,IE,2020,68.7
YR,F,Y17,IE,2020,67.8
YR,F,Y18,IE,2020,66.8
YR,F,Y19,IE,2020,65.8
YR,F,Y2,IE,2020,82.7
YR,F,Y20,IE,2020,64.8
YR,F,Y21,IE,2020,63.8
YR,F,Y22,IE,2020,62.8
YR,F,Y23,IE,2020,61.8
YR,F,Y24,IE,2020,60.8
YR,F,Y25,IE,2020,59.8
YR,F,Y26,IE,2020,58.8
YR,F,Y27,IE,2020,57.9
YR,F,Y28,IE,2020,56.9
YR,F,Y29,IE,2020,55.9
YR,F,Y3,IE,2020,81.7
YR,F,Y30,IE,2020,54.9
YR,F,Y31,IE,2020,53.9
YR,F,Y32,IE,2020,52.9
YR,F,Y33,IE,2020,51.9
YR,F,Y34,IE,2020,50.9
YR,F,Y35,IE,2020,50.0
YR,F,Y36,IE,2020,49.0
YR,F,Y37,IE,2020,48.0
YR,F,Y38,IE,2020,47.0
YR,F,Y39,IE,2020,46.1
YR,F,Y4,IE,2020,80.7
YR,F,Y40,IE,2020,45.1
YR,F,Y41,IE,2020,44.1
YR,F,Y42,IE,2020,43.2
YR,F,Y43,IE,2020,42.2
YR,F,Y44,IE,2020,41.2
YR,F,Y45,IE,2020,40.3
YR,F,Y46,IE,2020,39.3
YR,F,Y47,IE,2020,38.4
YR,F,Y48,IE,2020,37.4
YR,F,Y49,IE,2020,36.5
YR,F,Y5,IE,2020,79.7
YR,F,Y50,IE,2020,35.5
YR,F,Y51,IE,2020,34.6
YR,F,Y52,IE,2020,33.6
YR,F,Y53,IE,2020,32.7
YR,F,Y54,IE,2020,31.8
YR,F,Y55,IE,2020,30.9
YR,F,Y56,IE,2020,29.9
YR,F,Y57,IE,2020,29.0
YR,F,Y58,IE,2020,28.1
YR,F,Y59,IE,2020,27.2
YR,F,Y6,IE,2020,78.7
YR,F,Y60,IE,2020,26.3
YR,F,Y61,IE,2020,25.4
YR,F,Y62,IE,2020,24.5
YR,F,Y63,IE,2020,23.7
YR,F,Y64,IE,2020,22.8
YR,F,Y65,IE,2020,21.9
YR,F,Y66,IE,2020,21.1
YR,F,Y67,IE,2020,20.2
YR,F,Y68,IE,2020,19.4
YR,F,Y69,IE,2020,18.6
YR,F,Y7,IE,2020,77.7
YR,F,Y70,IE,2020,17.7
YR,F,Y71,IE,2020,16.9
YR,F,Y72,IE,2020,16.2
YR,F,Y73,IE,2020,15.4
YR,F,Y74,IE,2020,14.6
YR,F,Y75,IE,2020,13.9
YR,F,Y76,IE,2020,13.2
YR,F,Y77,IE,2020,12.4
YR,F,Y78,IE,2020,11.7
