unit,sex,age,region,year,value
YR,F,Y65,IS,2021,21.9
YR,F,Y_LT1,IS,2021,84.5
YR,M,Y65,IS,2021,20.5
YR,M,Y_LT1,IS,2021,81.8
YR,T,Y65,IS,2021,21.2
YR,T,Y_LT1,IS,2021,83.2
YR,F,Y1,IS,2020,83.7
YR,F,Y10,IS,2020,74.7
YR,F,Y11,IS,2020,73.8
YR,F,Y12,IS,2020,72.8
YR,F,Y13,IS,2020,71.8
YR,F,Y14,IS,2020,70.8
YR,F,Y15,IS,2020,69.8
YR,F,Y16,IS,2020,68.8
YR,F,Y17,IS,2020,67.8
YR,F,Y18,IS,2020,66.8
YR,F,Y19,IS,2020,65.8
YR,F,Y2,IS,2020,82.7
YR,F,Y20,IS,2020,64.8
YR,F,Y21,IS,2020,63.8
YR,F,Y22,IS,2020,62.8
YR,F,Y23,IS,2020,61.8
YR,F,Y24,IS,2020,60.8
YR,F,Y25,IS,2020,59.9
YR,F,Y26,IS,2020,58.9
YR,F,Y27,IS,2020,57.9
YR,F,Y28,IS,2020,56.9
YR,F,Y29,IS,2020,56.0
YR,F,Y3,IS,2020,81.7
YR,F,Y30,IS,2020,55.0
YR,F,Y31,IS,2020,54.0
YR,F,Y32,IS,2020,53.0
YR,F,Y33,IS,2020,52.0
YR,F,Y34,IS,2020,51.0
YR,F,Y35,IS,2020,50.0
YR,F,Y36,IS,2020,49.1
YR,F,Y37,IS,2020,48.1
YR,F,Y38,IS,2020,47.1
YR,F,Y39,IS,2020,46.2
YR,F,Y4,IS,2020,80.7
YR,F,Y40,IS,2020,45.2
YR,F,Y41,IS,2020,44.2
YR,F,Y42,IS,2020,43.3
YR,F,Y43,IS,2020,42.3
YR,F,Y44,IS,2020,41.3
YR,F,Y45,IS,2020,40.4
YR,F,Y46,IS,2020,39.4
YR,F,Y47,IS,2020,38.4
YR,F,Y48,IS,2020,37.5
YR,F,Y49,IS,2020,36.6
YR,F,Y5,IS,2020,79.7
YR,F,Y50,IS,2020,35.6
YR,F,Y51,IS,2020,34.7
YR,F,Y52,IS,2020,33.8
YR,F,Y53,IS,2020,32.8
YR,F,Y54,IS,2020,31.9
YR,F,Y55,IS,2020,31.0
YR,F,Y56,IS,2020,30.0
YR,F,Y57,IS,2020,29.2
YR,F,Y58,IS,2020,28.2
YR,F,Y59,IS,2020,27.3
YR,F,Y6,IS,2020,78.7
YR,F,Y60,IS,2020,26.4
YR,F,Y61,IS,2020,25.4
YR,F,Y62,IS,2020,24.5
YR,F,Y63,IS,2020,23.7
YR,F,Y64,IS,2020,22.9
YR,F,Y65,IS,2020,22.0
YR,F,Y66,IS,2020,21.1
YR,F,Y67,IS,2020,20.2
YR,F,Y68,IS,2020,19.4
YR,F,Y69,IS,2020,18.6
YR,F,Y7,IS,2020,77.7
YR,F,Y70,IS,2020,17.7
YR,F,Y71,IS,2020,16.9
YR,F,Y72,IS,2020,16.1
YR,F,Y73,IS,2020,15.3
YR,F,Y74,IS,2020,14.5
YR,F,Y75,IS,2020,13.7
YR,F,Y76,IS,2020,13.0
YR,F,Y77,IS,2020,12.2
YR,F,Y78,IS,2020,11.5
YR,F,Y79,IS,2020,10.6
YR,F,Y8,IS,2020,76.7
YR,F,Y80,IS,2020,10.0
YR,F,Y81,IS,2020,9.3
YR,F,Y82,IS,2020,8.7
YR,F,Y83,IS,2020,8.1
YR,F,Y84,IS,2020,7.7
YR,F,Y9,IS,2020,75.7
YR,F,Y_GE85,IS,2020,7.1
YR,F,Y_LT1,IS,2020,84.6
YR,M,Y1,IS,2020,81.0
YR,M,Y10,IS,2020,72.0
YR,M,Y11,IS,2020,71.0
YR,M,Y12,IS,2020,70.0
YR,M,Y13,IS,2020,69.0
YR,M,Y14,IS,2020,68.0
YR,M,Y15,IS,2020,67.1
YR,M,Y16,IS,2020,66.1
YR,M,Y17,IS,2020,65.1
YR,M,Y18,IS,2020,64.1
YR,M,Y19,IS,2020,63.2
YR,M,Y2,IS,2020,80.0
YR,M,Y20,IS,2020,62.2
YR,M,Y21,IS,2020,61.2
YR,M,Y22,IS,2020,60.3
YR,M,Y23,IS,2020,59.3
YR,M,Y24,IS,2020,58.3
YR,M,Y25,IS,2020,57.3
YR,M,Y26,IS,2020,56.3
YR,M,Y27,IS,2020,55.3
YR,M,Y28,IS,2020,54.4
