unit,sex,age,region,year,value
YR,F,Y65,LI,2021,23.5
YR,F,Y_LT1,LI,2021,86.4
YR,M,Y65,LI,2021,21.2
YR,M,Y_LT1,LI,2021,82.5
YR,T,Y65,LI,2021,22.3
YR,T,Y_LT1,LI,2021,84.4
YR,F,Y1,LI,2020,82.9
YR,F,Y10,LI,2020,74.3
YR,F,Y11,LI,2020,73.8
YR,F,Y12,LI,2020,73.2
YR,F,Y13,LI,2020,72.2
YR,F,Y14,LI,2020,71.2
YR,F,Y15,LI,2020,70.2
YR,F,Y16,LI,2020,69.2
YR,F,Y17,LI,2020,68.2
YR,F,Y18,LI,2020,67.2
YR,F,Y19,LI,2020,66.2
YR,F,Y2,LI,2020,81.9
YR,F,Y20,LI,2020,65.2
YR,F,Y21,LI,2020,64.2
YR,F,Y22,LI,2020,63.2
YR,F,Y23,LI,2020,62.2
YR,F,Y24,LI,2020,61.2
YR,F,Y25,LI,2020,60.2
YR,F,Y26,LI,2020,59.2
YR,F,Y27,LI,2020,58.2
YR,F,Y28,LI,2020,57.2
YR,F,Y29,LI,2020,56.2
YR,F,Y3,LI,2020,80.9
YR,F,Y30,LI,2020,55.2
YR,F,Y31,LI,2020,54.2
YR,F,Y32,LI,2020,53.2
YR,F,Y33,LI,2020,52.2
YR,F,Y34,LI,2020,51.2
YR,F,Y35,LI,2020,50.2
YR,F,Y36,LI,2020,49.2
YR,F,Y37,LI,2020,48.2
YR,F,Y38,LI,2020,47.2
YR,F,Y39,LI,2020,46.2
YR,F,Y4,LI,2020,79.9
YR,F,Y40,LI,2020,45.2
YR,F,Y41,LI,2020,44.2
YR,F,Y42,LI,2020,43.2
YR,F,Y43,LI,2020,42.2
YR,F,Y44,LI,2020,41.2
YR,F,Y45,LI,2020,40.2
YR,F,Y46,LI,2020,39.2
YR,F,Y47,LI,2020,38.2
YR,F,Y48,LI,2020,37.2
YR,F,Y49,LI,2020,36.3
YR,F,Y5,LI,2020,78.9
YR,F,Y50,LI,2020,35.3
YR,F,Y51,LI,2020,34.3
YR,F,Y52,LI,2020,33.4
YR,F,Y53,LI,2020,32.4
YR,F,Y54,LI,2020,31.5
YR,F,Y55,LI,2020,30.7
YR,F,Y56,LI,2020,29.7
YR,F,Y57,LI,2020,28.8
YR,F,Y58,LI,2020,27.9
YR,F,Y59,LI,2020,27.1
YR,F,Y6,LI,2020,77.9
YR,F,Y60,LI,2020,26.1
