unit,sex,age,region,year,value
YR,F,Y65,LT,2021,18.3
YR,F,Y_LT1,LT,2021,79.0
YR,M,Y65,LT,2021,13.2
YR,M,Y_LT1,LT,2021,69.9
YR,T,Y65,LT,2021,16.2
YR,T,Y_LT1,LT,2021,74.5
YR,F,Y1,LT,2020,79.3
YR,F,Y10,LT,2020,70.3
YR,F,Y11,LT,2020,69.4
YR,F,Y12,LT,2020,68.4
YR,F,Y13,LT,2020,67.4
YR,F,Y14,LT,2020,66.4
YR,F,Y15,LT,2020,65.4
YR,F,Y16,LT,2020,64.4
YR,F,Y17,LT,2020,63.4
YR,F,Y18,LT,2020,62.4
YR,F,Y19,LT,2020,61.5
YR,F,Y2,LT,2020,78.3
YR,F,Y20,LT,2020,60.5
YR,F,Y21,LT,2020,59.5
YR,F,Y22,LT,2020,58.5
YR,F,Y23,LT,2020,57.5
YR,F,Y24,LT,2020,56.6
YR,F,Y25,LT,2020,55.6
YR,F,Y26,LT,2020,54.6
YR,F,Y27,LT,2020,53.6
YR,F,Y28,LT,2020,52.6
YR,F,Y29,LT,2020,51.6
YR,F,Y3,LT,2020,77.3
YR,F,Y30,LT,2020,50.7
YR,F,Y31,LT,2020,49.7
YR,F,Y32,LT,2020,48.7
YR,F,Y33,LT,2020,47.7
YR,F,Y34,LT,2020,46.8
YR,F,Y35,LT,2020,45.8
YR,F,Y36,LT,2020,44.8
YR,F,Y37,LT,2020,43.9
YR,F,Y38,LT,2020,42.9
YR,F,Y39,LT,2020,42.0
YR,F,Y4,LT,2020,76.3
YR,F,Y40,LT,2020,41.0
YR,F,Y41,LT,2020,40.1
YR,F,Y42,LT,2020,39.2
YR,F,Y43,LT,2020,38.2
YR,F,Y44,LT,2020,37.3
YR,F,Y45,LT,2020,36.4
YR,F,Y46,LT,2020,35.4
YR,F,Y47,LT,2020,34.5
YR,F,Y48,LT,2020,33.7
YR,F,Y49,LT,2020,32.8
YR,F,Y5,LT,2020,75.3
YR,F,Y50,LT,2020,31.9
YR,F,Y51,LT,2020,31.0
YR,F,Y52,LT,2020,30.1
YR,F,Y53,LT,2020,29.2
YR,F,Y54,LT,2020,28.4
YR,F,Y55,LT,2020,27.5
YR,F,Y56,LT,2020,26.6
YR,F,Y57,LT,2020,25.8
YR,F,Y58,LT,2020,24.9
YR,F,Y59,LT,2020,24.1
YR,F,Y6,LT,2020,74.3
YR,F,Y60,LT,2020,23.2
YR,F,Y61,LT,2020,22.4
YR,F,Y62,LT,2020,21.6
YR,F,Y63,LT,2020,20.7
YR,F,Y64,LT,2020,19.9
YR,F,Y65,LT,2020,19.1
YR,F,Y66,LT,2020,18.4
YR,F,Y67,LT,2020,17.6
YR,F,Y68,LT,2020,16.8
YR,F,Y69,LT,2020,16.0
YR,F,Y7,LT,2020,73.3
YR,F,Y70,LT,2020,15.3
YR,F,Y71,LT,2020,14.5
YR,F,Y72,LT,2020,13.8
YR,F,Y73,LT,2020,13.1
YR,F,Y74,LT,2020,12.4
YR,F,Y75,LT,2020,11.7
YR,F,Y76,LT,2020,11.1
YR,F,Y77,LT,2020,10.4
YR,F,Y78,LT,2020,9.8
YR,F,Y79,LT,2020,9.2
YR,F,Y8,LT,2020,72.3
YR,F,Y80,LT,2020,8.6
YR,F,Y81,LT,2020,8.0
YR,F,Y82,LT,2020,7.4
YR,F,Y83,LT,2020,6.9
YR,F,Y84,LT,2020,6.4
YR,F,Y9,LT,2020,71.3
YR,F,Y_GE85,LT,2020,5.9
YR,F,Y_LT1,LT,2020,80.1
YR,M,Y1,LT,2020,69.3
YR,M,Y10,LT,2020,60.4
YR,M,Y11,LT,2020,59.4
YR,M,Y12,LT,2020,58.4
YR,M,Y13,LT,2020,57.4
YR,M,Y14,LT,2020,56.4
YR,M,Y15,LT,2020,55.4
YR,M,Y16,LT,2020,54.4
YR,M,Y17,LT,2020,53.5
YR,M,Y18,LT,2020,52.5
YR,M,Y19,LT,2020,51.6
YR,M,Y2,LT,2020,68.3
YR,M,Y20,LT,2020,50.6
YR,M,Y21,LT,2020,49.7
YR,M,Y22,LT,2020,48.7
YR,M,Y23,LT,2020,47.7
YR,M,Y24,LT,2020,46.8
YR,M,Y25,LT,2020,45.8
YR,M,Y26,LT,2020,44.9
YR,M,Y27,LT,2020,43.9
YR,M,Y28,LT,2020,43.0
YR,M,Y29,LT,2020,42.0
YR,M,Y3,LT,2020,67.3
YR,M,Y30,LT,2020,41.1
YR,M,Y31,LT,2020,40.1
YR,M,Y32,LT,2020,39.2
YR,M,Y33,LT,2020,38.3
YR,M,Y34,LT,2020,37.4
YR,M,Y35,LT,2020,36.4
YR,M,Y36,LT,2020,35.5
YR,M,Y37,LT,2020,34.6
YR,M,Y38,LT,2020,33.7
YR,M,Y39,LT,2020,32.9
YR,M,Y4,LT,2020,66.3
YR,M,Y40,LT,2020,32.0
YR,M,Y41,LT,2020,31.2
YR,M,Y42,LT,2020,30.3
YR,M,Y43,LT,2020,29.4
YR,M,Y44,LT,2020,28.6
YR,M,Y45,LT,2020,27.8
YR,M,Y46,LT,2020,27.0
YR,M,Y47,LT,2020,26.2
YR,M,Y48,LT,2020,25.4
YR,M,Y49,LT,2020,24.6
YR,M,Y5,LT,2020,65.3
YR,M,Y50,LT,2020,23.8
YR,M,Y51,LT,2020,23.1
YR,M,Y52,LT,2020,22.3
YR,M,Y53,LT,2020,21.5
YR,M,Y54,LT,2020,20.8
YR,M,Y55,LT,2020,20.1
YR,M,Y56,LT,2020,19.4
YR,M,Y57,LT,2020,18.7
YR,M,Y58,LT,2020,18.0
YR,M,Y59,LT,2020,17.4
YR,M,Y6,LT,2020,64.3
YR,M,Y60,LT,2020,16.7
YR,M,Y61,LT,2020,16.1
YR,M,Y62,LT,2020,15.4
YR,M,Y63,LT,2020,14.8
YR,M,Y64,LT,2020,14.2
YR,M,Y65,LT,2020,13.6
YR,M,Y66,LT,2020,13.1
YR,M,Y67,LT,2020,12.6
YR,M,Y68,LT,2020,12.0
YR,M,Y69,LT,2020,11.5
YR,M,Y7,LT,2020,63.4
YR,M,Y70,LT,2020,11.0
YR,M,Y71,LT,2020,10.6
YR,M,Y72,LT,2020,10.2
YR,M,Y73,LT,2020,9.7
YR,M,Y74,LT,2020,9.3
YR,M,Y75,LT,2020,8.8
YR,M,Y76,LT,2020,8.4
YR,M,Y77,LT,2020,8.0
YR,M,Y78,LT,2020,7.6
YR,M,Y79,LT,2020,7.2
YR,M,Y8,LT,2020,62.4
YR,M,Y80,LT,2020,6.8
YR,M,Y81,LT,2020,6.4
YR,M,Y82,LT,2020,6.0
YR,M,Y83,LT,2020,5.7
YR,M,Y84,LT,2020,5.4
YR,M,Y9,LT,2020,61.4
YR,M,Y_GE85,LT,2020,5.0
YR,M,Y_LT1,LT,2020,70.1
YR,T,Y1,LT,2020,74.3
YR,T,Y10,LT,2020,65.4
YR,T,Y11,LT,2020,64.4
YR,T,Y12,LT,2020,63.4
YR,T,Y13,LT,2020,62.4
YR,T,Y14,LT,2020,61.4
YR,T,Y15,LT,2020,60.5
YR,T,Y16,LT,2020,59.5
YR,T,Y17,LT,2020,58.5
YR,T,Y18,LT,2020,57.5
YR,T,Y19,LT,2020,56.6
YR,T,Y2,LT,2020,73.3
YR,T,Y20,LT,2020,55.6
YR,T,Y21,LT,2020,54.6
YR,T,Y22,LT,2020,53.7
YR,T,Y23,LT,2020,52.7
YR,T,Y24,LT,2020,51.7
YR,T,Y25,LT,2020,50.8
YR,T,Y26,LT,2020,49.8
YR,T,Y27,LT,2020,48.8
YR,T,Y28,LT,2020,47.9
YR,T,Y29,LT,2020,46.9
YR,T,Y3,LT,2020,72.4
YR,T,Y30,LT,2020,45.9
YR,T,Y31,LT,2020,45.0
YR,T,Y32,LT,2020,44.0
YR,T,Y33,LT,2020,43.1
YR,T,Y34,LT,2020,42.2
YR,T,Y35,LT,2020,41.2
YR,T,Y36,LT,2020,40.3
YR,T,Y37,LT,2020,39.4
YR,T,Y38,LT,2020,38.5
YR,T,Y39,LT,2020,37.6
YR,T,Y4,LT,2020,71.4
YR,T,Y40,LT,2020,36.7
YR,T,Y41,LT,2020,35.8
YR,T,Y42,LT,2020,34.9
YR,T,Y43,LT,2020,34.0
YR,T,Y44,LT,2020,33.1
YR,T,Y45,LT,2020,32.3
YR,T,Y46,LT,2020,31.4
YR,T,Y47,LT,2020,30.6
YR,T,Y48,LT,2020,29.8
YR,T,Y49,LT,2020,28.9
YR,T,Y5,LT,2020,70.4
YR,T,Y50,LT,2020,28.1
YR,T,Y51,LT,2020,27.3
YR,T,Y52,LT,2020,26.5
YR,T,Y53,LT,2020,25.7
YR,T,Y54,LT,2020,24.9
YR,T,Y55,LT,2020,24.1
YR,T,Y56,LT,2020,23.3
YR,T,Y57,LT,2020,22.6
YR,T,Y58,LT,2020,21.8
YR,T,Y59,LT,2020,21.1
YR,T,Y6,LT,2020,69.4
YR,T,Y60,LT,2020,20.3
YR,T,Y61,LT,2020,19.6
YR,T,Y62,LT,2020,18.9
YR,T,Y63,LT,2020,18.2
YR,T,Y64,LT,2020,17.5
YR,T,Y65,LT,2020,16.8
YR,T,Y66,LT,2020,16.2
YR,T,Y67,LT,2020,15.5
YR,T,Y68,LT,2020,14.9
YR,T,Y69,LT,2020,14.2
YR,T,Y7,LT,2020,68.4
YR,T,Y70,LT,2020,13.6
YR,T,Y71,LT,2020,13.0
YR,T,Y72,LT,2020,12.4
YR,T,Y73,LT,2020,11.9
YR,T,Y74,LT,2020,11.3
YR,T,Y75,LT,2020,10.7
YR,T,Y76,LT,2020,10.2
YR,T,Y77,LT,2020,9.6
YR,T,Y78,LT,2020,9.1
YR,T,Y79,LT,2020,8.6
YR,T,Y8,LT,2020,67.4
YR,T,Y80,LT,2020,8.0
YR,T,Y81,LT,2020,7.5
YR,T,Y82,LT,2020,7.0
YR,T,Y83,LT,2020,6.5
YR,T,Y84,LT,2020,6.1
YR,T,Y9,LT,2020,66.4
YR,T,Y_GE85,LT,2020,5.7
YR,T,Y_LT1,LT,2020,75.1
YR,F,Y1,LT,2019,80.4
YR,F,Y10,LT,2019,71.5
YR,F,Y11,LT,2019,70.5
YR,F,Y12,LT,2019,69.5
YR,F,Y13,LT,2019,68.5
YR,F,Y14,LT,2019,67.5
YR,F,Y15,LT,2019,66.5
YR,F,Y16,LT,2019,65.6
YR,F,Y17,LT,2019,64.6
YR,F,Y18,LT,2019,63.6
YR,F,Y19,LT,2019,62.6
YR,F,Y2,LT,2019,79.4
YR,F,Y20,LT,2019,61.6
YR,F,Y21,LT,2019,60.7
YR,F,Y22,LT,2019,59.7
YR,F,Y23,LT,2019,58.7
YR,F,Y24,LT,2019,57.7
YR,F,Y25,LT,2019,56.7
YR,F,Y26,LT,2019,55.7
YR,F,Y27,LT,2019,54.8
YR,F,Y28,LT,2019,53.8
YR,F,Y29,LT,2019,52.8
YR,F,Y3,LT,2019,78.4
YR,F,Y30,LT,2019,51.8
YR,F,Y31,LT,2019,50.9
YR,F,Y32,LT,2019,49.9
YR,F,Y33,LT,2019,48.9
YR,F,Y34,LT,2019,48.0
YR,F,Y35,LT,2019,47.0
YR,F,Y36,LT,2019,46.1
YR,F,Y37,LT,2019,45.1
YR,F,Y38,LT,2019,44.1
YR,F,Y39,LT,2019,43.2
YR,F,Y4,LT,2019,77.4
YR,F,Y40,LT,2019,42.2
YR,F,Y41,LT,2019,41.3
YR,F,Y42,LT,2019,40.3
YR,F,Y43,LT,2019,39.4
YR,F,Y44,LT,2019,38.5
YR,F,Y45,LT,2019,37.5
YR,F,Y46,LT,2019,36.6
YR,F,Y47,LT,2019,35.7
YR,F,Y48,LT,2019,34.8
YR,F,Y49,LT,2019,33.9
YR,F,Y5,LT,2019,76.5
YR,F,Y50,LT,2019,33.0
YR,F,Y51,LT,2019,32.1
YR,F,Y52,LT,2019,31.2
YR,F,Y53,LT,2019,30.3
YR,F,Y54,LT,2019,29.4
YR,F,Y55,LT,2019,28.5
YR,F,Y56,LT,2019,27.6
YR,F,Y57,LT,2019,26.8
YR,F,Y58,LT,2019,25.9
YR,F,Y59,LT,2019,25.0
YR,F,Y6,LT,2019,75.5
YR,F,Y60,LT,2019,24.2
YR,F,Y61,LT,2019,23.3
YR,F,Y62,LT,2019,22.5
YR,F,Y63,LT,2019,21.7
YR,F,Y64,LT,2019,20.8
YR,F,Y65,LT,2019,20.0
YR,F,Y66,LT,2019,19.3
YR,F,Y67,LT,2019,18.5
YR,F,Y68,LT,2019,17.7
YR,F,Y69,LT,2019,16.9
YR,F,Y7,LT,2019,74.5
YR,F,Y70,LT,2019,16.2
YR,F,Y71,LT,2019,15.4
YR,F,Y72,LT,2019,14.7
YR,F,Y73,LT,2019,13.9
YR,F,Y74,LT,2019,13.2
YR,F,Y75,LT,2019,12.5
YR,F,Y76,LT,2019,11.8
YR,F,Y77,LT,2019,11.2
YR,F,Y78,LT,2019,10.5
YR,F,Y79,LT,2019,9.9
YR,F,Y8,LT,2019,73.5
YR,F,Y80,LT,2019,9.2
YR,F,Y81,LT,2019,8.6
YR,F,Y82,LT,2019,8.0
YR,F,Y83,LT,2019,7.5
YR,F,Y84,LT,2019,7.0
YR,F,Y9,LT,2019,72.5
YR,F,Y_GE85,LT,2019,6.5
YR,F,Y_LT1,LT,2019,81.2
YR,M,Y1,LT,2019,70.8
YR,M,Y10,LT,2019,61.9
YR,M,Y11,LT,2019,60.9
YR,M,Y12,LT,2019,59.9
YR,M,Y13,LT,2019,58.9
YR,M,Y14,LT,2019,57.9
YR,M,Y15,LT,2019,56.9
YR,M,Y16,LT,2019,56.0
YR,M,Y17,LT,2019,55.0
YR,M,Y18,LT,2019,54.0
YR,M,Y19,LT,2019,53.1
YR,M,Y2,LT,2019,69.8
YR,M,Y20,LT,2019,52.1
YR,M,Y21,LT,2019,51.2
YR,M,Y22,LT,2019,50.2
YR,M,Y23,LT,2019,49.3
YR,M,Y24,LT,2019,48.3
YR,M,Y25,LT,2019,47.4
YR,M,Y26,LT,2019,46.4
YR,M,Y27,LT,2019,45.5
