unit,sex,age,region,year,value
YR,F,Y65,LU,2021,22.3
YR,F,Y_LT1,LU,2021,84.9
YR,M,Y65,LU,2021,19.1
YR,M,Y_LT1,LU,2021,80.7
YR,T,Y65,LU,2021,20.8
YR,T,Y_LT1,LU,2021,82.8
YR,F,Y1,LU,2020,83.9
YR,F,Y10,LU,2020,74.9
YR,F,Y11,LU,2020,73.9
YR,F,Y12,LU,2020,72.9
YR,F,Y13,LU,2020,71.9
YR,F,Y14,LU,2020,70.9
YR,F,Y15,LU,2020,69.9
YR,F,Y16,LU,2020,69.0
YR,F,Y17,LU,2020,68.0
YR,F,Y18,LU,2020,67.0
YR,F,Y19,LU,2020,66.0
YR,F,Y2,LU,2020,82.9
YR,F,Y20,LU,2020,65.0
YR,F,Y21,LU,2020,64.0
YR,F,Y22,LU,2020,63.1
YR,F,Y23,LU,2020,62.1
YR,F,Y24,LU,2020,61.1
YR,F,Y25,LU,2020,60.1
YR,F,Y26,LU,2020,59.1
YR,F,Y27,LU,2020,58.1
YR,F,Y28,LU,2020,57.1
YR,F,Y29,LU,2020,56.1
YR,F,Y3,LU,2020,81.9
YR,F,Y30,LU,2020,55.2
YR,F,Y31,LU,2020,54.2
YR,F,Y32,LU,2020,53.2
YR,F,Y33,LU,2020,52.2
YR,F,Y34,LU,2020,51.2
YR,F,Y35,LU,2020,50.2
YR,F,Y36,LU,2020,49.2
YR,F,Y37,LU,2020,48.2
YR,F,Y38,LU,2020,47.2
YR,F,Y39,LU,2020,46.3
YR,F,Y4,LU,2020,80.9
YR,F,Y40,LU,2020,45.3
YR,F,Y41,LU,2020,44.3
YR,F,Y42,LU,2020,43.4
YR,F,Y43,LU,2020,42.4
YR,F,Y44,LU,2020,41.4
YR,F,Y45,LU,2020,40.4
YR,F,Y46,LU,2020,39.5
YR,F,Y47,LU,2020,38.5
YR,F,Y48,LU,2020,37.5
YR,F,Y49,LU,2020,36.6
YR,F,Y5,LU,2020,79.9
YR,F,Y50,LU,2020,35.6
YR,F,Y51,LU,2020,34.7
YR,F,Y52,LU,2020,33.7
YR,F,Y53,LU,2020,32.8
YR,F,Y54,LU,2020,31.8
YR,F,Y55,LU,2020,30.9
YR,F,Y56,LU,2020,30.0
YR,F,Y57,LU,2020,29.0
YR,F,Y58,LU,2020,28.1
YR,F,Y59,LU,2020,27.2
YR,F,Y6,LU,2020,78.9
YR,F,Y60,LU,2020,26.3
YR,F,Y61,LU,2020,25.4
YR,F,Y62,LU,2020,24.5
YR,F,Y63,LU,2020,23.5
YR,F,Y64,LU,2020,22.6
YR,F,Y65,LU,2020,21.8
YR,F,Y66,LU,2020,20.9
YR,F,Y67,LU,2020,20.1
YR,F,Y68,LU,2020,19.2
YR,F,Y69,LU,2020,18.5
YR,F,Y7,LU,2020,77.9
YR,F,Y70,LU,2020,17.7
YR,F,Y71,LU,2020,16.9
YR,F,Y72,LU,2020,16.1
YR,F,Y73,LU,2020,15.3
YR,F,Y74,LU,2020,14.5
YR,F,Y75,LU,2020,13.7
YR,F,Y76,LU,2020,13.0
YR,F,Y77,LU,2020,12.2
YR,F,Y78,LU,2020,11.5
YR,F,Y79,LU,2020,10.8
YR,F,Y8,LU,2020,76.9
YR,F,Y80,LU,2020,10.2
YR,F,Y81,LU,2020,9.5
YR,F,Y82,LU,2020,8.9
YR,F,Y83,LU,2020,8.4
YR,F,Y84,LU,2020,7.7
YR,F,Y9,LU,2020,75.9
YR,F,Y_GE85,LU,2020,7.1
YR,F,Y_LT1,LU,2020,84.5
YR,M,Y1,LU,2020,79.2
YR,M,Y10,LU,2020,70.3
YR,M,Y11,LU,2020,69.3
YR,M,Y12,LU,2020,68.3
YR,M,Y13,LU,2020,67.3
YR,M,Y14,LU,2020,66.3
YR,M,Y15,LU,2020,65.3
YR,M,Y16,LU,2020,64.3
YR,M,Y17,LU,2020,63.3
YR,M,Y18,LU,2020,62.3
YR,M,Y19,LU,2020,61.3
YR,M,Y2,LU,2020,78.2
YR,M,Y20,LU,2020,60.4
YR,M,Y21,LU,2020,59.4
YR,M,Y22,LU,2020,58.4
YR,M,Y23,LU,2020,57.5
YR,M,Y24,LU,2020,56.5
YR,M,Y25,LU,2020,55.5
YR,M,Y26,LU,2020,54.5
YR,M,Y27,LU,2020,53.5
YR,M,Y28,LU,2020,52.5
YR,M,Y29,LU,2020,51.6
YR,M,Y3,LU,2020,77.2
YR,M,Y30,LU,2020,50.6
YR,M,Y31,LU,2020,49.6
YR,M,Y32,LU,2020,48.6
YR,M,Y33,LU,2020,47.6
YR,M,Y34,LU,2020,46.6
YR,M,Y35,LU,2020,45.7
YR,M,Y36,LU,2020,44.7
YR,M,Y37,LU,2020,43.8
YR,M,Y38,LU,2020,42.8
YR,M,Y39,LU,2020,41.8
YR,M,Y4,LU,2020,76.2
YR,M,Y40,LU,2020,40.9
YR,M,Y41,LU,2020,39.9
YR,M,Y42,LU,2020,38.9
YR,M,Y43,LU,2020,37.9
YR,M,Y44,LU,2020,37.0
YR,M,Y45,LU,2020,36.0
YR,M,Y46,LU,2020,35.0
YR,M,Y47,LU,2020,34.1
YR,M,Y48,LU,2020,33.2
YR,M,Y49,LU,2020,32.3
YR,M,Y5,LU,2020,75.2
YR,M,Y50,LU,2020,31.4
YR,M,Y51,LU,2020,30.5
YR,M,Y52,LU,2020,29.6
YR,M,Y53,LU,2020,28.6
YR,M,Y54,LU,2020,27.7
YR,M,Y55,LU,2020,26.8
YR,M,Y56,LU,2020,25.9
YR,M,Y57,LU,2020,25.0
YR,M,Y58,LU,2020,24.2
YR,M,Y59,LU,2020,23.4
YR,M,Y6,LU,2020,74.2
YR,M,Y60,LU,2020,22.5
YR,M,Y61,LU,2020,21.7
YR,M,Y62,LU,2020,20.9
YR,M,Y63,LU,2020,20.1
YR,M,Y64,LU,2020,19.3
YR,M,Y65,LU,2020,18.5
YR,M,Y66,LU,2020,17.8
YR,M,Y67,LU,2020,17.0
YR,M,Y68,LU,2020,16.2
YR,M,Y69,LU,2020,15.5
YR,M,Y7,LU,2020,73.2
YR,M,Y70,LU,2020,14.7
YR,M,Y71,LU,2020,14.0
YR,M,Y72,LU,2020,13.3
YR,M,Y73,LU,2020,12.6
YR,M,Y74,LU,2020,11.9
YR,M,Y75,LU,2020,11.3
YR,M,Y76,LU,2020,10.7
YR,M,Y77,LU,2020,10.0
YR,M,Y78,LU,2020,9.4
YR,M,Y79,LU,2020,8.8
YR,M,Y8,LU,2020,72.2
YR,M,Y80,LU,2020,8.2
YR,M,Y81,LU,2020,7.6
YR,M,Y82,LU,2020,7.1
YR,M,Y83,LU,2020,6.6
YR,M,Y84,LU,2020,6.1
YR,M,Y9,LU,2020,71.3
YR,M,Y_GE85,LU,2020,5.7
YR,M,Y_LT1,LU,2020,79.9
YR,T,Y1,LU,2020,81.5
YR,T,Y10,LU,2020,72.6
YR,T,Y11,LU,2020,71.6
YR,T,Y12,LU,2020,70.6
YR,T,Y13,LU,2020,69.6
YR,T,Y14,LU,2020,68.6
YR,T,Y15,LU,2020,67.6
YR,T,Y16,LU,2020,66.6
YR,T,Y17,LU,2020,65.6
YR,T,Y18,LU,2020,64.6
YR,T,Y19,LU,2020,63.7
YR,T,Y2,LU,2020,80.5
YR,T,Y20,LU,2020,62.7
YR,T,Y21,LU,2020,61.7
YR,T,Y22,LU,2020,60.7
YR,T,Y23,LU,2020,59.7
YR,T,Y24,LU,2020,58.8
YR,T,Y25,LU,2020,57.8
