unit,sex,age,region,year,value
YR,F,Y65,LV,2021,17.7
YR,F,Y_LT1,LV,2021,78.2
YR,M,Y65,LV,2021,12.8
YR,M,Y_LT1,LV,2021,68.6
YR,T,Y65,LV,2021,15.7
YR,T,Y_LT1,LV,2021,73.4
YR,F,Y1,LV,2020,79.3
YR,F,Y10,LV,2020,70.3
YR,F,Y11,LV,2020,69.3
YR,F,Y12,LV,2020,68.3
YR,F,Y13,LV,2020,67.3
YR,F,Y14,LV,2020,66.4
YR,F,Y15,LV,2020,65.4
YR,F,Y16,LV,2020,64.4
YR,F,Y17,LV,2020,63.4
YR,F,Y18,LV,2020,62.4
YR,F,Y19,LV,2020,61.4
YR,F,Y2,LV,2020,78.3
YR,F,Y20,LV,2020,60.4
YR,F,Y21,LV,2020,59.5
YR,F,Y22,LV,2020,58.5
YR,F,Y23,LV,2020,57.5
YR,F,Y24,LV,2020,56.5
YR,F,Y25,LV,2020,55.5
YR,F,Y26,LV,2020,54.6
YR,F,Y27,LV,2020,53.6
YR,F,Y28,LV,2020,52.6
YR,F,Y29,LV,2020,51.6
YR,F,Y3,LV,2020,77.3
YR,F,Y30,LV,2020,50.6
YR,F,Y31,LV,2020,49.7
YR,F,Y32,LV,2020,48.7
YR,F,Y33,LV,2020,47.7
YR,F,Y34,LV,2020,46.7
YR,F,Y35,LV,2020,45.8
YR,F,Y36,LV,2020,44.8
YR,F,Y37,LV,2020,43.9
YR,F,Y38,LV,2020,42.9
YR,F,Y39,LV,2020,42.0
YR,F,Y4,LV,2020,76.3
YR,F,Y40,LV,2020,41.0
YR,F,Y41,LV,2020,40.1
YR,F,Y42,LV,2020,39.1
YR,F,Y43,LV,2020,38.2
YR,F,Y44,LV,2020,37.3
YR,F,Y45,LV,2020,36.4
YR,F,Y46,LV,2020,35.5
YR,F,Y47,LV,2020,34.6
YR,F,Y48,LV,2020,33.6
YR,F,Y49,LV,2020,32.7
YR,F,Y5,LV,2020,75.3
YR,F,Y50,LV,2020,31.8
YR,F,Y51,LV,2020,30.9
YR,F,Y52,LV,2020,30.1
YR,F,Y53,LV,2020,29.2
YR,F,Y54,LV,2020,28.3
YR,F,Y55,LV,2020,27.4
YR,F,Y56,LV,2020,26.5
YR,F,Y57,LV,2020,25.7
YR,F,Y58,LV,2020,24.8
YR,F,Y59,LV,2020,23.9
YR,F,Y6,LV,2020,74.3
YR,F,Y60,LV,2020,23.1
YR,F,Y61,LV,2020,22.3
YR,F,Y62,LV,2020,21.5
YR,F,Y63,LV,2020,20.7
YR,F,Y64,LV,2020,19.9
YR,F,Y65,LV,2020,19.1
YR,F,Y66,LV,2020,18.3
YR,F,Y67,LV,2020,17.5
YR,F,Y68,LV,2020,16.7
YR,F,Y69,LV,2020,16.0
YR,F,Y7,LV,2020,73.3
YR,F,Y70,LV,2020,15.2
YR,F,Y71,LV,2020,14.5
YR,F,Y72,LV,2020,13.8
YR,F,Y73,LV,2020,13.1
YR,F,Y74,LV,2020,12.4
YR,F,Y75,LV,2020,11.6
YR,F,Y76,LV,2020,11.0
YR,F,Y77,LV,2020,10.4
YR,F,Y78,LV,2020,9.7
YR,F,Y79,LV,2020,9.1
YR,F,Y8,LV,2020,72.3
YR,F,Y80,LV,2020,8.5
YR,F,Y81,LV,2020,8.0
YR,F,Y82,LV,2020,7.4
YR,F,Y83,LV,2020,6.9
YR,F,Y84,LV,2020,6.4
YR,F,Y9,LV,2020,71.3
YR,F,Y_GE85,LV,2020,5.9
YR,F,Y_LT1,LV,2020,80.0
YR,M,Y1,LV,2020,69.9
YR,M,Y10,LV,2020,61.0
YR,M,Y11,LV,2020,60.0
YR,M,Y12,LV,2020,59.0
YR,M,Y13,LV,2020,58.0
YR,M,Y14,LV,2020,57.0
YR,M,Y15,LV,2020,56.0
YR,M,Y16,LV,2020,55.0
YR,M,Y17,LV,2020,54.0
YR,M,Y18,LV,2020,53.1
YR,M,Y19,LV,2020,52.1
YR,M,Y2,LV,2020,68.9
YR,M,Y20,LV,2020,51.2
YR,M,Y21,LV,2020,50.2
YR,M,Y22,LV,2020,49.3
YR,M,Y23,LV,2020,48.3
YR,M,Y24,LV,2020,47.4
YR,M,Y25,LV,2020,46.5
YR,M,Y26,LV,2020,45.5
YR,M,Y27,LV,2020,44.6
YR,M,Y28,LV,2020,43.6
YR,M,Y29,LV,2020,42.7
YR,M,Y3,LV,2020,67.9
YR,M,Y30,LV,2020,41.7
YR,M,Y31,LV,2020,40.8
YR,M,Y32,LV,2020,39.9
YR,M,Y33,LV,2020,39.0
YR,M,Y34,LV,2020,38.1
YR,M,Y35,LV,2020,37.1
YR,M,Y36,LV,2020,36.2
YR,M,Y37,LV,2020,35.3
YR,M,Y38,LV,2020,34.4
YR,M,Y39,LV,2020,33.5
YR,M,Y4,LV,2020,66.9
YR,M,Y40,LV,2020,32.6
YR,M,Y41,LV,2020,31.8
YR,M,Y42,LV,2020,31.0
YR,M,Y43,LV,2020,30.1
YR,M,Y44,LV,2020,29.3
YR,M,Y45,LV,2020,28.4
YR,M,Y46,LV,2020,27.6
YR,M,Y47,LV,2020,26.8
YR,M,Y48,LV,2020,26.0
YR,M,Y49,LV,2020,25.2
YR,M,Y5,LV,2020,65.9
YR,M,Y50,LV,2020,24.4
YR,M,Y51,LV,2020,23.7
YR,M,Y52,LV,2020,22.9
YR,M,Y53,LV,2020,22.1
YR,M,Y54,LV,2020,21.4
YR,M,Y55,LV,2020,20.6
YR,M,Y56,LV,2020,19.9
YR,M,Y57,LV,2020,19.2
YR,M,Y58,LV,2020,18.5
YR,M,Y59,LV,2020,17.8
YR,M,Y6,LV,2020,64.9
YR,M,Y60,LV,2020,17.1
YR,M,Y61,LV,2020,16.5
YR,M,Y62,LV,2020,15.8
YR,M,Y63,LV,2020,15.2
YR,M,Y64,LV,2020,14.6
YR,M,Y65,LV,2020,14.0
YR,M,Y66,LV,2020,13.5
YR,M,Y67,LV,2020,12.9
YR,M,Y68,LV,2020,12.4
YR,M,Y69,LV,2020,11.9
YR,M,Y7,LV,2020,64.0
YR,M,Y70,LV,2020,11.4
YR,M,Y71,LV,2020,10.8
YR,M,Y72,LV,2020,10.4
YR,M,Y73,LV,2020,9.9
YR,M,Y74,LV,2020,9.4
YR,M,Y75,LV,2020,9.0
YR,M,Y76,LV,2020,8.6
YR,M,Y77,LV,2020,8.2
YR,M,Y78,LV,2020,7.7
YR,M,Y79,LV,2020,7.3
YR,M,Y8,LV,2020,63.0
YR,M,Y80,LV,2020,6.9
YR,M,Y81,LV,2020,6.5
YR,M,Y82,LV,2020,6.2
YR,M,Y83,LV,2020,5.7
YR,M,Y84,LV,2020,5.4
YR,M,Y9,LV,2020,62.0
YR,M,Y_GE85,LV,2020,5.0
YR,M,Y_LT1,LV,2020,70.6
YR,T,Y1,LV,2020,74.7
YR,T,Y10,LV,2020,65.8
YR,T,Y11,LV,2020,64.8
YR,T,Y12,LV,2020,63.8
YR,T,Y13,LV,2020,62.8
YR,T,Y14,LV,2020,61.8
YR,T,Y15,LV,2020,60.9
YR,T,Y16,LV,2020,59.9
YR,T,Y17,LV,2020,58.9
YR,T,Y18,LV,2020,57.9
YR,T,Y19,LV,2020,56.9
YR,T,Y2,LV,2020,73.7
YR,T,Y20,LV,2020,56.0
YR,T,Y21,LV,2020,55.0
YR,T,Y22,LV,2020,54.0
YR,T,Y23,LV,2020,53.1
YR,T,Y24,LV,2020,52.1
YR,T,Y25,LV,2020,51.2
YR,T,Y26,LV,2020,50.2
YR,T,Y27,LV,2020,49.3
YR,T,Y28,LV,2020,48.3
YR,T,Y29,LV,2020,47.3
YR,T,Y3,LV,2020,72.7
YR,T,Y30,LV,2020,46.4
YR,T,Y31,LV,2020,45.4
YR,T,Y32,LV,2020,44.5
YR,T,Y33,LV,2020,43.5
YR,T,Y34,LV,2020,42.6
YR,T,Y35,LV,2020,41.7
YR,T,Y36,LV,2020,40.7
YR,T,Y37,LV,2020,39.8
YR,T,Y38,LV,2020,38.9
YR,T,Y39,LV,2020,38.0
YR,T,Y4,LV,2020,71.8
YR,T,Y40,LV,2020,37.1
YR,T,Y41,LV,2020,36.2
YR,T,Y42,LV,2020,35.3
YR,T,Y43,LV,2020,34.4
YR,T,Y44,LV,2020,33.5
YR,T,Y45,LV,2020,32.7
YR,T,Y46,LV,2020,31.8
YR,T,Y47,LV,2020,31.0
YR,T,Y48,LV,2020,30.1
YR,T,Y49,LV,2020,29.3
YR,T,Y5,LV,2020,70.8
YR,T,Y50,LV,2020,28.5
YR,T,Y51,LV,2020,27.6
YR,T,Y52,LV,2020,26.8
YR,T,Y53,LV,2020,26.0
YR,T,Y54,LV,2020,25.2
YR,T,Y55,LV,2020,24.4
YR,T,Y56,LV,2020,23.6
YR,T,Y57,LV,2020,22.8
YR,T,Y58,LV,2020,22.1
YR,T,Y59,LV,2020,21.3
YR,T,Y6,LV,2020,69.8
YR,T,Y60,LV,2020,20.6
YR,T,Y61,LV,2020,19.8
YR,T,Y62,LV,2020,19.1
YR,T,Y63,LV,2020,18.4
YR,T,Y64,LV,2020,17.7
YR,T,Y65,LV,2020,17.0
YR,T,Y66,LV,2020,16.4
YR,T,Y67,LV,2020,15.7
YR,T,Y68,LV,2020,15.1
YR,T,Y69,LV,2020,14.4
YR,T,Y7,LV,2020,68.8
YR,T,Y70,LV,2020,13.8
YR,T,Y71,LV,2020,13.2
YR,T,Y72,LV,2020,12.6
YR,T,Y73,LV,2020,11.9
YR,T,Y74,LV,2020,11.4
YR,T,Y75,LV,2020,10.8
YR,T,Y76,LV,2020,10.2
YR,T,Y77,LV,2020,9.7
YR,T,Y78,LV,2020,9.1
