unit,sex,age,region,year,value
YR,F,Y1,ME,2020,78.0
YR,F,Y10,ME,2020,69.1
YR,F,Y11,ME,2020,68.1
YR,F,Y12,ME,2020,67.1
YR,F,Y13,ME,2020,66.1
YR,F,Y14,ME,2020,65.1
YR,F,Y15,ME,2020,64.1
YR,F,Y16,ME,2020,63.1
YR,F,Y17,ME,2020,62.1
YR,F,Y18,ME,2020,61.1
YR,F,Y19,ME,2020,60.2
YR,F,Y2,ME,2020,77.0
YR,F,Y20,ME,2020,59.2
YR,F,Y21,ME,2020,58.2
YR,F,Y22,ME,2020,57.2
YR,F,Y23,ME,2020,56.2
YR,F,Y24,ME,2020,55.2
YR,F,Y25,ME,2020,54.2
YR,F,Y26,ME,2020,53.2
YR,F,Y27,ME,2020,52.3
YR,F,Y28,ME,2020,51.3
YR,F,Y29,ME,2020,50.3
YR,F,Y3,ME,2020,76.0
YR,F,Y30,ME,2020,49.3
YR,F,Y31,ME,2020,48.3
YR,F,Y32,ME,2020,47.3
YR,F,Y33,ME,2020,46.4
YR,F,Y34,ME,2020,45.4
YR,F,Y35,ME,2020,44.4
YR,F,Y36,ME,2020,43.4
YR,F,Y37,ME,2020,42.5
YR,F,Y38,ME,2020,41.5
YR,F,Y39,ME,2020,40.5
YR,F,Y4,ME,2020,75.0
YR,F,Y40,ME,2020,39.6
YR,F,Y41,ME,2020,38.6
YR,F,Y42,ME,2020,37.7
YR,F,Y43,ME,2020,36.7
YR,F,Y44,ME,2020,35.8
YR,F,Y45,ME,2020,34.9
YR,F,Y46,ME,2020,33.9
YR,F,Y47,ME,2020,33.0
YR,F,Y48,ME,2020,32.1
YR,F,Y49,ME,2020,31.1
YR,F,Y5,ME,2020,74.1
YR,F,Y50,ME,2020,30.2
YR,F,Y51,ME,2020,29.3
YR,F,Y52,ME,2020,28.4
YR,F,Y53,ME,2020,27.5
YR,F,Y54,ME,2020,26.6
YR,F,Y55,ME,2020,25.7
YR,F,Y56,ME,2020,24.8
YR,F,Y57,ME,2020,23.9
YR,F,Y58,ME,2020,23.1
YR,F,Y59,ME,2020,22.2
YR,F,Y6,ME,2020,73.1
YR,F,Y60,ME,2020,21.4
YR,F,Y61,ME,2020,20.5
YR,F,Y62,ME,2020,19.7
YR,F,Y63,ME,2020,18.9
YR,F,Y64,ME,2020,18.1
YR,F,Y65,ME,2020,17.3
YR,F,Y66,ME,2020,16.5
YR,F,Y67,ME,2020,15.7
YR,F,Y68,ME,2020,15.0
YR,F,Y69,ME,2020,14.2
YR,F,Y7,ME,2020,72.1
YR,F,Y70,ME,2020,13.4
YR,F,Y71,ME,2020,12.7
YR,F,Y72,ME,2020,12.0
YR,F,Y73,ME,2020,11.3
YR,F,Y74,ME,2020,10.7
YR,F,Y75,ME,2020,10.0
YR,F,Y76,ME,2020,9.4
YR,F,Y77,ME,2020,8.8
YR,F,Y78,ME,2020,8.2
YR,F,Y79,ME,2020,7.6
YR,F,Y8,ME,2020,71.1
YR,F,Y80,ME,2020,7.1
YR,F,Y81,ME,2020,6.6
YR,F,Y82,ME,2020,6.2
YR,F,Y83,ME,2020,5.8
YR,F,Y84,ME,2020,5.4
YR,F,Y9,ME,2020,70.1
YR,F,Y_GE85,ME,2020,5.1
YR,F,Y_LT1,ME,2020,78.8
YR,M,Y1,ME,2020,72.4
YR,M,Y10,ME,2020,63.5
YR,M,Y11,ME,2020,62.5
YR,M,Y12,ME,2020,61.5
YR,M,Y13,ME,2020,60.5
YR,M,Y14,ME,2020,59.5
YR,M,Y15,ME,2020,58.5
YR,M,Y16,ME,2020,57.5
YR,M,Y17,ME,2020,56.5
YR,M,Y18,ME,2020,55.5
YR,M,Y19,ME,2020,54.6
YR,M,Y2,ME,2020,71.4
YR,M,Y20,ME,2020,53.6
YR,M,Y21,ME,2020,52.7
YR,M,Y22,ME,2020,51.7
YR,M,Y23,ME,2020,50.7
YR,M,Y24,ME,2020,49.8
YR,M,Y25,ME,2020,48.8
YR,M,Y26,ME,2020,47.8
YR,M,Y27,ME,2020,46.9
YR,M,Y28,ME,2020,45.9
YR,M,Y29,ME,2020,44.9
YR,M,Y3,ME,2020,70.4
YR,M,Y30,ME,2020,43.9
YR,M,Y31,ME,2020,43.0
YR,M,Y32,ME,2020,42.1
YR,M,Y33,ME,2020,41.1
YR,M,Y34,ME,2020,40.1
YR,M,Y35,ME,2020,39.2
YR,M,Y36,ME,2020,38.2
YR,M,Y37,ME,2020,37.3
YR,M,Y38,ME,2020,36.3
YR,M,Y39,ME,2020,35.4
YR,M,Y4,ME,2020,69.4
YR,M,Y40,ME,2020,34.5
YR,M,Y41,ME,2020,33.5
YR,M,Y42,ME,2020,32.6
YR,M,Y43,ME,2020,31.7
YR,M,Y44,ME,2020,30.7
YR,M,Y45,ME,2020,29.8
YR,M,Y46,ME,2020,28.9
YR,M,Y47,ME,2020,28.0
YR,M,Y48,ME,2020,27.1
YR,M,Y49,ME,2020,26.2
YR,M,Y5,ME,2020,68.4
YR,M,Y50,ME,2020,25.3
YR,M,Y51,ME,2020,24.5
YR,M,Y52,ME,2020,23.6
YR,M,Y53,ME,2020,22.7
