unit,sex,age,region,year,value
YR,F,Y1,MK,2020,76.1
YR,F,Y10,MK,2020,67.3
YR,F,Y11,MK,2020,66.3
YR,F,Y12,MK,2020,65.3
YR,F,Y13,MK,2020,64.3
YR,F,Y14,MK,2020,63.3
YR,F,Y15,MK,2020,62.3
YR,F,Y16,MK,2020,61.3
YR,F,Y17,MK,2020,60.3
YR,F,Y18,MK,2020,59.3
YR,F,Y19,MK,2020,58.4
YR,F,Y2,MK,2020,75.2
YR,F,Y20,MK,2020,57.4
YR,F,Y21,MK,2020,56.4
YR,F,Y22,MK,2020,55.4
YR,F,Y23,MK,2020,54.4
YR,F,Y24,MK,2020,53.4
YR,F,Y25,MK,2020,52.5
YR,F,Y26,MK,2020,51.5
YR,F,Y27,MK,2020,50.5
YR,F,Y28,MK,2020,49.5
YR,F,Y29,MK,2020,48.5
YR,F,Y3,MK,2020,74.2
YR,F,Y30,MK,2020,47.5
YR,F,Y31,MK,2020,46.5
YR,F,Y32,MK,2020,45.5
YR,F,Y33,MK,2020,44.6
YR,F,Y34,MK,2020,43.6
YR,F,Y35,MK,2020,42.6
YR,F,Y36,MK,2020,41.7
YR,F,Y37,MK,2020,40.7
YR,F,Y38,MK,2020,39.7
YR,F,Y39,MK,2020,38.7
YR,F,Y4,MK,2020,73.2
YR,F,Y40,MK,2020,37.8
YR,F,Y41,MK,2020,36.8
YR,F,Y42,MK,2020,35.9
YR,F,Y43,MK,2020,34.9
YR,F,Y44,MK,2020,33.9
YR,F,Y45,MK,2020,33.0
YR,F,Y46,MK,2020,32.0
YR,F,Y47,MK,2020,31.2
YR,F,Y48,MK,2020,30.2
YR,F,Y49,MK,2020,29.3
YR,F,Y5,MK,2020,72.2
YR,F,Y50,MK,2020,28.4
YR,F,Y51,MK,2020,27.5
YR,F,Y52,MK,2020,26.6
YR,F,Y53,MK,2020,25.7
YR,F,Y54,MK,2020,24.8
YR,F,Y55,MK,2020,23.9
YR,F,Y56,MK,2020,23.0
YR,F,Y57,MK,2020,22.2
YR,F,Y58,MK,2020,21.3
YR,F,Y59,MK,2020,20.5
YR,F,Y6,MK,2020,71.2
YR,F,Y60,MK,2020,19.7
YR,F,Y61,MK,2020,18.8
YR,F,Y62,MK,2020,18.0
YR,F,Y63,MK,2020,17.2
YR,F,Y64,MK,2020,16.4
YR,F,Y65,MK,2020,15.7
YR,F,Y66,MK,2020,15.0
YR,F,Y67,MK,2020,14.2
YR,F,Y68,MK,2020,13.5
YR,F,Y69,MK,2020,12.8
YR,F,Y7,MK,2020,70.2
YR,F,Y70,MK,2020,12.1
YR,F,Y71,MK,2020,11.4
YR,F,Y72,MK,2020,10.7
YR,F,Y73,MK,2020,10.1
YR,F,Y74,MK,2020,9.5
YR,F,Y75,MK,2020,8.9
YR,F,Y76,MK,2020,8.3
YR,F,Y77,MK,2020,7.8
YR,F,Y78,MK,2020,7.2
YR,F,Y79,MK,2020,6.7
YR,F,Y8,MK,2020,69.2
YR,F,Y80,MK,2020,6.2
YR,F,Y81,MK,2020,5.8
YR,F,Y82,MK,2020,5.4
YR,F,Y83,MK,2020,5.1
YR,F,Y84,MK,2020,4.8
YR,F,Y9,MK,2020,68.2
YR,F,Y_GE85,MK,2020,4.5
YR,F,Y_LT1,MK,2020,76.7
YR,M,Y1,MK,2020,71.6
YR,M,Y10,MK,2020,62.7
YR,M,Y11,MK,2020,61.7
YR,M,Y12,MK,2020,60.7
YR,M,Y13,MK,2020,59.7
YR,M,Y14,MK,2020,58.7
YR,M,Y15,MK,2020,57.7
YR,M,Y16,MK,2020,56.7
YR,M,Y17,MK,2020,55.8
YR,M,Y18,MK,2020,54.8
YR,M,Y19,MK,2020,53.8
YR,M,Y2,MK,2020,70.6
YR,M,Y20,MK,2020,52.8
YR,M,Y21,MK,2020,51.9
YR,M,Y22,MK,2020,50.9
YR,M,Y23,MK,2020,49.9
YR,M,Y24,MK,2020,49.0
YR,M,Y25,MK,2020,48.0
YR,M,Y26,MK,2020,47.0
YR,M,Y27,MK,2020,46.0
YR,M,Y28,MK,2020,45.0
YR,M,Y29,MK,2020,44.0
YR,M,Y3,MK,2020,69.6
YR,M,Y30,MK,2020,43.1
YR,M,Y31,MK,2020,42.1
YR,M,Y32,MK,2020,41.1
YR,M,Y33,MK,2020,40.1
YR,M,Y34,MK,2020,39.2
YR,M,Y35,MK,2020,38.2
YR,M,Y36,MK,2020,37.3
YR,M,Y37,MK,2020,36.3
YR,M,Y38,MK,2020,35.3
YR,M,Y39,MK,2020,34.4
YR,M,Y4,MK,2020,68.6
YR,M,Y40,MK,2020,33.4
YR,M,Y41,MK,2020,32.5
YR,M,Y42,MK,2020,31.6
YR,M,Y43,MK,2020,30.6
YR,M,Y44,MK,2020,29.7
YR,M,Y45,MK,2020,28.8
YR,M,Y46,MK,2020,27.9
YR,M,Y47,MK,2020,27.0
YR,M,Y48,MK,2020,26.1
YR,M,Y49,MK,2020,25.2
YR,M,Y5,MK,2020,67.6
YR,M,Y50,MK,2020,24.3
YR,M,Y51,MK,2020,23.5
YR,M,Y52,MK,2020,22.6
YR,M,Y53,MK,2020,21.8
YR,M,Y54,MK,2020,21.0
YR,M,Y55,MK,2020,20.1
YR,M,Y56,MK,2020,19.3
