unit,sex,age,region,year,value
YR,F,Y65,MT,2021,22.0
YR,F,Y_LT1,MT,2021,84.5
YR,M,Y65,MT,2021,19.7
YR,M,Y_LT1,MT,2021,81.3
YR,T,Y65,MT,2021,20.9
YR,T,Y_LT1,MT,2021,82.9
YR,F,Y1,MT,2020,83.8
YR,F,Y10,MT,2020,74.9
YR,F,Y11,MT,2020,73.9
YR,F,Y12,MT,2020,72.9
YR,F,Y13,MT,2020,71.9
YR,F,Y14,MT,2020,70.9
YR,F,Y15,MT,2020,69.9
YR,F,Y16,MT,2020,68.9
YR,F,Y17,MT,2020,67.9
YR,F,Y18,MT,2020,66.9
YR,F,Y19,MT,2020,65.9
YR,F,Y2,MT,2020,82.9
YR,F,Y20,MT,2020,65.0
YR,F,Y21,MT,2020,64.0
YR,F,Y22,MT,2020,63.0
YR,F,Y23,MT,2020,62.0
YR,F,Y24,MT,2020,61.0
YR,F,Y25,MT,2020,60.1
YR,F,Y26,MT,2020,59.1
YR,F,Y27,MT,2020,58.1
YR,F,Y28,MT,2020,57.1
YR,F,Y29,MT,2020,56.1
YR,F,Y3,MT,2020,81.9
YR,F,Y30,MT,2020,55.1
YR,F,Y31,MT,2020,54.1
YR,F,Y32,MT,2020,53.1
YR,F,Y33,MT,2020,52.1
YR,F,Y34,MT,2020,51.1
YR,F,Y35,MT,2020,50.2
YR,F,Y36,MT,2020,49.2
YR,F,Y37,MT,2020,48.2
YR,F,Y38,MT,2020,47.2
YR,F,Y39,MT,2020,46.2
YR,F,Y4,MT,2020,80.9
YR,F,Y40,MT,2020,45.3
YR,F,Y41,MT,2020,44.3
YR,F,Y42,MT,2020,43.3
YR,F,Y43,MT,2020,42.4
YR,F,Y44,MT,2020,41.4
YR,F,Y45,MT,2020,40.4
YR,F,Y46,MT,2020,39.5
YR,F,Y47,MT,2020,38.5
YR,F,Y48,MT,2020,37.6
YR,F,Y49,MT,2020,36.6
YR,F,Y5,MT,2020,79.9
YR,F,Y50,MT,2020,35.7
YR,F,Y51,MT,2020,34.7
YR,F,Y52,MT,2020,33.7
YR,F,Y53,MT,2020,32.8
YR,F,Y54,MT,2020,31.9
YR,F,Y55,MT,2020,30.9
YR,F,Y56,MT,2020,30.1
YR,F,Y57,MT,2020,29.2
YR,F,Y58,MT,2020,28.2
YR,F,Y59,MT,2020,27.3
YR,F,Y6,MT,2020,78.9
YR,F,Y60,MT,2020,26.3
YR,F,Y61,MT,2020,25.4
YR,F,Y62,MT,2020,24.6
YR,F,Y63,MT,2020,23.7
YR,F,Y64,MT,2020,22.9
YR,F,Y65,MT,2020,22.0
YR,F,Y66,MT,2020,21.1
YR,F,Y67,MT,2020,20.3
YR,F,Y68,MT,2020,19.4
YR,F,Y69,MT,2020,18.5
YR,F,Y7,MT,2020,77.9
YR,F,Y70,MT,2020,17.7
YR,F,Y71,MT,2020,16.8
YR,F,Y72,MT,2020,16.0
YR,F,Y73,MT,2020,15.3
YR,F,Y74,MT,2020,14.4
YR,F,Y75,MT,2020,13.7
YR,F,Y76,MT,2020,13.0
YR,F,Y77,MT,2020,12.2
YR,F,Y78,MT,2020,11.5
YR,F,Y79,MT,2020,10.8
YR,F,Y8,MT,2020,76.9
YR,F,Y80,MT,2020,10.2
YR,F,Y81,MT,2020,9.6
YR,F,Y82,MT,2020,8.9
YR,F,Y83,MT,2020,8.2
YR,F,Y84,MT,2020,7.6
YR,F,Y9,MT,2020,75.9
YR,F,Y_GE85,MT,2020,7.1
YR,F,Y_LT1,MT,2020,84.5
YR,M,Y1,MT,2020,79.5
YR,M,Y10,MT,2020,70.6
YR,M,Y11,MT,2020,69.7
YR,M,Y12,MT,2020,68.7
YR,M,Y13,MT,2020,67.7
YR,M,Y14,MT,2020,66.7
YR,M,Y15,MT,2020,65.7
YR,M,Y16,MT,2020,64.7
YR,M,Y17,MT,2020,63.7
YR,M,Y18,MT,2020,62.7
YR,M,Y19,MT,2020,61.7
YR,M,Y2,MT,2020,78.6
YR,M,Y20,MT,2020,60.7
YR,M,Y21,MT,2020,59.8
YR,M,Y22,MT,2020,58.8
YR,M,Y23,MT,2020,57.8
YR,M,Y24,MT,2020,56.8
YR,M,Y25,MT,2020,55.9
YR,M,Y26,MT,2020,54.9
YR,M,Y27,MT,2020,53.9
YR,M,Y28,MT,2020,53.0
YR,M,Y29,MT,2020,52.0
YR,M,Y3,MT,2020,77.6
YR,M,Y30,MT,2020,51.0
YR,M,Y31,MT,2020,50.0
YR,M,Y32,MT,2020,49.0
YR,M,Y33,MT,2020,48.1
YR,M,Y34,MT,2020,47.1
YR,M,Y35,MT,2020,46.1
YR,M,Y36,MT,2020,45.2
YR,M,Y37,MT,2020,44.2
YR,M,Y38,MT,2020,43.2
YR,M,Y39,MT,2020,42.2
YR,M,Y4,MT,2020,76.6
YR,M,Y40,MT,2020,41.3
YR,M,Y41,MT,2020,40.3
YR,M,Y42,MT,2020,39.3
YR,M,Y43,MT,2020,38.4
YR,M,Y44,MT,2020,37.4
YR,M,Y45,MT,2020,36.5
YR,M,Y46,MT,2020,35.6
YR,M,Y47,MT,2020,34.6
YR,M,Y48,MT,2020,33.7
YR,M,Y49,MT,2020,32.8
YR,M,Y5,MT,2020,75.6
YR,M,Y50,MT,2020,31.9
YR,M,Y51,MT,2020,31.0
YR,M,Y52,MT,2020,30.1
YR,M,Y53,MT,2020,29.2
YR,M,Y54,MT,2020,28.2
YR,M,Y55,MT,2020,27.3
YR,M,Y56,MT,2020,26.5
YR,M,Y57,MT,2020,25.5
YR,M,Y58,MT,2020,24.7
YR,M,Y59,MT,2020,23.9
YR,M,Y6,MT,2020,74.6
YR,M,Y60,MT,2020,23.1
YR,M,Y61,MT,2020,22.2
YR,M,Y62,MT,2020,21.4
YR,M,Y63,MT,2020,20.5
YR,M,Y64,MT,2020,19.7
YR,M,Y65,MT,2020,18.9
YR,M,Y66,MT,2020,18.1
YR,M,Y67,MT,2020,17.2
YR,M,Y68,MT,2020,16.5
YR,M,Y69,MT,2020,15.8
YR,M,Y7,MT,2020,73.6
YR,M,Y70,MT,2020,15.0
YR,M,Y71,MT,2020,14.3
YR,M,Y72,MT,2020,13.6
YR,M,Y73,MT,2020,12.9
YR,M,Y74,MT,2020,12.3
YR,M,Y75,MT,2020,11.6
YR,M,Y76,MT,2020,10.9
YR,M,Y77,MT,2020,10.2
YR,M,Y78,MT,2020,9.6
YR,M,Y79,MT,2020,9.0
YR,M,Y8,MT,2020,72.6
YR,M,Y80,MT,2020,8.5
