unit,sex,age,region,year,value
YR,F,Y65,NL,2021,20.8
YR,F,Y_LT1,NL,2021,83.1
YR,M,Y65,NL,2021,18.4
YR,M,Y_LT1,NL,2021,79.9
YR,T,Y65,NL,2021,19.6
YR,T,Y_LT1,NL,2021,81.5
YR,F,Y1,NL,2020,82.4
YR,F,Y10,NL,2020,73.4
YR,F,Y11,NL,2020,72.4
YR,F,Y12,NL,2020,71.4
YR,F,Y13,NL,2020,70.5
YR,F,Y14,NL,2020,69.5
YR,F,Y15,NL,2020,68.5
YR,F,Y16,NL,2020,67.5
YR,F,Y17,NL,2020,66.5
YR,F,Y18,NL,2020,65.5
YR,F,Y19,NL,2020,64.5
YR,F,Y2,NL,2020,81.4
YR,F,Y20,NL,2020,63.5
YR,F,Y21,NL,2020,62.5
YR,F,Y22,NL,2020,61.5
YR,F,Y23,NL,2020,60.6
YR,F,Y24,NL,2020,59.6
YR,F,Y25,NL,2020,58.6
YR,F,Y26,NL,2020,57.6
YR,F,Y27,NL,2020,56.6
YR,F,Y28,NL,2020,55.6
YR,F,Y29,NL,2020,54.6
YR,F,Y3,NL,2020,80.4
YR,F,Y30,NL,2020,53.6
YR,F,Y31,NL,2020,52.6
YR,F,Y32,NL,2020,51.7
YR,F,Y33,NL,2020,50.7
YR,F,Y34,NL,2020,49.7
YR,F,Y35,NL,2020,48.7
YR,F,Y36,NL,2020,47.7
YR,F,Y37,NL,2020,46.8
YR,F,Y38,NL,2020,45.8
YR,F,Y39,NL,2020,44.8
YR,F,Y4,NL,2020,79.4
YR,F,Y40,NL,2020,43.8
YR,F,Y41,NL,2020,42.9
YR,F,Y42,NL,2020,41.9
YR,F,Y43,NL,2020,40.9
YR,F,Y44,NL,2020,40.0
YR,F,Y45,NL,2020,39.0
YR,F,Y46,NL,2020,38.0
YR,F,Y47,NL,2020,37.1
YR,F,Y48,NL,2020,36.1
YR,F,Y49,NL,2020,35.2
YR,F,Y5,NL,2020,78.4
YR,F,Y50,NL,2020,34.2
YR,F,Y51,NL,2020,33.3
YR,F,Y52,NL,2020,32.4
YR,F,Y53,NL,2020,31.4
YR,F,Y54,NL,2020,30.5
YR,F,Y55,NL,2020,29.6
YR,F,Y56,NL,2020,28.7
YR,F,Y57,NL,2020,27.8
YR,F,Y58,NL,2020,26.8
YR,F,Y59,NL,2020,26.0
YR,F,Y6,NL,2020,77.4
YR,F,Y60,NL,2020,25.1
YR,F,Y61,NL,2020,24.2
YR,F,Y62,NL,2020,23.3
YR,F,Y63,NL,2020,22.4
YR,F,Y64,NL,2020,21.6
YR,F,Y65,NL,2020,20.7
YR,F,Y66,NL,2020,19.9
YR,F,Y67,NL,2020,19.1
YR,F,Y68,NL,2020,18.3
YR,F,Y69,NL,2020,17.4
YR,F,Y7,NL,2020,76.4
YR,F,Y70,NL,2020,16.6
YR,F,Y71,NL,2020,15.8
YR,F,Y72,NL,2020,15.1
YR,F,Y73,NL,2020,14.3
YR,F,Y74,NL,2020,13.5
YR,F,Y75,NL,2020,12.8
YR,F,Y76,NL,2020,12.0
YR,F,Y77,NL,2020,11.3
YR,F,Y78,NL,2020,10.6
YR,F,Y79,NL,2020,10.0
YR,F,Y8,NL,2020,75.4
YR,F,Y80,NL,2020,9.3
YR,F,Y81,NL,2020,8.7
YR,F,Y82,NL,2020,8.0
YR,F,Y83,NL,2020,7.4
YR,F,Y84,NL,2020,6.9
YR,F,Y9,NL,2020,74.4
YR,F,Y_GE85,NL,2020,6.3
