unit,sex,age,region,year,value
YR,F,Y65,PL,2021,18.4
YR,F,Y_LT1,PL,2021,79.7
YR,M,Y65,PL,2021,14.1
YR,M,Y_LT1,PL,2021,71.7
YR,T,Y65,PL,2021,16.5
YR,T,Y_LT1,PL,2021,75.6
YR,F,Y1,PL,2020,80.0
YR,F,Y10,PL,2020,71.0
YR,F,Y11,PL,2020,70.0
YR,F,Y12,PL,2020,69.0
YR,F,Y13,PL,2020,68.0
YR,F,Y14,PL,2020,67.0
YR,F,Y15,PL,2020,66.0
YR,F,Y16,PL,2020,65.1
YR,F,Y17,PL,2020,64.1
YR,F,Y18,PL,2020,63.1
YR,F,Y19,PL,2020,62.1
YR,F,Y2,PL,2020,79.0
YR,F,Y20,PL,2020,61.1
YR,F,Y21,PL,2020,60.1
YR,F,Y22,PL,2020,59.2
YR,F,Y23,PL,2020,58.2
YR,F,Y24,PL,2020,57.2
YR,F,Y25,PL,2020,56.2
YR,F,Y26,PL,2020,55.2
YR,F,Y27,PL,2020,54.2
YR,F,Y28,PL,2020,53.2
YR,F,Y29,PL,2020,52.3
YR,F,Y3,PL,2020,78.0
YR,F,Y30,PL,2020,51.3
YR,F,Y31,PL,2020,50.3
YR,F,Y32,PL,2020,49.3
YR,F,Y33,PL,2020,48.3
YR,F,Y34,PL,2020,47.3
YR,F,Y35,PL,2020,46.4
YR,F,Y36,PL,2020,45.4
YR,F,Y37,PL,2020,44.4
YR,F,Y38,PL,2020,43.5
YR,F,Y39,PL,2020,42.5
YR,F,Y4,PL,2020,77.0
YR,F,Y40,PL,2020,41.5
YR,F,Y41,PL,2020,40.6
YR,F,Y42,PL,2020,39.6
YR,F,Y43,PL,2020,38.7
YR,F,Y44,PL,2020,37.7
YR,F,Y45,PL,2020,36.8
YR,F,Y46,PL,2020,35.8
YR,F,Y47,PL,2020,34.9
YR,F,Y48,PL,2020,33.9
YR,F,Y49,PL,2020,33.0
YR,F,Y5,PL,2020,76.0
YR,F,Y50,PL,2020,32.1
YR,F,Y51,PL,2020,31.2
YR,F,Y52,PL,2020,30.3
YR,F,Y53,PL,2020,29.4
YR,F,Y54,PL,2020,28.5
YR,F,Y55,PL,2020,27.6
YR,F,Y56,PL,2020,26.7
YR,F,Y57,PL,2020,25.8
YR,F,Y58,PL,2020,24.9
YR,F,Y59,PL,2020,24.1
YR,F,Y6,PL,2020,75.0
YR,F,Y60,PL,2020,23.2
YR,F,Y61,PL,2020,22.4
YR,F,Y62,PL,2020,21.6
YR,F,Y63,PL,2020,20.8
YR,F,Y64,PL,2020,20.0
YR,F,Y65,PL,2020,19.2
YR,F,Y66,PL,2020,18.4
YR,F,Y67,PL,2020,17.6
YR,F,Y68,PL,2020,16.9
YR,F,Y69,PL,2020,16.1
YR,F,Y7,PL,2020,74.0
YR,F,Y70,PL,2020,15.4
YR,F,Y71,PL,2020,14.6
YR,F,Y72,PL,2020,13.9
YR,F,Y73,PL,2020,13.3
YR,F,Y74,PL,2020,12.6
YR,F,Y75,PL,2020,11.9
YR,F,Y76,PL,2020,11.3
YR,F,Y77,PL,2020,10.6
YR,F,Y78,PL,2020,10.0
YR,F,Y79,PL,2020,9.4
YR,F,Y8,PL,2020,73.0
YR,F,Y80,PL,2020,8.8
YR,F,Y81,PL,2020,8.2
YR,F,Y82,PL,2020,7.7
YR,F,Y83,PL,2020,7.2
YR,F,Y84,PL,2020,6.7
YR,F,Y9,PL,2020,72.0
YR,F,Y_GE85,PL,2020,6.2
YR,F,Y_LT1,PL,2020,80.7
YR,M,Y1,PL,2020,71.7
YR,M,Y10,PL,2020,62.8
YR,M,Y11,PL,2020,61.8
YR,M,Y12,PL,2020,60.8
YR,M,Y13,PL,2020,59.8
YR,M,Y14,PL,2020,58.8
YR,M,Y15,PL,2020,57.8
YR,M,Y16,PL,2020,56.9
YR,M,Y17,PL,2020,55.9
YR,M,Y18,PL,2020,54.9
YR,M,Y19,PL,2020,53.9
YR,M,Y2,PL,2020,70.8
YR,M,Y20,PL,2020,53.0
YR,M,Y21,PL,2020,52.0
YR,M,Y22,PL,2020,51.1
YR,M,Y23,PL,2020,50.1
