unit,sex,age,region,year,value
YR,F,Y65,RO,2021,16.5
YR,F,Y_LT1,RO,2021,76.7
YR,M,Y65,RO,2021,12.7
YR,M,Y_LT1,RO,2021,69.4
YR,T,Y65,RO,2021,14.7
YR,T,Y_LT1,RO,2021,72.9
YR,F,Y1,RO,2020,77.7
YR,F,Y10,RO,2020,68.8
YR,F,Y11,RO,2020,67.8
YR,F,Y12,RO,2020,66.9
YR,F,Y13,RO,2020,65.9
YR,F,Y14,RO,2020,64.9
YR,F,Y15,RO,2020,63.9
YR,F,Y16,RO,2020,62.9
YR,F,Y17,RO,2020,61.9
YR,F,Y18,RO,2020,60.9
YR,F,Y19,RO,2020,59.9
YR,F,Y2,RO,2020,76.7
YR,F,Y20,RO,2020,58.9
YR,F,Y21,RO,2020,58.0
YR,F,Y22,RO,2020,57.0
YR,F,Y23,RO,2020,56.0
YR,F,Y24,RO,2020,55.0
YR,F,Y25,RO,2020,54.0
YR,F,Y26,RO,2020,53.0
YR,F,Y27,RO,2020,52.1
YR,F,Y28,RO,2020,51.1
YR,F,Y29,RO,2020,50.1
YR,F,Y3,RO,2020,75.8
YR,F,Y30,RO,2020,49.1
YR,F,Y31,RO,2020,48.2
YR,F,Y32,RO,2020,47.2
YR,F,Y33,RO,2020,46.2
YR,F,Y34,RO,2020,45.2
YR,F,Y35,RO,2020,44.3
YR,F,Y36,RO,2020,43.3
YR,F,Y37,RO,2020,42.3
YR,F,Y38,RO,2020,41.4
YR,F,Y39,RO,2020,40.4
YR,F,Y4,RO,2020,74.8
YR,F,Y40,RO,2020,39.5
YR,F,Y41,RO,2020,38.5
YR,F,Y42,RO,2020,37.6
YR,F,Y43,RO,2020,36.6
YR,F,Y44,RO,2020,35.7
YR,F,Y45,RO,2020,34.7
YR,F,Y46,RO,2020,33.8
YR,F,Y47,RO,2020,32.9
YR,F,Y48,RO,2020,32.0
YR,F,Y49,RO,2020,31.1
YR,F,Y5,RO,2020,73.8
YR,F,Y50,RO,2020,30.2
YR,F,Y51,RO,2020,29.3
YR,F,Y52,RO,2020,28.4
YR,F,Y53,RO,2020,27.5
YR,F,Y54,RO,2020,26.6
YR,F,Y55,RO,2020,25.7
YR,F,Y56,RO,2020,24.9
YR,F,Y57,RO,2020,24.1
YR,F,Y58,RO,2020,23.2
YR,F,Y59,RO,2020,22.4
YR,F,Y6,RO,2020,72.8
YR,F,Y60,RO,2020,21.6
YR,F,Y61,RO,2020,20.8
YR,F,Y62,RO,2020,20.0
YR,F,Y63,RO,2020,19.2
YR,F,Y64,RO,2020,18.4
YR,F,Y65,RO,2020,17.7
YR,F,Y66,RO,2020,16.9
