unit,sex,age,region,year,value
YR,F,Y1,RS,2020,76.8
YR,F,Y10,RS,2020,67.9
YR,F,Y11,RS,2020,66.9
YR,F,Y12,RS,2020,65.9
YR,F,Y13,RS,2020,64.9
YR,F,Y14,RS,2020,63.9
YR,F,Y15,RS,2020,62.9
YR,F,Y16,RS,2020,61.9
YR,F,Y17,RS,2020,60.9
YR,F,Y18,RS,2020,60.0
YR,F,Y19,RS,2020,59.0
YR,F,Y2,RS,2020,75.8
YR,F,Y20,RS,2020,58.0
YR,F,Y21,RS,2020,57.0
YR,F,Y22,RS,2020,56.0
YR,F,Y23,RS,2020,55.0
YR,F,Y24,RS,2020,54.0
YR,F,Y25,RS,2020,53.0
YR,F,Y26,RS,2020,52.1
YR,F,Y27,RS,2020,51.1
YR,F,Y28,RS,2020,50.1
YR,F,Y29,RS,2020,49.1
YR,F,Y3,RS,2020,74.8
YR,F,Y30,RS,2020,48.1
YR,F,Y31,RS,2020,47.2
YR,F,Y32,RS,2020,46.2
YR,F,Y33,RS,2020,45.2
YR,F,Y34,RS,2020,44.2
YR,F,Y35,RS,2020,43.2
YR,F,Y36,RS,2020,42.3
YR,F,Y37,RS,2020,41.3
YR,F,Y38,RS,2020,40.3
YR,F,Y39,RS,2020,39.4
YR,F,Y4,RS,2020,73.8
YR,F,Y40,RS,2020,38.4
YR,F,Y41,RS,2020,37.4
YR,F,Y42,RS,2020,36.5
YR,F,Y43,RS,2020,35.5
YR,F,Y44,RS,2020,34.6
YR,F,Y45,RS,2020,33.6
YR,F,Y46,RS,2020,32.7
YR,F,Y47,RS,2020,31.8
YR,F,Y48,RS,2020,30.8
YR,F,Y49,RS,2020,29.9
YR,F,Y5,RS,2020,72.9
YR,F,Y50,RS,2020,29.0
YR,F,Y51,RS,2020,28.1
YR,F,Y52,RS,2020,27.2
YR,F,Y53,RS,2020,26.3
YR,F,Y54,RS,2020,25.5
YR,F,Y55,RS,2020,24.6
YR,F,Y56,RS,2020,23.7
YR,F,Y57,RS,2020,22.9
YR,F,Y58,RS,2020,22.0
YR,F,Y59,RS,2020,21.2
YR,F,Y6,RS,2020,71.9
YR,F,Y60,RS,2020,20.4
YR,F,Y61,RS,2020,19.6
YR,F,Y62,RS,2020,18.8
YR,F,Y63,RS,2020,18.0
YR,F,Y64,RS,2020,17.2
YR,F,Y65,RS,2020,16.5
YR,F,Y66,RS,2020,15.7
YR,F,Y67,RS,2020,15.0
YR,F,Y68,RS,2020,14.3
YR,F,Y69,RS,2020,13.5
YR,F,Y7,RS,2020,70.9
YR,F,Y70,RS,2020,12.8
YR,F,Y71,RS,2020,12.1
YR,F,Y72,RS,2020,11.4
YR,F,Y73,RS,2020,10.8
YR,F,Y74,RS,2020,10.2
YR,F,Y75,RS,2020,9.5
YR,F,Y76,RS,2020,8.9
YR,F,Y77,RS,2020,8.4
YR,F,Y78,RS,2020,7.8
YR,F,Y79,RS,2020,7.3
YR,F,Y8,RS,2020,69.9
YR,F,Y80,RS,2020,6.9
