unit,sex,age,region,year,value
YR,F,Y1,RU,2010,74.4
YR,F,Y10,RU,2010,65.6
YR,F,Y11,RU,2010,64.6
YR,F,Y12,RU,2010,63.6
YR,F,Y13,RU,2010,62.7
YR,F,Y14,RU,2010,61.7
YR,F,Y15,RU,2010,60.7
YR,F,Y16,RU,2010,59.7
YR,F,Y17,RU,2010,58.8
YR,F,Y18,RU,2010,57.8
YR,F,Y19,RU,2010,56.8
YR,F,Y2,RU,2010,73.5
YR,F,Y20,RU,2010,55.9
YR,F,Y21,RU,2010,54.9
YR,F,Y22,RU,2010,53.9
YR,F,Y23,RU,2010,53.0
YR,F,Y24,RU,2010,52.0
YR,F,Y25,RU,2010,51.1
YR,F,Y26,RU,2010,50.1
YR,F,Y27,RU,2010,49.2
YR,F,Y28,RU,2010,48.2
YR,F,Y29,RU,2010,47.3
YR,F,Y3,RU,2010,72.5
YR,F,Y30,RU,2010,46.4
YR,F,Y31,RU,2010,45.5
YR,F,Y32,RU,2010,44.5
YR,F,Y33,RU,2010,43.6
YR,F,Y34,RU,2010,42.7
YR,F,Y35,RU,2010,41.8
YR,F,Y36,RU,2010,40.9
YR,F,Y37,RU,2010,40.0
YR,F,Y38,RU,2010,39.1
YR,F,Y39,RU,2010,38.2
YR,F,Y4,RU,2010,71.5
YR,F,Y40,RU,2010,37.3
YR,F,Y41,RU,2010,36.4
YR,F,Y42,RU,2010,35.5
YR,F,Y43,RU,2010,34.6
YR,F,Y44,RU,2010,33.7
YR,F,Y45,RU,2010,32.8
YR,F,Y46,RU,2010,31.9
YR,F,Y47,RU,2010,31.1
YR,F,Y48,RU,2010,30.2
YR,F,Y49,RU,2010,29.3
YR,F,Y5,RU,2010,70.5
YR,F,Y50,RU,2010,28.5
YR,F,Y51,RU,2010,27.6
YR,F,Y52,RU,2010,26.8
YR,F,Y53,RU,2010,25.9
YR,F,Y54,RU,2010,25.1
YR,F,Y55,RU,2010,24.2
YR,F,Y56,RU,2010,23.4
YR,F,Y57,RU,2010,22.6
YR,F,Y58,RU,2010,21.8
YR,F,Y59,RU,2010,21.0
YR,F,Y6,RU,2010,69.6
YR,F,Y60,RU,2010,20.3
YR,F,Y61,RU,2010,19.5
