unit,sex,age,region,year,value
YR,F,Y65,SE,2021,22.2
YR,F,Y_LT1,SE,2021,85.0
YR,M,Y65,SE,2021,19.6
YR,M,Y_LT1,SE,2021,81.4
YR,T,Y65,SE,2021,20.9
YR,T,Y_LT1,SE,2021,83.2
YR,F,Y1,SE,2020,83.4
YR,F,Y10,SE,2020,74.4
YR,F,Y11,SE,2020,73.5
YR,F,Y12,SE,2020,72.5
YR,F,Y13,SE,2020,71.5
YR,F,Y14,SE,2020,70.5
YR,F,Y15,SE,2020,69.5
YR,F,Y16,SE,2020,68.5
YR,F,Y17,SE,2020,67.5
YR,F,Y18,SE,2020,66.5
YR,F,Y19,SE,2020,65.5
YR,F,Y2,SE,2020,82.4
YR,F,Y20,SE,2020,64.5
YR,F,Y21,SE,2020,63.5
YR,F,Y22,SE,2020,62.5
YR,F,Y23,SE,2020,61.6
YR,F,Y24,SE,2020,60.6
YR,F,Y25,SE,2020,59.6
YR,F,Y26,SE,2020,58.6
YR,F,Y27,SE,2020,57.6
YR,F,Y28,SE,2020,56.6
YR,F,Y29,SE,2020,55.6
YR,F,Y3,SE,2020,81.4
YR,F,Y30,SE,2020,54.7
YR,F,Y31,SE,2020,53.7
YR,F,Y32,SE,2020,52.7
YR,F,Y33,SE,2020,51.7
YR,F,Y34,SE,2020,50.7
YR,F,Y35,SE,2020,49.7
YR,F,Y36,SE,2020,48.8
YR,F,Y37,SE,2020,47.8
YR,F,Y38,SE,2020,46.8
YR,F,Y39,SE,2020,45.8
YR,F,Y4,SE,2020,80.4
YR,F,Y40,SE,2020,44.9
YR,F,Y41,SE,2020,43.9
YR,F,Y42,SE,2020,42.9
YR,F,Y43,SE,2020,41.9
YR,F,Y44,SE,2020,41.0
YR,F,Y45,SE,2020,40.0
YR,F,Y46,SE,2020,39.0
YR,F,Y47,SE,2020,38.1
YR,F,Y48,SE,2020,37.1
YR,F,Y49,SE,2020,36.1
YR,F,Y5,SE,2020,79.4
YR,F,Y50,SE,2020,35.2
YR,F,Y51,SE,2020,34.2
YR,F,Y52,SE,2020,33.3
YR,F,Y53,SE,2020,32.3
YR,F,Y54,SE,2020,31.4
YR,F,Y55,SE,2020,30.5
YR,F,Y56,SE,2020,29.5
YR,F,Y57,SE,2020,28.6
YR,F,Y58,SE,2020,27.6
YR,F,Y59,SE,2020,26.7
YR,F,Y6,SE,2020,78.4
YR,F,Y60,SE,2020,25.8
YR,F,Y61,SE,2020,24.9
YR,F,Y62,SE,2020,24.0
YR,F,Y63,SE,2020,23.1
YR,F,Y64,SE,2020,22.3
YR,F,Y65,SE,2020,21.4
YR,F,Y66,SE,2020,20.5
YR,F,Y67,SE,2020,19.7
YR,F,Y68,SE,2020,18.8
YR,F,Y69,SE,2020,18.0
YR,F,Y7,SE,2020,77.4
YR,F,Y70,SE,2020,17.2
YR,F,Y71,SE,2020,16.3
YR,F,Y72,SE,2020,15.5
YR,F,Y73,SE,2020,14.8
YR,F,Y74,SE,2020,14.0
YR,F,Y75,SE,2020,13.2
YR,F,Y76,SE,2020,12.5
YR,F,Y77,SE,2020,11.7
YR,F,Y78,SE,2020,11.0
YR,F,Y79,SE,2020,10.3
YR,F,Y8,SE,2020,76.4
YR,F,Y80,SE,2020,9.6
YR,F,Y81,SE,2020,9.0
YR,F,Y82,SE,2020,8.4
YR,F,Y83,SE,2020,7.8
YR,F,Y84,SE,2020,7.2
YR,F,Y9,SE,2020,75.4
YR,F,Y_GE85,SE,2020,6.6
YR,F,Y_LT1,SE,2020,84.2
YR,M,Y1,SE,2020,79.8
YR,M,Y10,SE,2020,70.9
YR,M,Y11,SE,2020,69.9
YR,M,Y12,SE,2020,68.9
YR,M,Y13,SE,2020,67.9
YR,M,Y14,SE,2020,66.9
YR,M,Y15,SE,2020,65.9
YR,M,Y16,SE,2020,64.9
YR,M,Y17,SE,2020,63.9
YR,M,Y18,SE,2020,63.0
YR,M,Y19,SE,2020,62.0
YR,M,Y2,SE,2020,78.8
YR,M,Y20,SE,2020,61.0
YR,M,Y21,SE,2020,60.1
YR,M,Y22,SE,2020,59.1
YR,M,Y23,SE,2020,58.1
YR,M,Y24,SE,2020,57.2
YR,M,Y25,SE,2020,56.2
YR,M,Y26,SE,2020,55.2
YR,M,Y27,SE,2020,54.3
YR,M,Y28,SE,2020,53.3
YR,M,Y29,SE,2020,52.3
YR,M,Y3,SE,2020,77.8
YR,M,Y30,SE,2020,51.4
YR,M,Y31,SE,2020,50.4
YR,M,Y32,SE,2020,49.4
YR,M,Y33,SE,2020,48.5
YR,M,Y34,SE,2020,47.5
YR,M,Y35,SE,2020,46.5
YR,M,Y36,SE,2020,45.6
YR,M,Y37,SE,2020,44.6
YR,M,Y38,SE,2020,43.6
YR,M,Y39,SE,2020,42.6
YR,M,Y4,SE,2020,76.8
YR,M,Y40,SE,2020,41.7
YR,M,Y41,SE,2020,40.7
YR,M,Y42,SE,2020,39.8
YR,M,Y43,SE,2020,38.8
YR,M,Y44,SE,2020,37.8
YR,M,Y45,SE,2020,36.9
YR,M,Y46,SE,2020,35.9
YR,M,Y47,SE,2020,35.0
YR,M,Y48,SE,2020,34.0
YR,M,Y49,SE,2020,33.1
YR,M,Y5,SE,2020,75.8
YR,M,Y50,SE,2020,32.1
YR,M,Y51,SE,2020,31.2
YR,M,Y52,SE,2020,30.2
YR,M,Y53,SE,2020,29.3
YR,M,Y54,SE,2020,28.4
YR,M,Y55,SE,2020,27.5
YR,M,Y56,SE,2020,26.6
YR,M,Y57,SE,2020,25.7
YR,M,Y58,SE,2020,24.8
YR,M,Y59,SE,2020,23.9
YR,M,Y6,SE,2020,74.8
YR,M,Y60,SE,2020,23.1
YR,M,Y61,SE,2020,22.2
YR,M,Y62,SE,2020,21.4
YR,M,Y63,SE,2020,20.5
YR,M,Y64,SE,2020,19.7
YR,M,Y65,SE,2020,18.9
YR,M,Y66,SE,2020,18.1
YR,M,Y67,SE,2020,17.3
YR,M,Y68,SE,2020,16.5
YR,M,Y69,SE,2020,15.7
YR,M,Y7,SE,2020,73.8
YR,M,Y70,SE,2020,15.0
YR,M,Y71,SE,2020,14.2
YR,M,Y72,SE,2020,13.5
YR,M,Y73,SE,2020,12.7
YR,M,Y74,SE,2020,12.0
YR,M,Y75,SE,2020,11.3
YR,M,Y76,SE,2020,10.6
YR,M,Y77,SE,2020,10.0
YR,M,Y78,SE,2020,9.3
YR,M,Y79,SE,2020,8.7
YR,M,Y8,SE,2020,72.9
YR,M,Y80,SE,2020,8.1
YR,M,Y81,SE,2020,7.5
YR,M,Y82,SE,2020,7.0
YR,M,Y83,SE,2020,6.4
YR,M,Y84,SE,2020,5.9
YR,M,Y9,SE,2020,71.9
YR,M,Y_GE85,SE,2020,5.5
YR,M,Y_LT1,SE,2020,80.6
YR,T,Y1,SE,2020,81.6
YR,T,Y10,SE,2020,72.6
YR,T,Y11,SE,2020,71.6
YR,T,Y12,SE,2020,70.7
YR,T,Y13,SE,2020,69.7
YR,T,Y14,SE,2020,68.7
YR,T,Y15,SE,2020,67.7
YR,T,Y16,SE,2020,66.7
YR,T,Y17,SE,2020,65.7
YR,T,Y18,SE,2020,64.7
YR,T,Y19,SE,2020,63.7
YR,T,Y2,SE,2020,80.6
YR,T,Y20,SE,2020,62.8
YR,T,Y21,SE,2020,61.8
YR,T,Y22,SE,2020,60.8
YR,T,Y23,SE,2020,59.8
YR,T,Y24,SE,2020,58.9
YR,T,Y25,SE,2020,57.9
YR,T,Y26,SE,2020,56.9
YR,T,Y27,SE,2020,55.9
YR,T,Y28,SE,2020,55.0
YR,T,Y29,SE,2020,54.0
YR,T,Y3,SE,2020,79.6
YR,T,Y30,SE,2020,53.0
YR,T,Y31,SE,2020,52.0
YR,T,Y32,SE,2020,51.1
YR,T,Y33,SE,2020,50.1
YR,T,Y34,SE,2020,49.1
YR,T,Y35,SE,2020,48.1
YR,T,Y36,SE,2020,47.2
YR,T,Y37,SE,2020,46.2
YR,T,Y38,SE,2020,45.2
YR,T,Y39,SE,2020,44.2
YR,T,Y4,SE,2020,78.6
YR,T,Y40,SE,2020,43.3
YR,T,Y41,SE,2020,42.3
YR,T,Y42,SE,2020,41.3
YR,T,Y43,SE,2020,40.4
YR,T,Y44,SE,2020,39.4
YR,T,Y45,SE,2020,38.4
YR,T,Y46,SE,2020,37.5
YR,T,Y47,SE,2020,36.5
YR,T,Y48,SE,2020,35.6
YR,T,Y49,SE,2020,34.6
YR,T,Y5,SE,2020,77.6
YR,T,Y50,SE,2020,33.7
YR,T,Y51,SE,2020,32.7
YR,T,Y52,SE,2020,31.8
YR,T,Y53,SE,2020,30.8
YR,T,Y54,SE,2020,29.9
YR,T,Y55,SE,2020,29.0
YR,T,Y56,SE,2020,28.1
YR,T,Y57,SE,2020,27.2
YR,T,Y58,SE,2020,26.3
YR,T,Y59,SE,2020,25.4
YR,T,Y6,SE,2020,76.6
YR,T,Y60,SE,2020,24.5
YR,T,Y61,SE,2020,23.6
YR,T,Y62,SE,2020,22.7
YR,T,Y63,SE,2020,21.9
YR,T,Y64,SE,2020,21.0
YR,T,Y65,SE,2020,20.2
YR,T,Y66,SE,2020,19.3
YR,T,Y67,SE,2020,18.5
YR,T,Y68,SE,2020,17.7
YR,T,Y69,SE,2020,16.9
YR,T,Y7,SE,2020,75.6
YR,T,Y70,SE,2020,16.1
YR,T,Y71,SE,2020,15.3
YR,T,Y72,SE,2020,14.6
YR,T,Y73,SE,2020,13.8
YR,T,Y74,SE,2020,13.1
YR,T,Y75,SE,2020,12.3
YR,T,Y76,SE,2020,11.6
YR,T,Y77,SE,2020,10.9
YR,T,Y78,SE,2020,10.3
YR,T,Y79,SE,2020,9.6
YR,T,Y8,SE,2020,74.6
YR,T,Y80,SE,2020,9.0
YR,T,Y81,SE,2020,8.3
YR,T,Y82,SE,2020,7.8
YR,T,Y83,SE,2020,7.2
YR,T,Y84,SE,2020,6.7
YR,T,Y9,SE,2020,73.6
YR,T,Y_GE85,SE,2020,6.1
YR,T,Y_LT1,SE,2020,82.4
YR,F,Y1,SE,2019,84.0
YR,F,Y10,SE,2019,75.1
YR,F,Y11,SE,2019,74.1
YR,F,Y12,SE,2019,73.1
YR,F,Y13,SE,2019,72.1
YR,F,Y14,SE,2019,71.1
YR,F,Y15,SE,2019,70.1
YR,F,Y16,SE,2019,69.1
YR,F,Y17,SE,2019,68.1
