unit,sex,age,region,year,value
YR,F,Y65,SI,2021,21.3
YR,F,Y_LT1,SI,2021,84.0
YR,M,Y65,SI,2021,17.2
YR,M,Y_LT1,SI,2021,77.9
YR,T,Y65,SI,2021,19.4
YR,T,Y_LT1,SI,2021,80.9
YR,F,Y1,SI,2020,82.5
YR,F,Y10,SI,2020,73.6
YR,F,Y11,SI,2020,72.6
YR,F,Y12,SI,2020,71.6
YR,F,Y13,SI,2020,70.6
YR,F,Y14,SI,2020,69.6
YR,F,Y15,SI,2020,68.6
YR,F,Y16,SI,2020,67.6
YR,F,Y17,SI,2020,66.6
YR,F,Y18,SI,2020,65.6
YR,F,Y19,SI,2020,64.6
YR,F,Y2,SI,2020,81.5
YR,F,Y20,SI,2020,63.6
YR,F,Y21,SI,2020,62.6
YR,F,Y22,SI,2020,61.6
YR,F,Y23,SI,2020,60.6
YR,F,Y24,SI,2020,59.6
YR,F,Y25,SI,2020,58.6
YR,F,Y26,SI,2020,57.6
YR,F,Y27,SI,2020,56.7
YR,F,Y28,SI,2020,55.7
YR,F,Y29,SI,2020,54.7
YR,F,Y3,SI,2020,80.5
YR,F,Y30,SI,2020,53.7
YR,F,Y31,SI,2020,52.7
YR,F,Y32,SI,2020,51.7
YR,F,Y33,SI,2020,50.7
YR,F,Y34,SI,2020,49.8
YR,F,Y35,SI,2020,48.8
YR,F,Y36,SI,2020,47.8
YR,F,Y37,SI,2020,46.8
YR,F,Y38,SI,2020,45.8
YR,F,Y39,SI,2020,44.8
YR,F,Y4,SI,2020,79.5
YR,F,Y40,SI,2020,43.9
YR,F,Y41,SI,2020,42.9
YR,F,Y42,SI,2020,41.9
YR,F,Y43,SI,2020,41.0
YR,F,Y44,SI,2020,40.0
YR,F,Y45,SI,2020,39.0
YR,F,Y46,SI,2020,38.1
YR,F,Y47,SI,2020,37.1
YR,F,Y48,SI,2020,36.1
YR,F,Y49,SI,2020,35.2
YR,F,Y5,SI,2020,78.5
YR,F,Y50,SI,2020,34.3
YR,F,Y51,SI,2020,33.3
YR,F,Y52,SI,2020,32.4
