unit,sex,age,region,year,value
YR,F,Y65,SK,2021,17.3
YR,F,Y_LT1,SK,2021,78.3
YR,M,Y65,SK,2021,13.4
YR,M,Y_LT1,SK,2021,71.3
YR,T,Y65,SK,2021,15.5
YR,T,Y_LT1,SK,2021,74.8
YR,F,Y1,SK,2020,79.8
YR,F,Y10,SK,2020,70.9
YR,F,Y11,SK,2020,69.9
YR,F,Y12,SK,2020,68.9
YR,F,Y13,SK,2020,67.9
YR,F,Y14,SK,2020,66.9
YR,F,Y15,SK,2020,65.9
YR,F,Y16,SK,2020,65.0
YR,F,Y17,SK,2020,64.0
YR,F,Y18,SK,2020,63.0
YR,F,Y19,SK,2020,62.0
YR,F,Y2,SK,2020,78.8
YR,F,Y20,SK,2020,61.0
YR,F,Y21,SK,2020,60.0
YR,F,Y22,SK,2020,59.1
YR,F,Y23,SK,2020,58.1
YR,F,Y24,SK,2020,57.1
YR,F,Y25,SK,2020,56.1
YR,F,Y26,SK,2020,55.1
YR,F,Y27,SK,2020,54.1
YR,F,Y28,SK,2020,53.1
YR,F,Y29,SK,2020,52.1
YR,F,Y3,SK,2020,77.9
YR,F,Y30,SK,2020,51.2
YR,F,Y31,SK,2020,50.2
YR,F,Y32,SK,2020,49.2
YR,F,Y33,SK,2020,48.2
YR,F,Y34,SK,2020,47.2
YR,F,Y35,SK,2020,46.3
YR,F,Y36,SK,2020,45.3
YR,F,Y37,SK,2020,44.3
YR,F,Y38,SK,2020,43.3
YR,F,Y39,SK,2020,42.4
YR,F,Y4,SK,2020,76.9
YR,F,Y40,SK,2020,41.4
YR,F,Y41,SK,2020,40.4
YR,F,Y42,SK,2020,39.5
YR,F,Y43,SK,2020,38.5
YR,F,Y44,SK,2020,37.6
YR,F,Y45,SK,2020,36.6
YR,F,Y46,SK,2020,35.7
YR,F,Y47,SK,2020,34.7
YR,F,Y48,SK,2020,33.8
YR,F,Y49,SK,2020,32.9
YR,F,Y5,SK,2020,75.9
YR,F,Y50,SK,2020,31.9
YR,F,Y51,SK,2020,31.0
YR,F,Y52,SK,2020,30.1
