unit,sex,age,region,year,value
YR,F,Y1,SM,2012,85.8
YR,F,Y10,SM,2012,76.8
YR,F,Y11,SM,2012,75.8
YR,F,Y12,SM,2012,74.8
YR,F,Y13,SM,2012,73.8
YR,F,Y14,SM,2012,72.8
YR,F,Y15,SM,2012,71.8
YR,F,Y16,SM,2012,70.8
YR,F,Y17,SM,2012,69.8
YR,F,Y18,SM,2012,68.8
YR,F,Y19,SM,2012,67.8
YR,F,Y2,SM,2012,84.8
YR,F,Y20,SM,2012,66.8
YR,F,Y21,SM,2012,65.8
YR,F,Y22,SM,2012,64.8
YR,F,Y23,SM,2012,63.8
YR,F,Y24,SM,2012,62.8
YR,F,Y25,SM,2012,61.8
YR,F,Y26,SM,2012,60.8
YR,F,Y27,SM,2012,59.8
YR,F,Y28,SM,2012,58.8
YR,F,Y29,SM,2012,57.8
YR,F,Y3,SM,2012,83.8
YR,F,Y30,SM,2012,56.8
YR,F,Y31,SM,2012,55.8
YR,F,Y32,SM,2012,54.8
YR,F,Y33,SM,2012,53.8
YR,F,Y34,SM,2012,52.8
YR,F,Y35,SM,2012,51.8
YR,F,Y36,SM,2012,50.8
YR,F,Y37,SM,2012,49.8
YR,F,Y38,SM,2012,48.8
YR,F,Y39,SM,2012,47.8
YR,F,Y4,SM,2012,82.8
YR,F,Y40,SM,2012,46.8
YR,F,Y41,SM,2012,45.8
YR,F,Y42,SM,2012,44.8
YR,F,Y43,SM,2012,44.1
YR,F,Y44,SM,2012,43.1
YR,F,Y45,SM,2012,42.2
YR,F,Y46,SM,2012,41.4
YR,F,Y47,SM,2012,40.4
YR,F,Y48,SM,2012,39.4
YR,F,Y49,SM,2012,38.4
YR,F,Y5,SM,2012,81.8
YR,F,Y50,SM,2012,37.4
YR,F,Y51,SM,2012,36.4
YR,F,Y52,SM,2012,35.4
YR,F,Y53,SM,2012,34.4
YR,F,Y54,SM,2012,33.4
YR,F,Y55,SM,2012,32.4
YR,F,Y56,SM,2012,31.4
