unit,sex,age,region,year,value
YR,F,Y1,TR,2019,81.5
YR,F,Y10,TR,2019,72.7
YR,F,Y11,TR,2019,71.7
YR,F,Y12,TR,2019,70.7
YR,F,Y13,TR,2019,69.7
YR,F,Y14,TR,2019,68.7
YR,F,Y15,TR,2019,67.7
YR,F,Y16,TR,2019,66.7
YR,F,Y17,TR,2019,65.8
YR,F,Y18,TR,2019,64.8
YR,F,Y19,TR,2019,63.8
YR,F,Y2,TR,2019,80.5
YR,F,Y20,TR,2019,62.8
YR,F,Y21,TR,2019,61.8
YR,F,Y22,TR,2019,60.8
YR,F,Y23,TR,2019,59.9
YR,F,Y24,TR,2019,58.9
YR,F,Y25,TR,2019,57.9
YR,F,Y26,TR,2019,56.9
YR,F,Y27,TR,2019,55.9
YR,F,Y28,TR,2019,54.9
YR,F,Y29,TR,2019,53.9
YR,F,Y3,TR,2019,79.6
YR,F,Y30,TR,2019,53.0
YR,F,Y31,TR,2019,52.0
YR,F,Y32,TR,2019,51.0
YR,F,Y33,TR,2019,50.0
YR,F,Y34,TR,2019,49.0
YR,F,Y35,TR,2019,48.0
YR,F,Y36,TR,2019,47.1
YR,F,Y37,TR,2019,46.1
YR,F,Y38,TR,2019,45.1
YR,F,Y39,TR,2019,44.1
YR,F,Y4,TR,2019,78.6
YR,F,Y40,TR,2019,43.2
YR,F,Y41,TR,2019,42.2
YR,F,Y42,TR,2019,41.2
YR,F,Y43,TR,2019,40.2
YR,F,Y44,TR,2019,39.3
YR,F,Y45,TR,2019,38.3
YR,F,Y46,TR,2019,37.4
YR,F,Y47,TR,2019,36.4
YR,F,Y48,TR,2019,35.5
YR,F,Y49,TR,2019,34.5
YR,F,Y5,TR,2019,77.6
YR,F,Y50,TR,2019,33.6
YR,F,Y51,TR,2019,32.6
YR,F,Y52,TR,2019,31.7
YR,F,Y53,TR,2019,30.7
YR,F,Y54,TR,2019,29.8
YR,F,Y55,TR,2019,28.9
YR,F,Y56,TR,2019,28.0
YR,F,Y57,TR,2019,27.1
YR,F,Y58,TR,2019,26.1
