unit,sex,age,region,year,value
YR,F,Y1,UA,2019,77.7
YR,F,Y10,UA,2019,68.9
YR,F,Y11,UA,2019,67.9
YR,F,Y12,UA,2019,66.9
YR,F,Y13,UA,2019,65.9
YR,F,Y14,UA,2019,64.9
YR,F,Y15,UA,2019,63.9
YR,F,Y16,UA,2019,62.9
YR,F,Y17,UA,2019,61.9
YR,F,Y18,UA,2019,61.0
YR,F,Y19,UA,2019,60.0
YR,F,Y2,UA,2019,76.8
YR,F,Y20,UA,2019,59.0
YR,F,Y21,UA,2019,58.0
YR,F,Y22,UA,2019,57.0
YR,F,Y23,UA,2019,56.1
YR,F,Y24,UA,2019,55.1
YR,F,Y25,UA,2019,54.1
YR,F,Y26,UA,2019,53.1
YR,F,Y27,UA,2019,52.1
YR,F,Y28,UA,2019,51.2
YR,F,Y29,UA,2019,50.2
YR,F,Y3,UA,2019,75.8
YR,F,Y30,UA,2019,49.2
YR,F,Y31,UA,2019,48.3
YR,F,Y32,UA,2019,47.3
YR,F,Y33,UA,2019,46.4
YR,F,Y34,UA,2019,45.4
YR,F,Y35,UA,2019,44.4
YR,F,Y36,UA,2019,43.5
YR,F,Y37,UA,2019,42.6
YR,F,Y38,UA,2019,41.6
YR,F,Y39,UA,2019,40.7
YR,F,Y4,UA,2019,74.8
YR,F,Y40,UA,2019,39.8
YR,F,Y41,UA,2019,38.8
YR,F,Y42,UA,2019,37.9
YR,F,Y43,UA,2019,37.0
YR,F,Y44,UA,2019,36.1
YR,F,Y45,UA,2019,35.2
YR,F,Y46,UA,2019,34.3
YR,F,Y47,UA,2019,33.4
YR,F,Y48,UA,2019,32.5
YR,F,Y49,UA,2019,31.6
YR,F,Y5,UA,2019,73.8
YR,F,Y50,UA,2019,30.7
YR,F,Y51,UA,2019,29.8
YR,F,Y52,UA,2019,28.9
YR,F,Y53,UA,2019,28.1
YR,F,Y54,UA,2019,27.2
YR,F,Y55,UA,2019,26.3
YR,F,Y56,UA,2019,25.4
YR,F,Y57,UA,2019,24.6
YR,F,Y58,UA,2019,23.7
YR,F,Y59,UA,2019,22.8
YR,F,Y6,UA,2019,72.8
YR,F,Y60,UA,2019,22.0
YR,F,Y61,UA,2019,21.2
YR,F,Y62,UA,2019,20.3
YR,F,Y63,UA,2019,19.5
YR,F,Y64,UA,2019,18.7
YR,F,Y65,UA,2019,17.9
YR,F,Y66,UA,2019,17.1
YR,F,Y67,UA,2019,16.4
YR,F,Y68,UA,2019,15.6
YR,F,Y69,UA,2019,14.9
YR,F,Y7,UA,2019,71.8
YR,F,Y70,UA,2019,14.1
YR,F,Y71,UA,2019,13.4
YR,F,Y72,UA,2019,12.8
YR,F,Y73,UA,2019,12.1
YR,F,Y74,UA,2019,11.5
YR,F,Y75,UA,2019,10.8
YR,F,Y76,UA,2019,10.2
YR,F,Y77,UA,2019,9.6
YR,F,Y78,UA,2019,9.0
YR,F,Y79,UA,2019,8.4
YR,F,Y8,UA,2019,70.9
YR,F,Y80,UA,2019,7.8
YR,F,Y81,UA,2019,7.3
YR,F,Y82,UA,2019,6.8
YR,F,Y83,UA,2019,6.4
YR,F,Y84,UA,2019,6.1
YR,F,Y9,UA,2019,69.9
YR,F,Y_GE85,UA,2019,5.8
YR,F,Y_LT1,UA,2019,78.3
YR,M,Y1,UA,2019,67.9
YR,M,Y10,UA,2019,59.0
YR,M,Y11,UA,2019,58.0
YR,M,Y12,UA,2019,57.0
YR,M,Y13,UA,2019,56.1
YR,M,Y14,UA,2019,55.1
YR,M,Y15,UA,2019,54.1
YR,M,Y16,UA,2019,53.1
YR,M,Y17,UA,2019,52.1
YR,M,Y18,UA,2019,51.2
YR,M,Y19,UA,2019,50.2
YR,M,Y2,UA,2019,66.9
YR,M,Y20,UA,2019,49.2
YR,M,Y21,UA,2019,48.3
YR,M,Y22,UA,2019,47.3
