unit,sex,age,region,year,value
YR,F,Y1,XK,2016,81.1
YR,F,Y10,XK,2016,72.1
YR,F,Y11,XK,2016,71.1
YR,F,Y12,XK,2016,70.2
YR,F,Y13,XK,2016,69.2
YR,F,Y14,XK,2016,68.2
YR,F,Y15,XK,2016,67.2
YR,F,Y16,XK,2016,66.2
YR,F,Y17,XK,2016,65.2
YR,F,Y18,XK,2016,64.2
YR,F,Y19,XK,2016,63.2
YR,F,Y2,XK,2016,80.1
YR,F,Y20,XK,2016,62.2
YR,F,Y21,XK,2016,61.2
YR,F,Y22,XK,2016,60.2
YR,F,Y23,XK,2016,59.2
YR,F,Y24,XK,2016,58.3
YR,F,Y25,XK,2016,57.3
YR,F,Y26,XK,2016,56.3
YR,F,Y27,XK,2016,55.3
YR,F,Y28,XK,2016,54.3
YR,F,Y29,XK,2016,53.4
YR,F,Y3,XK,2016,79.1
YR,F,Y30,XK,2016,52.4
YR,F,Y31,XK,2016,51.4
YR,F,Y32,XK,2016,50.4
YR,F,Y33,XK,2016,49.4
YR,F,Y34,XK,2016,48.4
YR,F,Y35,XK,2016,47.5
YR,F,Y36,XK,2016,46.5
YR,F,Y37,XK,2016,45.5
YR,F,Y38,XK,2016,44.5
YR,F,Y39,XK,2016,43.6
YR,F,Y4,XK,2016,78.1
YR,F,Y40,XK,2016,42.6
YR,F,Y41,XK,2016,41.6
YR,F,Y42,XK,2016,40.6
YR,F,Y43,XK,2016,39.7
YR,F,Y44,XK,2016,38.7
YR,F,Y45,XK,2016,37.7
YR,F,Y46,XK,2016,36.8
YR,F,Y47,XK,2016,35.8
YR,F,Y48,XK,2016,34.9
YR,F,Y49,XK,2016,33.9
YR,F,Y5,XK,2016,77.1
YR,F,Y50,XK,2016,33.0
YR,F,Y51,XK,2016,32.1
YR,F,Y52,XK,2016,31.1
YR,F,Y53,XK,2016,30.2
YR,F,Y54,XK,2016,29.3
YR,F,Y55,XK,2016,28.4
YR,F,Y56,XK,2016,27.5
YR,F,Y57,XK,2016,26.6
YR,F,Y58,XK,2016,25.7
YR,F,Y59,XK,2016,24.8
YR,F,Y6,XK,2016,76.1
YR,F,Y60,XK,2016,24.0
YR,F,Y61,XK,2016,23.1
YR,F,Y62,XK,2016,22.3
YR,F,Y63,XK,2016,21.4
YR,F,Y64,XK,2016,20.6
YR,F,Y65,XK,2016,19.8
YR,F,Y66,XK,2016,19.0
YR,F,Y67,XK,2016,18.3
YR,F,Y68,XK,2016,17.5
YR,F,Y69,XK,2016,16.8
YR,F,Y7,XK,2016,75.1
YR,F,Y70,XK,2016,16.0
YR,F,Y71,XK,2016,15.4
YR,F,Y72,XK,2016,14.8
YR,F,Y73,XK,2016,14.2
YR,F,Y74,XK,2016,13.6
YR,F,Y75,XK,2016,13.1
YR,F,Y76,XK,2016,12.4
YR,F,Y77,XK,2016,11.9
